game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,risk_lambda
5392,3,13,AllGrid,3,200,10,44,86,"Hit(CW,10,MIDDLE)",36485,2706.27,0
4262,4,2,AllGrid,3,200,10,44,11,"Draw(CCW,L0)",173534,6533.58,0
6230,1,12,AllGrid,3,200,10,44,37,"Hit(CCW,11,MIDDLE)",24965,1148.98,0
3543,4,7,AllGrid,3,200,10,44,34,"Hit(CW,2,WEAK)",96595,3652.3,0
1784,6,5,AllGrid,3,200,10,44,49,"Hit(CCW,2,STRONG)",133865,5411.7,0
4905,4,14,AllGrid,3,200,10,44,11,"Draw(CCW,L0)",8047,518.612,0
3837,2,10,AllGrid,3,200,10,44,42,"Hit(CW,9,TOUCH)",60998,2774.17,0
2854,0,15,AllGrid,3,200,10,44,57,"Hit(CCW,12,MIDDLE)",103,6.89985,0
1221,1,10,AllGrid,3,200,10,44,79,"Hit(CCW,9,STRONG)",73148,3927.48,0
7301,6,14,AllGrid,3,200,10,44,0,"Draw(CW,TEE)",17090,1313.64,0
5248,0,3,AllGrid,3,200,10,44,15,"Draw(CCW,L2)",159831,5901.37,0
2545,3,15,AllGrid,3,200,10,44,0,"Draw(CW,TEE)",61,3.51586,0
6335,1,11,AllGrid,3,200,10,44,42,"Hit(CW,10,TOUCH)",36714,1461.74,0
8275,4,5,AllGrid,3,200,10,44,46,"Hit(CW,2,MIDDLE)",132425,5343.3,0
963,5,13,AllGrid,3,200,10,44,45,"Hit(CCW,10,WEAK)",22126,1438.69,0
176,5,11,AllGrid,3,200,10,44,43,"Hit(CCW,6,TOUCH)",55794,3053.42,0
2199,1,13,AllGrid,3,200,10,44,75,"Hit(CCW,10,WEAK)",30562,2174.81,0
8298,3,11,AllGrid,3,200,10,44,66,"Hit(CW,6,MIDDLE)",61327,3571.42,0
6729,2,14,AllGrid,3,200,10,44,0,"Draw(CW,TEE)",14943,1133.93,0
8119,5,4,AllGrid,3,200,10,44,43,"Hit(CCW,3,TOUCH)",147100,5899.16,0
8189,0,14,AllGrid,3,200,10,44,34,"Hit(CW,13,WEAK)",3138,190.195,0
9791,0,8,AllGrid,3,200,10,44,7,"Draw(CCW,S4)",87238,3437.98,0
5487,5,5,AllGrid,3,200,10,44,33,"Hit(CCW,0,TOUCH)",132700,5475.23,0
4950,0,15,AllGrid,3,200,10,44,35,"Hit(CCW,12,WEAK)",71,4.29844,0
9143,3,7,AllGrid,3,200,10,44,0,"Draw(CW,TEE)",107142,4566.52,0
4517,4,13,AllGrid,3,200,10,44,65,"Hit(CCW,8,WEAK)",33678,2456.2,0
2994,5,10,AllGrid,3,200,10,44,0,"Draw(CW,TEE)",73325,3859.42,0
961,6,13,AllGrid,3,200,10,44,11,"Draw(CCW,L0)",39206,2981.14,0
1566,1,3,AllGrid,3,200,10,44,53,"PostGuard(CCW,1,0)",160811,6338.85,0
1686,6,15,AllGrid,3,200,10,44,0,"Draw(CW,TEE)",49,2.76703,0
1201,0,6,AllGrid,3,200,10,44,3,"Draw(CCW,S0)",114465,4398.57,0
5494,4,5,AllGrid,3,200,10,44,2,"Draw(CW,S0)",134506,5619.81,0
2492,4,15,AllGrid,3,200,10,44,2,"Draw(CW,S0)",75,4.66847,0
8959,1,11,AllGrid,3,200,10,44,48,"Hit(CW,6,STRONG)",52596,2722.36,0
1671,0,15,AllGrid,3,200,10,44,76,"Hit(CW,12,MIDDLE)",117,8.13894,0
1385,7,11,AllGrid,3,200,10,44,1,"Draw(CCW,TEE)",54101,2800.18,0
6872,1,14,AllGrid,3,200,10,44,84,"Hit(CW,13,WEAK)",15713,1211.28,0
8785,1,4,AllGrid,3,200,10,44,6,"Draw(CW,S4)",143754,5382.76,0
1835,0,15,AllGrid,3,200,10,44,55,"Hit(CCW,14,WEAK)",69,4.25587,0
6216,7,8,AllGrid,3,200,10,44,28,"PreGuard(CW,G4)",87459,3468.23,0
8471,6,5,AllGrid,3,200,10,44,41,"Freeze(CCW,0)",134214,5503.29,0
256,3,12,AllGrid,3,200,10,44,64,"PostGuard(CW,8,0)",35348,1902.12,0
5778,2,9,AllGrid,3,200,10,44,37,"Hit(CCW,0,MIDDLE)",81587,3869.36,0
6320,4,15,AllGrid,3,200,10,44,64,"Hit(CW,12,WEAK)",103,6.669,0
1638,4,11,AllGrid,3,200,10,44,0,"Draw(CW,TEE)",54033,2820.92,0
2310,6,15,AllGrid,3,200,10,44,55,"Hit(CCW,6,WEAK)",135,9.37434,0
7921,5,4,AllGrid,3,200,10,44,0,"Draw(CW,TEE)",142684,5457.93,0
1361,1,12,AllGrid,3,200,10,44,46,"Hit(CW,11,MIDDLE)",27351,1270.56,0
5041,1,8,AllGrid,3,200,10,44,33,"Hit(CCW,7,TOUCH)",87436,3521.13,0
