game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,risk_lambda,num_candidates,num_children
7977,6,14,ClusterPW,3,200,10,43,46,"Hit(CW,3,MIDDLE)",7402,350.995,0,145,15
3926,6,11,ClusterPW,3,200,10,43,37,"Hit(CCW,0,MIDDLE)",62752,3686.51,0,123,15
3883,1,14,ClusterPW,3,200,10,43,18,"Draw(CW,L4)",1861,65.7966,0,37,8
9222,7,5,ClusterPW,3,200,10,43,32,"Hit(CW,4,MIDDLE)",135166,5999.64,0,37,8
7881,2,15,ClusterPW,3,200,10,43,84,"Hit(CW,12,WEAK)",129,8.52789,0,129,15
6406,1,10,ClusterPW,3,200,10,43,0,"Draw(CW,TEE)",62921,3024.02,0,59,12
8452,5,15,ClusterPW,3,200,10,43,34,"Hit(CW,0,WEAK)",153,10.5481,0,153,15
1028,6,15,ClusterPW,3,200,10,43,0,"Draw(CW,TEE)",151,10.5331,0,151,15
2596,1,14,ClusterPW,3,200,10,43,88,"Hit(CW,11,STRONG)",7462,369.9,0,145,15
4748,1,3,ClusterPW,3,200,10,43,11,"Draw(CCW,L0)",173577,8051.33,0,49,10
9206,3,13,ClusterPW,3,200,10,43,35,"Hit(CCW,12,WEAK)",10733,536.428,0,49,10
5859,1,6,ClusterPW,3,200,10,43,2,"Draw(CW,S0)",134111,6500.52,0,65,13
6871,4,5,ClusterPW,3,200,10,43,11,"Draw(CCW,L0)",155904,7604.29,0,71,15
7163,3,13,ClusterPW,3,200,10,43,65,"Hit(CCW,12,WEAK)",13288,719.345,0,85,15
5807,0,8,ClusterPW,3,200,10,43,29,"PreGuard(CCW,G4)",108946,5592.79,0,81,15
5567,2,15,ClusterPW,3,200,10,43,0,"Draw(CW,TEE)",129,8.59551,0,129,15
2507,3,11,ClusterPW,3,200,10,43,39,"Hit(CCW,4,WEAK)",55871,3062.24,0,107,15
7006,3,15,ClusterPW,3,200,10,43,0,"Draw(CW,TEE)",145,10.08,0,145,15
1984,6,4,ClusterPW,3,200,10,43,0,"Draw(CW,TEE)",163103,7855.46,0,59,12
1845,7,14,ClusterPW,3,200,10,43,43,"PostGuard(CCW,10,0)",2864,136.954,0,55,11
5780,2,6,ClusterPW,3,200,10,43,38,"Hit(CW,5,STRONG)",125422,5941.29,0,49,10
8645,7,5,ClusterPW,3,200,10,43,0,"Draw(CW,TEE)",156277,7855.1,0,71,15
6132,0,13,ClusterPW,3,200,10,43,26,"PreGuard(CW,G3)",24890,1867.81,0,87,15
3339,4,10,ClusterPW,3,200,10,43,62,"PostGuard(CW,6,2)",70318,3709.2,0,71,15
3566,6,14,ClusterPW,3,200,10,43,55,"Hit(CCW,7,WEAK)",6681,472.231,0,129,15
5523,3,9,ClusterPW,3,200,10,43,55,"Hit(CCW,4,WEAK)",90643,4927.99,0,103,15
7015,5,14,ClusterPW,3,200,10,43,48,"Hit(CW,3,STRONG)",7312,499.661,0,145,15
743,7,3,ClusterPW,3,200,10,43,23,"Draw(CCW,L6)",178231,8514.94,0,55,11
1014,4,15,ClusterPW,3,200,10,43,10,"Draw(CW,L0)",61,4.90176,0,61,13
3900,0,10,ClusterPW,3,200,10,43,36,"Hit(CW,9,MIDDLE)",63219,3183.43,0,55,11
4543,6,5,ClusterPW,3,200,10,43,45,"Hit(CCW,2,WEAK)",154330,7619.49,0,71,15
9231,5,14,ClusterPW,3,200,10,43,10,"Draw(CW,L0)",5353,323.264,0,101,15
1825,5,7,ClusterPW,3,200,10,43,35,"Hit(CCW,2,WEAK)",123566,6364.99,0,77,15
4062,4,15,ClusterPW,3,200,10,43,35,"Hit(CCW,2,WEAK)",117,10.6113,0,117,15
9882,2,11,ClusterPW,3,200,10,43,34,"Hit(CW,2,WEAK)",66295,4176.02,0,109,15
2998,6,14,ClusterPW,3,200,10,43,59,"Hit(CCW,5,STRONG)",7329,521.27,0,145,15
1555,2,3,ClusterPW,3,200,10,43,35,"Hit(CCW,0,WEAK)",178531,8441.31,0,55,11
4372,4,14,ClusterPW,3,200,10,43,18,"Draw(CW,L4)",2407,126.495,0,49,10
3732,7,7,ClusterPW,3,200,10,43,44,"PostGuard(CW,7,1)",107523,4995.72,0,49,10
3858,5,5,ClusterPW,3,200,10,43,3,"Draw(CCW,S0)",158511,8170.34,0,75,15
1938,0,14,ClusterPW,3,200,10,43,39,"Hit(CCW,9,STRONG)",4973,323.763,0,93,15
9112,3,9,ClusterPW,3,200,10,43,35,"Hit(CCW,2,WEAK)",84677,4339.7,0,75,15
4157,3,12,ClusterPW,3,200,10,43,36,"Hit(CW,3,MIDDLE)",37199,2311.32,0,107,15
7373,1,11,ClusterPW,3,200,10,43,36,"Hit(CW,2,MIDDLE)",62363,3837.13,0,103,15
7173,4,15,ClusterPW,3,200,10,43,0,"Draw(CW,TEE)",151,15.7221,0,151,15
196,4,4,ClusterPW,3,200,10,43,38,"Hit(CW,3,STRONG)",159025,7493.62,0,49,10
2630,2,14,ClusterPW,3,200,10,43,40,"Freeze(CW,11)",2951,163.044,0,59,12
5731,2,10,ClusterPW,3,200,10,43,13,"Draw(CCW,L1)",57198,2707.91,0,43,9
9518,4,5,ClusterPW,3,200,10,43,44,"Hit(CW,2,WEAK)",155036,7834.69,0,71,15
8211,7,12,ClusterPW,3,200,10,43,10,"Draw(CW,L0)",36098,2139.01,0,79,15
5392,3,13,ClusterPW,3,200,10,43,88,"Hit(CW,10,STRONG)",27220,2121.27,0,135,15
4262,4,2,ClusterPW,3,200,10,43,38,"Hit(CW,1,STRONG)",189738,8994.6,0,49,10
6230,1,12,ClusterPW,3,200,10,43,34,"Hit(CW,11,WEAK)",26216,1355.18,0,49,10
3543,4,7,ClusterPW,3,200,10,43,34,"Hit(CW,2,WEAK)",111659,5295.73,0,55,11
1784,6,5,ClusterPW,3,200,10,43,43,"Hit(CCW,2,TOUCH)",155975,7891.83,0,71,15
4905,4,14,ClusterPW,3,200,10,43,11,"Draw(CCW,L0)",5153,298.446,0,101,15
3837,2,10,ClusterPW,3,200,10,43,34,"Hit(CW,7,WEAK)",68991,3678.29,0,71,15
2854,0,15,ClusterPW,3,200,10,43,57,"Hit(CCW,12,MIDDLE)",103,9.07402,0,103,15
1221,1,10,ClusterPW,3,200,10,43,77,"Hit(CCW,9,MIDDLE)",80995,4780.89,0,113,15
7301,6,14,ClusterPW,3,200,10,43,17,"Draw(CCW,L3)",7734,566.177,0,145,15
5248,0,3,ClusterPW,3,200,10,43,32,"Hit(CW,2,TOUCH)",175291,8325.34,0,49,10
2545,3,15,ClusterPW,3,200,10,43,0,"Draw(CW,TEE)",61,4.60192,0,61,13
6335,1,11,ClusterPW,3,200,10,43,35,"Hit(CCW,6,WEAK)",45248,2310.28,0,53,11
8275,4,5,ClusterPW,3,200,10,43,46,"Hit(CW,2,MIDDLE)",155198,7636,0,71,15
963,5,13,ClusterPW,3,200,10,43,45,"Hit(CCW,10,WEAK)",20992,1496.69,0,89,15
176,5,11,ClusterPW,3,200,10,43,55,"Hit(CCW,8,WEAK)",58953,3472.25,0,97,15
2199,1,13,ClusterPW,3,200,10,43,76,"Hit(CW,10,MIDDLE)",27645,2152.72,0,119,15
8298,3,11,ClusterPW,3,200,10,43,35,"Hit(CCW,0,WEAK)",62997,3872.93,0,119,15
6729,2,14,ClusterPW,3,200,10,43,0,"Draw(CW,TEE)",7138,504.636,0,135,15
8119,5,4,ClusterPW,3,200,10,43,1,"Draw(CCW,TEE)",169222,8359.49,0,65,13
8189,0,14,ClusterPW,3,200,10,43,7,"Draw(CCW,S4)",2722,150.133,0,55,11
9791,0,8,ClusterPW,3,200,10,43,37,"Hit(CCW,7,MIDDLE)",96363,4717.35,0,55,11
5487,5,5,ClusterPW,3,200,10,43,10,"Draw(CW,L0)",155068,7857.08,0,71,15
4950,0,15,ClusterPW,3,200,10,43,35,"Hit(CCW,12,WEAK)",71,5.61659,0,71,15
9143,3,7,ClusterPW,3,200,10,43,6,"Draw(CW,S4)",123477,6352.63,0,81,15
4517,4,13,ClusterPW,3,200,10,43,66,"Hit(CW,8,MIDDLE)",30502,2445.38,0,123,15
2994,5,10,ClusterPW,3,200,10,43,79,"Hit(CCW,9,STRONG)",80775,4702.49,0,113,15
961,6,13,ClusterPW,3,200,10,43,57,"Hit(CCW,4,MIDDLE)",29664,2296.11,0,139,15
1566,1,3,ClusterPW,3,200,10,43,5,"Draw(CCW,S2)",182090,8919.81,0,59,12
1686,6,15,ClusterPW,3,200,10,43,0,"Draw(CW,TEE)",49,3.77669,0,49,10
1201,0,6,ClusterPW,3,200,10,43,1,"Draw(CCW,TEE)",128016,6114.66,0,53,11
5494,4,5,ClusterPW,3,200,10,43,13,"Draw(CCW,L1)",159866,8208.34,0,75,15
2492,4,15,ClusterPW,3,200,10,43,2,"Draw(CW,S0)",75,4.62749,0,75,15
8959,1,11,ClusterPW,3,200,10,43,48,"Hit(CW,6,STRONG)",56270,2408.53,0,97,15
1671,0,15,ClusterPW,3,200,10,43,76,"Hit(CW,12,MIDDLE)",117,10.9674,0,117,15
1385,7,11,ClusterPW,3,200,10,43,55,"Hit(CCW,6,WEAK)",61199,3575.83,0,103,15
6872,1,14,ClusterPW,3,200,10,43,85,"Hit(CCW,13,WEAK)",7341,532.985,0,135,15
8785,1,4,ClusterPW,3,200,10,43,8,"Draw(CW,S6)",158361,7535.96,0,49,10
1835,0,15,ClusterPW,3,200,10,43,55,"Hit(CCW,14,WEAK)",69,5.58999,0,69,14
6216,7,8,ClusterPW,3,200,10,43,2,"Draw(CW,S0)",97684,4757.15,0,55,11
8471,6,5,ClusterPW,3,200,10,43,7,"Draw(CCW,S4)",157220,7908.45,0,75,15
256,3,12,ClusterPW,3,200,10,43,41,"Freeze(CCW,9)",34371,2020.4,0,77,15
5778,2,9,ClusterPW,3,200,10,43,63,"Hit(CCW,6,TOUCH)",95054,3827.56,0,97,15
6320,4,15,ClusterPW,3,200,10,43,64,"Hit(CW,12,WEAK)",103,8.62386,0,103,15
1638,4,11,ClusterPW,3,200,10,43,49,"Hit(CCW,4,STRONG)",59799,3476.44,0,103,15
2310,6,15,ClusterPW,3,200,10,43,55,"Hit(CCW,6,WEAK)",135,12.4836,0,135,15
7921,5,4,ClusterPW,3,200,10,43,3,"Draw(CCW,S0)",158993,7545.23,0,49,10
1361,1,12,ClusterPW,3,200,10,43,44,"Hit(CW,11,WEAK)",28309,1520.77,0,59,12
5041,1,8,ClusterPW,3,200,10,43,52,"PostGuard(CW,6,2)",95650,4715.66,0,55,11
5033,7,5,ClusterPW,3,200,10,43,35,"Hit(CCW,0,WEAK)",155594,7743.09,0,71,15
5022,1,15,ClusterPW,3,200,10,43,7,"Draw(CCW,S4)",89,7.99645,0,89,15
9907,7,9,ClusterPW,3,200,10,43,11,"Draw(CCW,L0)",84608,4278.86,0,65,13
8627,2,12,ClusterPW,3,200,10,43,49,"Hit(CCW,7,STRONG)",47820,3259.1,0,103,15
1641,6,10,ClusterPW,3,200,10,43,34,"Hit(CW,1,WEAK)",87401,5521.14,0,113,15
