game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,risk_lambda,num_candidates,num_children
7977,6,14,ClusterTS,3,200,10,43,46,"Hit(CW,3,MIDDLE)",6612,492.583,0,145,29
3926,6,11,ClusterTS,3,200,10,43,64,"Hit(CW,6,WEAK)",57594,3760.14,0,123,25
3883,1,14,ClusterTS,3,200,10,43,19,"Draw(CCW,L4)",1791,79.6087,0,37,8
9222,7,5,ClusterTS,3,200,10,43,15,"Draw(CCW,L2)",134894,6737.18,0,37,8
7881,2,15,ClusterTS,3,200,10,43,84,"Hit(CW,12,WEAK)",129,9.62411,0,129,26
6406,1,10,ClusterTS,3,200,10,43,41,"Freeze(CCW,7)",60736,3353.58,0,59,12
8452,5,15,ClusterTS,3,200,10,43,34,"Hit(CW,0,WEAK)",153,16.8112,0,153,31
1028,6,15,ClusterTS,3,200,10,43,135,"PostGuard(CCW,11,1)",151,16.9659,0,151,31
2596,1,14,ClusterTS,3,200,10,43,86,"Hit(CW,11,MIDDLE)",6406,481.336,0,145,29
4748,1,3,ClusterTS,3,200,10,43,42,"PostGuard(CW,3,0)",173692,8689.5,0,49,10
9206,3,13,ClusterTS,3,200,10,43,38,"Hit(CW,12,STRONG)",9201,648.328,0,49,10
5859,1,6,ClusterTS,3,200,10,43,0,"Draw(CW,TEE)",133096,7204.11,0,65,13
6871,4,5,ClusterTS,3,200,10,43,52,"PostGuard(CW,1,0)",155340,8546.57,0,71,15
7163,3,13,ClusterTS,3,200,10,43,66,"Hit(CW,12,MIDDLE)",14871,1122.37,0,85,17
5807,0,8,ClusterTS,3,200,10,43,73,"PostGuard(CCW,4,2)",109380,4805.3,0,81,17
5567,2,15,ClusterTS,3,200,10,43,0,"Draw(CW,TEE)",129,13.7655,0,129,26
2507,3,11,ClusterTS,3,200,10,43,39,"Hit(CCW,4,WEAK)",60706,4035.34,0,107,22
7006,3,15,ClusterTS,3,200,10,43,130,"PostGuard(CW,9,2)",145,16.6512,0,145,29
1984,6,4,ClusterTS,3,200,10,43,37,"Hit(CCW,1,MIDDLE)",163517,8736.18,0,59,12
1845,7,14,ClusterTS,3,200,10,43,43,"PostGuard(CCW,10,0)",2389,126.877,0,55,11
5780,2,6,ClusterTS,3,200,10,43,27,"PreGuard(CCW,G3)",125106,6505.87,0,49,10
8645,7,5,ClusterTS,3,200,10,43,45,"Hit(CCW,2,WEAK)",154308,8461.2,0,71,15
6132,0,13,ClusterTS,3,200,10,43,12,"Draw(CW,L1)",24044,1993.84,0,87,18
3339,4,10,ClusterTS,3,200,10,43,42,"Hit(CW,9,TOUCH)",67191,3867.85,0,71,15
3566,6,14,ClusterTS,3,200,10,43,102,"PostGuard(CW,4,2)",6855,522.652,0,129,26
5523,3,9,ClusterTS,3,200,10,43,55,"Hit(CCW,4,WEAK)",91098,5507.1,0,103,21
7015,5,14,ClusterTS,3,200,10,43,46,"Hit(CW,3,MIDDLE)",5886,432.154,0,145,29
743,7,3,ClusterTS,3,200,10,43,35,"Hit(CCW,0,WEAK)",176357,9133.1,0,55,11
1014,4,15,ClusterTS,3,200,10,43,10,"Draw(CW,L0)",61,5.24212,0,61,13
3900,0,10,ClusterTS,3,200,10,43,40,"Freeze(CW,9)",61232,3353.86,0,55,11
4543,6,5,ClusterTS,3,200,10,43,34,"Hit(CW,0,WEAK)",154891,8631.71,0,71,15
9231,5,14,ClusterTS,3,200,10,43,10,"Draw(CW,L0)",4360,267.267,0,101,21
1825,5,7,ClusterTS,3,200,10,43,0,"Draw(CW,TEE)",122641,6953,0,77,16
4062,4,15,ClusterTS,3,200,10,43,35,"Hit(CCW,2,WEAK)",117,11.7893,0,117,24
9882,2,11,ClusterTS,3,200,10,43,34,"Hit(CW,2,WEAK)",65004,4517.95,0,109,22
2998,6,14,ClusterTS,3,200,10,43,59,"Hit(CCW,5,STRONG)",5717,413.49,0,145,29
1555,2,3,ClusterTS,3,200,10,43,20,"Draw(CW,L5)",177884,9242.36,0,55,11
4372,4,14,ClusterTS,3,200,10,43,19,"Draw(CCW,L4)",2089,111.231,0,49,10
3732,7,7,ClusterTS,3,200,10,43,32,"Hit(CW,4,TOUCH)",107064,5441.73,0,49,10
3858,5,5,ClusterTS,3,200,10,43,3,"Draw(CCW,S0)",158165,9046.1,0,75,15
1938,0,14,ClusterTS,3,200,10,43,58,"Hit(CW,13,STRONG)",4327,296.356,0,93,19
9112,3,9,ClusterTS,3,200,10,43,39,"Hit(CCW,2,STRONG)",83059,4596.78,0,75,15
4157,3,12,ClusterTS,3,200,10,43,38,"Hit(CW,3,STRONG)",36721,2504.25,0,107,22
7373,1,11,ClusterTS,3,200,10,43,33,"Hit(CCW,2,TOUCH)",63691,4399.75,0,103,21
7173,4,15,ClusterTS,3,200,10,43,135,"PostGuard(CCW,11,1)",151,17.6831,0,151,31
196,4,4,ClusterTS,3,200,10,43,24,"Draw(CW,L7)",158646,8242.27,0,49,10
2630,2,14,ClusterTS,3,200,10,43,6,"Draw(CW,S4)",2415,131.608,0,59,12
