game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec
7977,6,14,Proposed,3,200,10,46,46,"Hit(CW,3,MIDDLE)",3938,292.062
3926,6,11,Proposed,3,200,10,46,37,"Hit(CCW,0,MIDDLE)",47340,2289.63
3883,1,14,Proposed,3,200,10,46,18,"Draw(CW,L4)",367,19.149
9222,7,5,Proposed,3,200,10,46,9,"Draw(CCW,S6)",119562,3931.04
7881,2,15,Proposed,3,200,10,46,0,"Draw(CW,TEE)",129,9.19159
6406,1,10,Proposed,3,200,10,46,0,"Draw(CW,TEE)",51352,1972.4
8452,5,15,Proposed,3,200,10,46,0,"Draw(CW,TEE)",153,12.9342
1028,6,15,Proposed,3,200,10,46,0,"Draw(CW,TEE)",151,13.8179
2596,1,14,Proposed,3,200,10,46,45,"Hit(CCW,3,WEAK)",4096,315.35
4748,1,3,Proposed,3,200,10,46,11,"Draw(CCW,L0)",152912,5158.36
9206,3,13,Proposed,3,200,10,46,11,"Draw(CCW,L0)",7406,412.255
5859,1,6,Proposed,3,200,10,46,41,"Freeze(CCW,1)",112771,4067.15
6871,4,5,Proposed,3,200,10,46,52,"PostGuard(CW,1,0)",129931,4773.65
7163,3,13,Proposed,3,200,10,46,67,"Hit(CCW,12,MIDDLE)",6670,408.025
5807,0,8,Proposed,3,200,10,46,45,"Hit(CCW,5,WEAK)",90124,3556.49
5567,2,15,Proposed,3,200,10,46,0,"Draw(CW,TEE)",129,10.6908
2507,3,11,Proposed,3,200,10,46,39,"Hit(CCW,4,WEAK)",44097,2010.13
7006,3,15,Proposed,3,200,10,46,0,"Draw(CW,TEE)",145,13.4287
1984,6,4,Proposed,3,200,10,46,0,"Draw(CW,TEE)",140791,4938.71
1845,7,14,Proposed,3,200,10,46,48,"PostGuard(CW,12,0)",800,47.2277
5780,2,6,Proposed,3,200,10,46,37,"Hit(CCW,5,MIDDLE)",110837,3828.3
8645,7,5,Proposed,3,200,10,46,50,"Freeze(CW,2)",129085,4728.94
6132,0,13,Proposed,3,200,10,46,54,"Hit(CW,12,WEAK)",19194,1187.54
3339,4,10,Proposed,3,200,10,46,36,"Hit(CW,7,MIDDLE)",56420,2212.65
3566,6,14,Proposed,3,200,10,46,55,"Hit(CCW,7,WEAK)",3121,235.677
5523,3,9,Proposed,3,200,10,46,55,"Hit(CCW,4,WEAK)",70820,3028.68
7015,5,14,Proposed,3,200,10,46,11,"Draw(CCW,L0)",4010,303.169
743,7,3,Proposed,3,200,10,46,36,"Hit(CW,0,MIDDLE)",154603,5319.24
1014,4,15,Proposed,3,200,10,46,0,"Draw(CW,TEE)",61,3.3409
3900,0,10,Proposed,3,200,10,46,0,"Draw(CW,TEE)",52669,1980.34
4543,6,5,Proposed,3,200,10,46,34,"Hit(CW,0,WEAK)",129672,4760
9231,5,14,Proposed,3,200,10,46,10,"Draw(CW,L0)",1926,126.476
1825,5,7,Proposed,3,200,10,46,1,"Draw(CCW,TEE)",100477,3834.79
4062,4,15,Proposed,3,200,10,46,0,"Draw(CW,TEE)",117,8.46129
9882,2,11,Proposed,3,200,10,46,11,"Draw(CCW,L0)",52362,2665.91
2998,6,14,Proposed,3,200,10,46,57,"Hit(CCW,5,MIDDLE)",3970,311.592
1555,2,3,Proposed,3,200,10,46,5,"Draw(CCW,S2)",152766,5217.77
4372,4,14,Proposed,3,200,10,46,19,"Draw(CCW,L4)",603,33.8589
3732,7,7,Proposed,3,200,10,46,44,"PostGuard(CW,7,1)",93921,3121.99
3858,5,5,Proposed,3,200,10,46,35,"Hit(CCW,0,WEAK)",130244,4950.38
1938,0,14,Proposed,3,200,10,46,54,"Hit(CW,13,WEAK)",2076,144.113
9112,3,9,Proposed,3,200,10,46,37,"Hit(CCW,2,MIDDLE)",68746,2621.68
4157,3,12,Proposed,3,200,10,46,36,"Hit(CW,3,MIDDLE)",28524,1452.6
7373,1,11,Proposed,3,200,10,46,36,"Hit(CW,2,MIDDLE)",49364,2402.74
7173,4,15,Proposed,3,200,10,46,0,"Draw(CW,TEE)",151,16.0301
196,4,4,Proposed,3,200,10,46,41,"Freeze(CCW,3)",138081,4712.72
2630,2,14,Proposed,3,200,10,46,33,"Hit(CCW,11,TOUCH)",867,51.1678
5731,2,10,Proposed,3,200,10,46,13,"Draw(CCW,L1)",48332,1661.03
9518,4,5,Proposed,3,200,10,46,46,"Hit(CW,2,MIDDLE)",128499,4693.97
8211,7,12,Proposed,3,200,10,46,70,"Freeze(CW,11)",27756,1307.58
