game_id,end,shot_num,method,seed,candidate_idx,cluster_id,is_representative,shot_type,label,e_score,e_sd,cluster_value,land_x,land_y
7977,6,14,RandomK,42,2,0,1,"Draw","Draw(CW,S0)",,,,,
7977,6,14,RandomK,42,3,1,1,"Draw","Draw(CCW,S0)",,,,,
7977,6,14,RandomK,42,18,2,1,"Draw","Draw(CW,L4)",,,,,
7977,6,14,RandomK,42,25,3,1,"Draw","Draw(CCW,L7)",,,,,
7977,6,14,RandomK,42,28,4,1,"PreGuard","PreGuard(CW,G4)",,,,,
7977,6,14,RandomK,42,32,5,1,"Hit","Hit(CW,1,TOUCH)",,,,,
7977,6,14,RandomK,42,34,6,1,"Hit","Hit(CW,1,WEAK)",,,,,
7977,6,14,RandomK,42,41,7,1,"Freeze","Freeze(CCW,1)",,,,,
7977,6,14,RandomK,42,50,8,1,"Freeze","Freeze(CW,3)",,,,,
7977,6,14,RandomK,42,63,9,1,"Hit","Hit(CCW,7,TOUCH)",,,,,
7977,6,14,RandomK,42,66,10,1,"Hit","Hit(CW,7,MIDDLE)",,,,,
7977,6,14,RandomK,42,67,11,1,"Hit","Hit(CCW,7,MIDDLE)",,,,,
7977,6,14,RandomK,42,68,12,1,"Hit","Hit(CW,7,STRONG)",,,,,
7977,6,14,RandomK,42,75,13,1,"Hit","Hit(CCW,9,WEAK)",,,,,
7977,6,14,RandomK,42,80,14,1,"Freeze","Freeze(CW,9)",,,,,
7977,6,14,RandomK,42,87,15,1,"Hit","Hit(CCW,11,MIDDLE)",,,,,
7977,6,14,RandomK,42,88,16,1,"Hit","Hit(CW,11,STRONG)",,,,,
7977,6,14,RandomK,42,90,17,1,"Freeze","Freeze(CW,11)",,,,,
7977,6,14,RandomK,42,92,18,1,"Hit","Hit(CW,13,TOUCH)",,,,,
7977,6,14,RandomK,42,95,19,1,"Hit","Hit(CCW,13,WEAK)",,,,,
7977,6,14,RandomK,42,97,20,1,"Hit","Hit(CCW,13,MIDDLE)",,,,,
7977,6,14,RandomK,42,103,21,1,"PostGuard","PostGuard(CCW,0,0)",,,,,
7977,6,14,RandomK,42,120,22,1,"PostGuard","PostGuard(CW,6,0)",,,,,
7977,6,14,RandomK,42,124,23,1,"PostGuard","PostGuard(CW,6,2)",,,,,
7977,6,14,RandomK,42,128,24,1,"PostGuard","PostGuard(CW,8,1)",,,,,
7977,6,14,RandomK,42,129,25,1,"PostGuard","PostGuard(CCW,8,1)",,,,,
7977,6,14,RandomK,42,135,26,1,"PostGuard","PostGuard(CCW,10,1)",,,,,
7977,6,14,RandomK,42,136,27,1,"PostGuard","PostGuard(CW,10,2)",,,,,
7977,6,14,RandomK,42,138,28,1,"PostGuard","PostGuard(CW,12,0)",,,,,
3926,6,11,RandomK,42,3,0,1,"Draw","Draw(CCW,S0)",,,,,
3926,6,11,RandomK,42,6,1,1,"Draw","Draw(CW,S4)",,,,,
3926,6,11,RandomK,42,7,2,1,"Draw","Draw(CCW,S4)",,,,,
