game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,risk_lambda,num_candidates,num_children
2435,0,1,RandomK,3,200,10,43,7,"Draw(CCW,S4)",180304,11057,0,43,9
5303,2,0,RandomK,3,200,10,43,29,"PreGuard(CCW,G4)",191926,11404.6,0,33,7
284,7,1,RandomK,3,200,10,43,9,"Draw(CCW,S6)",179229,10513.6,0,39,8
9065,4,0,RandomK,3,200,10,43,19,"Draw(CCW,L4)",191726,11332.5,0,33,7
7579,0,1,RandomK,3,200,10,43,22,"Draw(CW,L6)",180398,11124.6,0,43,9
5445,5,1,RandomK,3,200,10,43,16,"Draw(CW,L3)",179316,10779.8,0,39,8
9428,3,0,RandomK,3,200,10,43,26,"PreGuard(CW,G3)",192063,11377.3,0,33,7
7300,3,0,RandomK,3,200,10,43,18,"Draw(CW,L4)",193880,11459.4,0,33,7
8156,1,1,RandomK,3,200,10,43,25,"Draw(CCW,L7)",180453,10647.5,0,39,8
8701,2,0,RandomK,3,200,10,43,6,"Draw(CW,S4)",193739,11454.4,0,33,7
1998,7,0,RandomK,3,200,10,43,19,"Draw(CCW,L4)",192096,11401.2,0,33,7
2643,7,1,RandomK,3,200,10,43,0,"Draw(CW,TEE)",179788,10871.7,0,43,9
4833,5,0,RandomK,3,200,10,43,32,"Pass",193640,11647.2,0,33,7
6085,3,0,RandomK,3,200,10,43,9,"Draw(CCW,S6)",193307,11757.1,0,33,7
3377,1,1,RandomK,3,200,10,43,12,"Draw(CW,L1)",177430,10655.8,0,39,8
3950,3,1,RandomK,3,200,10,43,23,"Draw(CCW,L6)",179925,10978.6,0,43,9
5322,5,0,RandomK,3,200,10,43,18,"Draw(CW,L4)",191779,11414.7,0,33,7
6603,4,0,RandomK,3,200,10,43,14,"Draw(CW,L2)",192390,11414.6,0,33,7
6821,4,0,RandomK,3,200,10,43,8,"Draw(CW,S6)",193095,11485.3,0,33,7
4552,4,0,RandomK,3,200,10,43,29,"PreGuard(CCW,G4)",192005,11394.4,0,33,7
1532,3,1,RandomK,3,200,10,43,41,"Freeze(CCW,0)",179976,11034.6,0,43,9
5154,6,1,RandomK,3,200,10,43,21,"Draw(CCW,L5)",179992,10851.3,0,43,9
3082,0,2,RandomK,3,200,10,43,19,"Draw(CCW,L4)",164417,9715.24,0,33,7
4716,7,3,RandomK,3,200,10,43,16,"Draw(CW,L3)",150237,8720.82,0,33,7
2732,2,0,RandomK,3,200,10,43,29,"PreGuard(CCW,G4)",193824,11662.4,0,33,7
7051,7,1,RandomK,3,200,10,43,39,"Hit(CCW,0,STRONG)",180080,10874.2,0,43,9
5470,0,1,RandomK,3,200,10,43,2,"Draw(CW,S0)",180031,10934.1,0,43,9
7590,3,1,RandomK,3,200,10,43,32,"Hit(CW,0,TOUCH)",180504,11099.3,0,43,9
3383,6,0,RandomK,3,200,10,43,28,"PreGuard(CW,G4)",193322,11751.5,0,33,7
1327,5,1,RandomK,3,200,10,43,6,"Draw(CW,S4)",180659,11247.9,0,43,9
2213,0,1,RandomK,3,200,10,43,34,"Hit(CW,0,WEAK)",180372,10857.7,0,43,9
9526,7,1,RandomK,3,200,10,43,0,"Draw(CW,TEE)",182062,10972.8,0,43,9
9585,2,0,RandomK,3,200,10,43,32,"Pass",193450,11416.5,0,33,7
2126,6,1,RandomK,3,200,10,43,39,"Hit(CCW,0,STRONG)",180000,11051.2,0,43,9
5349,1,1,RandomK,3,200,10,43,24,"Draw(CW,L7)",179367,10552.4,0,39,8
7511,4,0,RandomK,3,200,10,43,28,"PreGuard(CW,G4)",193004,11497.5,0,33,7
6560,1,0,RandomK,3,200,10,43,19,"Draw(CCW,L4)",192598,11580.7,0,33,7
2296,1,3,RandomK,3,200,10,43,5,"Draw(CCW,S2)",150335,9050.12,0,43,9
2227,1,0,RandomK,3,200,10,43,25,"Draw(CCW,L7)",193026,11546,0,33,7
1846,0,0,RandomK,3,200,10,43,28,"PreGuard(CW,G4)",193282,11670.6,0,33,7
7360,0,2,RandomK,3,200,10,43,41,"Freeze(CCW,1)",166129,10221.9,0,49,10
