game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,risk_lambda,num_candidates,num_children
7977,6,14,RandomK,3,200,10,43,39,"Hit(CCW,1,STRONG)",4518,564.033,0,145,29
3926,6,11,RandomK,3,200,10,43,38,"Hit(CW,0,STRONG)",45221,4062.7,0,123,25
3883,1,14,RandomK,3,200,10,43,0,"Draw(CW,TEE)",740,48.5676,0,37,8
9222,7,5,RandomK,3,200,10,43,18,"Draw(CW,L4)",121555,7246.66,0,37,8
7881,2,15,RandomK,3,200,10,43,48,"Hit(CW,4,STRONG)",329,26.4929,0,129,26
6406,1,10,RandomK,3,200,10,43,6,"Draw(CW,S4)",52741,3615.9,0,59,12
8452,5,15,RandomK,3,200,10,43,56,"Hit(CW,4,MIDDLE)",353,38.2161,0,153,31
1028,6,15,RandomK,3,200,10,43,7,"Draw(CCW,S4)",351,36.785,0,151,31
2596,1,14,RandomK,3,200,10,43,49,"Hit(CCW,3,STRONG)",4727,621.356,0,145,29
4748,1,3,RandomK,3,200,10,43,40,"Freeze(CW,0)",152244,9436.5,0,49,10
9206,3,13,RandomK,3,200,10,43,37,"Hit(CCW,12,MIDDLE)",7307,692.281,0,49,10
5859,1,6,RandomK,3,200,10,43,2,"Draw(CW,S0)",112056,7483.93,0,65,13
6871,4,5,RandomK,3,200,10,43,67,"PostGuard(CCW,5,1)",130345,8788.7,0,71,15
7163,3,13,RandomK,3,200,10,43,63,"Hit(CCW,12,TOUCH)",11051,1179.64,0,85,17
5807,0,8,RandomK,3,200,10,43,60,"Freeze(CW,7)",90842,6731.02,0,81,17
5567,2,15,RandomK,3,200,10,43,6,"Draw(CW,S4)",329,30.1241,0,129,26
2507,3,11,RandomK,3,200,10,43,60,"Hit(CW,8,MIDDLE)",44997,3748.07,0,107,22
7006,3,15,RandomK,3,200,10,43,4,"Draw(CW,S2)",345,38.2393,0,145,29
1984,6,4,RandomK,3,200,10,43,44,"Hit(CW,3,WEAK)",141861,9192.94,0,59,12
1845,7,14,RandomK,3,200,10,43,19,"Draw(CCW,L4)",1145,86.3068,0,55,11
5780,2,6,RandomK,3,200,10,43,1,"Draw(CCW,TEE)",109431,6775.49,0,49,10
8645,7,5,RandomK,3,200,10,43,39,"Hit(CCW,0,STRONG)",129440,8688.57,0,71,15
6132,0,13,RandomK,3,200,10,43,79,"PostGuard(CCW,9,2)",18934,2096.11,0,87,18
3339,4,10,RandomK,3,200,10,43,10,"Draw(CW,L0)",57564,4119.75,0,71,15
3566,6,14,RandomK,3,200,10,43,2,"Draw(CW,S0)",3755,478.239,0,129,26
5523,3,9,RandomK,3,200,10,43,55,"Hit(CCW,4,WEAK)",73538,5721.99,0,103,21
7015,5,14,RandomK,3,200,10,43,97,"Hit(CCW,13,MIDDLE)",4484,562.163,0,145,29
743,7,3,RandomK,3,200,10,43,32,"Hit(CW,0,TOUCH)",154249,9876.49,0,55,11
1014,4,15,RandomK,3,200,10,43,15,"Draw(CCW,L2)",261,16.49,0,61,13
3900,0,10,RandomK,3,200,10,43,6,"Draw(CW,S4)",52777,3497.9,0,55,11
4543,6,5,RandomK,3,200,10,43,37,"Hit(CCW,0,MIDDLE)",129205,8539.61,0,71,15
9231,5,14,RandomK,3,200,10,43,42,"Hit(CW,5,TOUCH)",2415,250.676,0,101,21
1825,5,7,RandomK,3,200,10,43,53,"PostGuard(CCW,1,0)",103219,7250.47,0,77,16
4062,4,15,RandomK,3,200,10,43,75,"Hit(CCW,12,WEAK)",317,24.1896,0,117,24
9882,2,11,RandomK,3,200,10,43,19,"Draw(CCW,L4)",54061,4925.81,0,109,22
2998,6,14,RandomK,3,200,10,43,36,"Hit(CW,1,MIDDLE)",4385,562.197,0,145,29
1555,2,3,RandomK,3,200,10,43,5,"Draw(CCW,S2)",154631,9738.73,0,55,11
4372,4,14,RandomK,3,200,10,43,9,"Draw(CCW,S6)",954,73.3591,0,49,10
3732,7,7,RandomK,3,200,10,43,8,"Draw(CW,S6)",93449,5677.72,0,49,10
