game_id,end,shot_num,method,seed,candidate_idx,cluster_id,is_representative,shot_type,label,e_score,e_sd,cluster_value,land_x,land_y,cluster_sd,cluster_value_risk,risk_lambda,rep_rank,rep_visits
7977,6,14,RandomK,42,18,0,1,"Draw","Draw(CW,L4)",,,,,,,,0,,
7977,6,14,RandomK,42,34,1,1,"Hit","Hit(CW,1,WEAK)",,,,,,,,0,,
7977,6,14,RandomK,42,50,2,1,"Freeze","Freeze(CW,3)",,,,,,,,0,,
7977,6,14,RandomK,42,136,3,1,"PostGuard","PostGuard(CW,10,2)",,,,,,,,0,,
3926,6,11,RandomK,42,3,0,1,"Draw","Draw(CCW,S0)",,,,,,,,0,,
3926,6,11,RandomK,42,92,1,1,"PostGuard","PostGuard(CW,1,0)",,,,,,,,0,,
3926,6,11,RandomK,42,99,2,1,"PostGuard","PostGuard(CCW,3,0)",,,,,,,,0,,
3926,6,11,RandomK,42,105,3,1,"PostGuard","PostGuard(CCW,5,0)",,,,,,,,0,,
3883,1,14,RandomK,42,6,0,1,"Draw","Draw(CW,S4)",,,,,,,,0,,
3883,1,14,RandomK,42,15,1,1,"Draw","Draw(CCW,L2)",,,,,,,,0,,
3883,1,14,RandomK,42,27,2,1,"PreGuard","PreGuard(CCW,G3)",,,,,,,,0,,
3883,1,14,RandomK,42,28,3,1,"PreGuard","PreGuard(CW,G4)",,,,,,,,0,,
9222,7,5,RandomK,42,7,0,1,"Draw","Draw(CCW,S4)",,,,,,,,0,,
9222,7,5,RandomK,42,9,1,1,"Draw","Draw(CCW,S6)",,,,,,,,0,,
9222,7,5,RandomK,42,11,2,1,"Draw","Draw(CCW,L0)",,,,,,,,0,,
9222,7,5,RandomK,42,27,3,1,"PreGuard","PreGuard(CCW,G3)",,,,,,,,0,,
7881,2,15,RandomK,42,16,0,1,"Draw","Draw(CW,L3)",,,,,,,,0,,
7881,2,15,RandomK,42,26,1,1,"PreGuard","PreGuard(CW,G3)",,,,,,,,0,,
7881,2,15,RandomK,42,28,2,1,"PreGuard","PreGuard(CW,G4)",,,,,,,,0,,
7881,2,15,RandomK,42,110,3,1,"PostGuard","PostGuard(CW,11,0)",,,,,,,,0,,
6406,1,10,RandomK,42,20,0,1,"Draw","Draw(CW,L5)",,,,,,,,0,,
