game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,risk_lambda,num_candidates,num_children
7977,6,14,RandomK,3,200,10,45,105,"PostGuard(CCW,0,1)",1171,123.409,0,145,4
3926,6,11,RandomK,3,200,10,45,114,"PostGuard(CW,7,2)",40383,3572.54,0,123,4
3883,1,14,RandomK,3,200,10,45,0,"Draw(CW,TEE)",611,34.8027,0,37,4
9222,7,5,RandomK,3,200,10,45,20,"Draw(CW,L5)",119060,7115.39,0,37,4
7881,2,15,RandomK,3,200,10,45,21,"Draw(CCW,L5)",329,25.3746,0,129,4
6406,1,10,RandomK,3,200,10,45,33,"Hit(CCW,7,TOUCH)",48466,3153.06,0,59,4
8452,5,15,RandomK,3,200,10,45,54,"Hit(CW,4,WEAK)",353,32.9872,0,153,4
1028,6,15,RandomK,3,200,10,45,30,"PreGuard(CW,G5)",351,32.3594,0,151,4
2596,1,14,RandomK,3,200,10,45,122,"PostGuard(CW,6,1)",1167,122.346,0,145,4
4748,1,3,RandomK,3,200,10,45,35,"Hit(CCW,0,WEAK)",149256,8826.22,0,49,4
9206,3,13,RandomK,3,200,10,45,20,"Draw(CW,L5)",3827,347.002,0,49,4
5859,1,6,RandomK,3,200,10,45,54,"PostGuard(CW,2,1)",106929,7094.53,0,65,4
6871,4,5,RandomK,3,200,10,45,0,"Draw(CW,TEE)",121886,7897.31,0,71,4
7163,3,13,RandomK,3,200,10,45,69,"Hit(CCW,12,STRONG)",3059,290.876,0,85,4
5807,0,8,RandomK,3,200,10,45,16,"Draw(CW,L3)",79857,5403.45,0,81,4
5567,2,15,RandomK,3,200,10,45,14,"Draw(CW,L2)",329,27.7069,0,129,4
2507,3,11,RandomK,3,200,10,45,9,"Draw(CCW,S6)",39730,3141.24,0,107,4
7006,3,15,RandomK,3,200,10,45,2,"Draw(CW,S0)",345,33.464,0,145,4
1984,6,4,RandomK,3,200,10,45,43,"Hit(CCW,3,TOUCH)",135810,8726.23,0,59,4
1845,7,14,RandomK,3,200,10,45,43,"PostGuard(CCW,10,0)",727,49.1681,0,55,4
5780,2,6,RandomK,3,200,10,45,6,"Draw(CW,S4)",106326,6592.77,0,49,4
8645,7,5,RandomK,3,200,10,45,31,"PreGuard(CCW,G5)",121973,8024.67,0,71,4
