game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,risk_lambda,num_candidates,num_children
2435,0,1,ClusterValue,3,200,10,43,36,"Hit(CW,0,MIDDLE)",199901,12179.6,0,43,4
5303,2,0,ClusterValue,3,200,10,43,19,"Draw(CCW,L4)",210036,12648,0,33,4
284,7,1,ClusterValue,3,200,10,43,19,"Draw(CCW,L4)",197558,11930,0,39,4
9065,4,0,ClusterValue,3,200,10,43,18,"Draw(CW,L4)",209248,12756.3,0,33,4
7579,0,1,ClusterValue,3,200,10,43,15,"Draw(CCW,L2)",200134,12256.1,0,43,4
5445,5,1,ClusterValue,3,200,10,43,9,"Draw(CCW,S6)",198599,11926.7,0,39,4
9428,3,0,ClusterValue,3,200,10,43,23,"Draw(CCW,L6)",209970,12745.6,0,33,4
7300,3,0,ClusterValue,3,200,10,43,19,"Draw(CCW,L4)",210666,12801.4,0,33,4
8156,1,1,ClusterValue,3,200,10,43,17,"Draw(CCW,L3)",199345,12085.2,0,39,4
8701,2,0,ClusterValue,3,200,10,43,1,"Draw(CCW,TEE)",211055,12802.1,0,33,4
1998,7,0,ClusterValue,3,200,10,43,32,"Pass",210587,12678.1,0,33,4
2643,7,1,ClusterValue,3,200,10,43,23,"Draw(CCW,L6)",199442,12171.5,0,43,4
4833,5,0,ClusterValue,3,200,10,43,28,"PreGuard(CW,G4)",210268,12777,0,33,4
6085,3,0,ClusterValue,3,200,10,43,28,"PreGuard(CW,G4)",210738,12758.9,0,33,4
3377,1,1,ClusterValue,3,200,10,43,33,"PostGuard(CCW,1,0)",196360,11877.5,0,39,4
3950,3,1,ClusterValue,3,200,10,43,5,"Draw(CCW,S2)",198912,12278.9,0,43,4
5322,5,0,ClusterValue,3,200,10,43,30,"PreGuard(CW,G5)",209149,12707.6,0,33,4
6603,4,0,ClusterValue,3,200,10,43,6,"Draw(CW,S4)",209940,12752.7,0,33,4
6821,4,0,ClusterValue,3,200,10,43,24,"Draw(CW,L7)",210094,12643,0,33,4
4552,4,0,ClusterValue,3,200,10,43,27,"PreGuard(CCW,G3)",209116,12729.2,0,33,4
1532,3,1,ClusterValue,3,200,10,43,12,"Draw(CW,L1)",199139,12296.5,0,43,4
5154,6,1,ClusterValue,3,200,10,43,14,"Draw(CW,L2)",199067,12281.7,0,43,4
3082,0,2,ClusterValue,3,200,10,43,25,"Draw(CCW,L7)",179188,10724.3,0,33,4
4716,7,3,ClusterValue,3,200,10,43,25,"Draw(CCW,L7)",163337,9802.78,0,33,4
2732,2,0,ClusterValue,3,200,10,43,26,"PreGuard(CW,G3)",211339,12846.6,0,33,4
7051,7,1,ClusterValue,3,200,10,43,38,"Hit(CW,0,STRONG)",199639,12359,0,43,4
5470,0,1,ClusterValue,3,200,10,43,21,"Draw(CCW,L5)",199769,12175.7,0,43,4
7590,3,1,ClusterValue,3,200,10,43,17,"Draw(CCW,L3)",199848,12379.5,0,43,4
3383,6,0,ClusterValue,3,200,10,43,19,"Draw(CCW,L4)",211047,12836.3,0,33,4
1327,5,1,ClusterValue,3,200,10,43,33,"Hit(CCW,0,TOUCH)",200300,12464,0,43,4
2213,0,1,ClusterValue,3,200,10,43,39,"Hit(CCW,0,STRONG)",200597,12295.9,0,43,4
9526,7,1,ClusterValue,3,200,10,43,36,"Hit(CW,0,MIDDLE)",202238,12403.3,0,43,4
9585,2,0,ClusterValue,3,200,10,43,19,"Draw(CCW,L4)",211256,12981,0,33,4
2126,6,1,ClusterValue,3,200,10,43,1,"Draw(CCW,TEE)",199507,12434.9,0,43,4
5349,1,1,ClusterValue,3,200,10,43,17,"Draw(CCW,L3)",198701,11936.3,0,39,4
7511,4,0,ClusterValue,3,200,10,43,21,"Draw(CCW,L5)",210164,12677.7,0,33,4
6560,1,0,ClusterValue,3,200,10,43,19,"Draw(CCW,L4)",210104,12930.7,0,33,4
2296,1,3,ClusterValue,3,200,10,43,38,"Hit(CW,2,STRONG)",168005,10174.4,0,43,4
2227,1,0,ClusterValue,3,200,10,43,19,"Draw(CCW,L4)",210685,12825,0,33,4
1846,0,0,ClusterValue,3,200,10,43,26,"PreGuard(CW,G3)",210525,12859.4,0,33,4
7360,0,2,ClusterValue,3,200,10,43,6,"Draw(CW,S4)",187081,11774.1,0,49,4
2359,1,2,ClusterValue,3,200,10,43,33,"Hit(CCW,1,TOUCH)",188015,11868.9,0,49,4
9378,6,5,ClusterValue,3,200,10,43,9,"Draw(CCW,S6)",139780,8615.77,0,53,4
1936,0,4,ClusterValue,3,200,10,43,6,"Draw(CW,S4)",154388,9685.72,0,49,4
