game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,risk_lambda
7977,6,14,ClusterValue,3,200,10,45,48,"Hit(CW,3,STRONG)",5732,267.984,0
3926,6,11,ClusterValue,3,200,10,45,37,"Hit(CCW,0,MIDDLE)",54098,2274.68,0
3883,1,14,ClusterValue,3,200,10,45,19,"Draw(CCW,L4)",1676,62.5098,0
9222,7,5,ClusterValue,3,200,10,45,24,"Draw(CW,L7)",132098,4499.66,0
7881,2,15,ClusterValue,3,200,10,45,84,"Hit(CW,12,WEAK)",129,8.8763,0
6406,1,10,ClusterValue,3,200,10,45,50,"Freeze(CW,9)",58342,2126.42,0
8452,5,15,ClusterValue,3,200,10,45,34,"Hit(CW,0,WEAK)",153,11.4656,0
1028,6,15,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",151,11.4378,0
2596,1,14,ClusterValue,3,200,10,45,86,"Hit(CW,11,MIDDLE)",5941,284.669,0
4748,1,3,ClusterValue,3,200,10,45,11,"Draw(CCW,L0)",170053,5911.23,0
9206,3,13,ClusterValue,3,200,10,45,11,"Draw(CCW,L0)",6749,305.039,0
5859,1,6,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",126935,4548.44,0
6871,4,5,ClusterValue,3,200,10,45,3,"Draw(CCW,S0)",146975,5315.98,0
7163,3,13,ClusterValue,3,200,10,45,66,"Hit(CW,12,MIDDLE)",11131,548.58,0
5807,0,8,ClusterValue,3,200,10,45,55,"Hit(CCW,7,WEAK)",98818,3698.41,0
5567,2,15,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",129,9.23142,0
2507,3,11,ClusterValue,3,200,10,45,41,"Hit(CCW,4,MIDDLE)",48796,1911.41,0
7006,3,15,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",145,10.9465,0
1984,6,4,ClusterValue,3,200,10,45,46,"Hit(CW,3,MIDDLE)",157808,5556.99,0
1845,7,14,ClusterValue,3,200,10,45,49,"PostGuard(CCW,12,0)",2282,85.8861,0
5780,2,6,ClusterValue,3,200,10,45,38,"Hit(CW,5,STRONG)",121387,4229.93,0
8645,7,5,ClusterValue,3,200,10,45,45,"Hit(CCW,2,WEAK)",146996,5333.78,0
6132,0,13,ClusterValue,3,200,10,45,15,"Draw(CCW,L2)",14261,756.169,0
3339,4,10,ClusterValue,3,200,10,45,35,"Hit(CCW,7,WEAK)",62111,2338.56,0
3566,6,14,ClusterValue,3,200,10,45,56,"Hit(CW,7,MIDDLE)",5119,248.283,0
5523,3,9,ClusterValue,3,200,10,45,57,"Hit(CCW,4,MIDDLE)",85170,3268.39,0
7015,5,14,ClusterValue,3,200,10,45,48,"Hit(CW,3,STRONG)",5946,285.969,0
743,7,3,ClusterValue,3,200,10,45,11,"Draw(CCW,L0)",171958,6077.49,0
1014,4,15,ClusterValue,3,200,10,45,10,"Draw(CW,L0)",61,3.58804,0
3900,0,10,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",57990,2096.36,0
4543,6,5,ClusterValue,3,200,10,45,35,"Hit(CCW,0,WEAK)",146791,5302.15,0
9231,5,14,ClusterValue,3,200,10,45,42,"Hit(CW,5,TOUCH)",4072,171.184,0
1825,5,7,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",114929,4259.64,0
4062,4,15,ClusterValue,3,200,10,45,35,"Hit(CCW,2,WEAK)",117,8.02212,0
9882,2,11,ClusterValue,3,200,10,45,108,"Pass",54604,2387.76,0
2998,6,14,ClusterValue,3,200,10,45,59,"Hit(CCW,5,STRONG)",6058,290.737,0
1555,2,3,ClusterValue,3,200,10,45,35,"Hit(CCW,0,WEAK)",173225,6029.99,0
4372,4,14,ClusterValue,3,200,10,45,18,"Draw(CW,L4)",2001,75.0342,0
3732,7,7,ClusterValue,3,200,10,45,32,"Hit(CW,4,TOUCH)",104934,3587.95,0
3858,5,5,ClusterValue,3,200,10,45,32,"Hit(CW,0,TOUCH)",148689,5495.09,0
1938,0,14,ClusterValue,3,200,10,45,55,"Hit(CCW,13,WEAK)",3813,164.839,0
9112,3,9,ClusterValue,3,200,10,45,37,"Hit(CCW,2,MIDDLE)",77147,2752.53,0
4157,3,12,ClusterValue,3,200,10,45,34,"Hit(CW,3,WEAK)",33054,1425.42,0
7373,1,11,ClusterValue,3,200,10,45,38,"Hit(CW,2,STRONG)",52141,2164.72,0
7173,4,15,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",151,11.8862,0
196,4,4,ClusterValue,3,200,10,45,34,"Hit(CW,3,WEAK)",153512,5347.1,0
2630,2,14,ClusterValue,3,200,10,45,6,"Draw(CW,S4)",2445,91.3421,0
5731,2,10,ClusterValue,3,200,10,45,13,"Draw(CCW,L1)",54108,1864.11,0
9518,4,5,ClusterValue,3,200,10,45,41,"Freeze(CCW,0)",147980,5464.84,0
8211,7,12,ClusterValue,3,200,10,45,2,"Draw(CW,S0)",27949,1123.33,0
5392,3,13,ClusterValue,3,200,10,45,86,"Hit(CW,10,MIDDLE)",16399,860.676,0
4262,4,2,ClusterValue,3,200,10,45,29,"PreGuard(CCW,G4)",186572,6581.41,0
6230,1,12,ClusterValue,3,200,10,45,36,"Hit(CW,11,MIDDLE)",22893,824.732,0
3543,4,7,ClusterValue,3,200,10,45,34,"Hit(CW,2,WEAK)",107100,3722.39,0
1784,6,5,ClusterValue,3,200,10,45,47,"Hit(CCW,2,MIDDLE)",147400,5402.01,0
4905,4,14,ClusterValue,3,200,10,45,11,"Draw(CCW,L0)",4211,167.5,0
3837,2,10,ClusterValue,3,200,10,45,38,"Hit(CW,7,STRONG)",60833,2246.81,0
2854,0,15,ClusterValue,3,200,10,45,57,"Hit(CCW,12,MIDDLE)",103,6.8499,0
1221,1,10,ClusterValue,3,200,10,45,77,"Hit(CCW,9,MIDDLE)",71902,2952.46,0
7301,6,14,ClusterValue,3,200,10,45,35,"Hit(CCW,1,WEAK)",5927,293.758,0
5248,0,3,ClusterValue,3,200,10,45,1,"Draw(CCW,TEE)",171107,6001.42,0
2545,3,15,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",61,3.49675,0
6335,1,11,ClusterValue,3,200,10,45,35,"Hit(CCW,6,WEAK)",40826,1449.14,0
8275,4,5,ClusterValue,3,200,10,45,45,"Hit(CCW,2,WEAK)",148636,5412.29,0
963,5,13,ClusterValue,3,200,10,45,45,"Hit(CCW,10,WEAK)",11721,557.977,0
176,5,11,ClusterValue,3,200,10,45,58,"Hit(CW,8,STRONG)",51216,2115.18,0
2199,1,13,ClusterValue,3,200,10,45,76,"Hit(CW,10,MIDDLE)",14967,767.67,0
8298,3,11,ClusterValue,3,200,10,45,35,"Hit(CCW,0,WEAK)",54497,2320.99,0
6729,2,14,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",5611,268.543,0
8119,5,4,ClusterValue,3,200,10,45,34,"Hit(CW,1,WEAK)",161122,5799.38,0
8189,0,14,ClusterValue,3,200,10,45,7,"Draw(CCW,S4)",2382,87.6726,0
9791,0,8,ClusterValue,3,200,10,45,35,"Hit(CCW,7,WEAK)",89545,3175.21,0
5487,5,5,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",147687,5508.3,0
4950,0,15,ClusterValue,3,200,10,45,35,"Hit(CCW,12,WEAK)",71,4.26058,0
9143,3,7,ClusterValue,3,200,10,45,35,"Hit(CCW,0,WEAK)",114913,4214.25,0
4517,4,13,ClusterValue,3,200,10,45,37,"Hit(CCW,2,MIDDLE)",16677,892.303,0
2994,5,10,ClusterValue,3,200,10,45,32,"Hit(CW,1,TOUCH)",72910,3018.26,0
961,6,13,ClusterValue,3,200,10,45,11,"Draw(CCW,L0)",22551,1311.23,0
1566,1,3,ClusterValue,3,200,10,45,7,"Draw(CCW,S4)",175537,6407.05,0
1686,6,15,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",49,2.79119,0
1201,0,6,ClusterValue,3,200,10,45,7,"Draw(CCW,S4)",121821,4305.39,0
5494,4,5,ClusterValue,3,200,10,45,22,"Draw(CW,L6)",149783,5596.13,0
2492,4,15,ClusterValue,3,200,10,45,2,"Draw(CW,S0)",75,4.68102,0
8959,1,11,ClusterValue,3,200,10,45,57,"Hit(CCW,8,MIDDLE)",48896,1946.13,0
1671,0,15,ClusterValue,3,200,10,45,76,"Hit(CW,12,MIDDLE)",117,8.12739,0
1385,7,11,ClusterValue,3,200,10,45,59,"Hit(CCW,6,STRONG)",49815,1893.25,0
6872,1,14,ClusterValue,3,200,10,45,85,"Hit(CCW,13,WEAK)",5630,277.827,0
8785,1,4,ClusterValue,3,200,10,45,47,"PostGuard(CCW,2,2)",156283,5486.53,0
1835,0,15,ClusterValue,3,200,10,45,55,"Hit(CCW,14,WEAK)",69,4.26351,0
