game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,risk_lambda,num_candidates,num_children
7977,6,14,ClusterValue,3,200,10,44,39,"Hit(CCW,1,STRONG)",7089,591.811,0,145,4
3926,6,11,ClusterValue,3,200,10,44,65,"Hit(CCW,6,WEAK)",54088,3970.59,0,123,4
3883,1,14,ClusterValue,3,200,10,44,19,"Draw(CCW,L4)",2148,122.106,0,37,4
9222,7,5,ClusterValue,3,200,10,44,18,"Draw(CW,L4)",133294,7715.66,0,37,4
7881,2,15,ClusterValue,3,200,10,44,84,"Hit(CW,12,WEAK)",329,29.9185,0,129,4
6406,1,10,ClusterValue,3,200,10,44,6,"Draw(CW,S4)",59340,3715.19,0,59,4
8452,5,15,ClusterValue,3,200,10,44,34,"Hit(CW,0,WEAK)",353,41.8252,0,153,4
1028,6,15,ClusterValue,3,200,10,44,135,"PostGuard(CCW,11,1)",351,35.7086,0,151,4
2596,1,14,ClusterValue,3,200,10,44,78,"Hit(CW,9,STRONG)",6973,629.723,0,145,4
4748,1,3,ClusterValue,3,200,10,44,35,"Hit(CCW,0,WEAK)",171504,10071.3,0,49,4
9206,3,13,ClusterValue,3,200,10,44,11,"Draw(CCW,L0)",7391,544.149,0,49,4
5859,1,6,ClusterValue,3,200,10,44,60,"PostGuard(CW,4,1)",129044,7856.01,0,65,4
6871,4,5,ClusterValue,3,200,10,44,3,"Draw(CCW,S0)",147536,9367.28,0,71,4
7163,3,13,ClusterValue,3,200,10,44,64,"Hit(CW,12,WEAK)",12803,1061.89,0,85,4
5807,0,8,ClusterValue,3,200,10,44,36,"Hit(CW,3,MIDDLE)",100284,6416.29,0,81,4
5567,2,15,ClusterValue,3,200,10,44,0,"Draw(CW,TEE)",329,38.3045,0,129,4
2507,3,11,ClusterValue,3,200,10,44,42,"Hit(CW,4,STRONG)",49891,3393.51,0,107,4
7006,3,15,ClusterValue,3,200,10,44,0,"Draw(CW,TEE)",345,37.6162,0,145,4
1984,6,4,ClusterValue,3,200,10,44,44,"Hit(CW,3,WEAK)",159360,9779.1,0,59,4
1845,7,14,ClusterValue,3,200,10,44,49,"PostGuard(CCW,12,0)",3111,183.528,0,55,4
5780,2,6,ClusterValue,3,200,10,44,34,"Hit(CW,5,WEAK)",122672,7303.43,0,49,4
8645,7,5,ClusterValue,3,200,10,44,35,"Hit(CCW,0,WEAK)",147566,9048.66,0,71,4
6132,0,13,ClusterValue,3,200,10,44,35,"Hit(CCW,8,WEAK)",15445,1382.19,0,87,4
3339,4,10,ClusterValue,3,200,10,44,34,"Hit(CW,7,WEAK)",61654,3907.48,0,71,4
3566,6,14,ClusterValue,3,200,10,44,64,"Hit(CW,9,WEAK)",6454,561.42,0,129,4
5523,3,9,ClusterValue,3,200,10,44,55,"Hit(CCW,4,WEAK)",87686,6098.63,0,103,4
7015,5,14,ClusterValue,3,200,10,44,11,"Draw(CCW,L0)",7133,608.55,0,145,4
743,7,3,ClusterValue,3,200,10,44,32,"Hit(CW,0,TOUCH)",175355,10706.7,0,55,4
1014,4,15,ClusterValue,3,200,10,44,10,"Draw(CW,L0)",261,17.5611,0,61,4
3900,0,10,ClusterValue,3,200,10,44,0,"Draw(CW,TEE)",58837,3656.14,0,55,4
4543,6,5,ClusterValue,3,200,10,44,34,"Hit(CW,0,WEAK)",149150,9338.82,0,71,4
9231,5,14,ClusterValue,3,200,10,44,43,"Hit(CCW,5,TOUCH)",4870,345.196,0,101,4
1825,5,7,ClusterValue,3,200,10,44,53,"PostGuard(CCW,1,0)",115837,7259.57,0,77,4
4062,4,15,ClusterValue,3,200,10,44,35,"Hit(CCW,2,WEAK)",317,24.1723,0,117,4
9882,2,11,ClusterValue,3,200,10,44,46,"Hit(CW,4,MIDDLE)",52228,3664.35,0,109,4
2998,6,14,ClusterValue,3,200,10,44,98,"Hit(CW,13,STRONG)",7132,595.82,0,145,4
1555,2,3,ClusterValue,3,200,10,44,20,"Draw(CW,L5)",174511,10532.7,0,55,4
4372,4,14,ClusterValue,3,200,10,44,18,"Draw(CW,L4)",2728,155.83,0,49,4
3732,7,7,ClusterValue,3,200,10,44,33,"Hit(CCW,4,TOUCH)",105767,6198.7,0,49,4
3858,5,5,ClusterValue,3,200,10,44,50,"Freeze(CW,2)",148555,9537.7,0,75,4
1938,0,14,ClusterValue,3,200,10,44,36,"Hit(CW,9,MIDDLE)",4609,320.68,0,93,4
9112,3,9,ClusterValue,3,200,10,44,57,"Hit(CCW,6,MIDDLE)",79506,4797.86,0,75,4
4157,3,12,ClusterValue,3,200,10,44,38,"Hit(CW,3,STRONG)",31966,2306.13,0,107,4
7373,1,11,ClusterValue,3,200,10,44,7,"Draw(CCW,S4)",52455,3831.08,0,103,4
7173,4,15,ClusterValue,3,200,10,44,135,"PostGuard(CCW,11,1)",351,31.7934,0,151,4
196,4,4,ClusterValue,3,200,10,44,4,"Draw(CW,S2)",156377,9313.58,0,49,4
2630,2,14,ClusterValue,3,200,10,44,33,"Hit(CCW,11,TOUCH)",3153,191.795,0,59,4
5731,2,10,ClusterValue,3,200,10,44,13,"Draw(CCW,L1)",55467,3269.87,0,43,4
9518,4,5,ClusterValue,3,200,10,44,44,"Hit(CW,2,WEAK)",148454,9356.86,0,71,4
8211,7,12,ClusterValue,3,200,10,44,54,"Hit(CW,9,WEAK)",29408,2003.35,0,79,4
5392,3,13,ClusterValue,3,200,10,44,38,"Hit(CW,0,STRONG)",20814,1972.78,0,135,4
4262,4,2,ClusterValue,3,200,10,44,34,"Hit(CW,1,WEAK)",187997,11251.3,0,49,4
6230,1,12,ClusterValue,3,200,10,44,35,"Hit(CCW,11,WEAK)",23408,1379.41,0,49,4
3543,4,7,ClusterValue,3,200,10,44,10,"Draw(CW,L0)",108205,6495.49,0,55,4
1784,6,5,ClusterValue,3,200,10,44,36,"Hit(CW,0,MIDDLE)",148717,9107.1,0,71,4
4905,4,14,ClusterValue,3,200,10,44,37,"Hit(CCW,5,MIDDLE)",5062,331.319,0,101,4
3837,2,10,ClusterValue,3,200,10,44,44,"Hit(CW,9,WEAK)",62239,4116.9,0,71,4
2854,0,15,ClusterValue,3,200,10,44,92,"PostGuard(CW,11,1)",303,19.3791,0,103,4
1221,1,10,ClusterValue,3,200,10,44,68,"Hit(CW,7,STRONG)",71969,5179.39,0,113,4
7301,6,14,ClusterValue,3,200,10,44,1,"Draw(CCW,TEE)",7251,632.367,0,145,4
5248,0,3,ClusterValue,3,200,10,44,14,"Draw(CW,L2)",173181,10390.5,0,49,4
2545,3,15,ClusterValue,3,200,10,44,0,"Draw(CW,TEE)",261,16.9765,0,61,4
6335,1,11,ClusterValue,3,200,10,44,34,"Hit(CW,6,WEAK)",40836,2465.69,0,53,4
8275,4,5,ClusterValue,3,200,10,44,35,"Hit(CCW,0,WEAK)",148601,9133.61,0,71,4
963,5,13,ClusterValue,3,200,10,44,45,"Hit(CCW,10,WEAK)",12222,944.573,0,89,4
176,5,11,ClusterValue,3,200,10,44,84,"PostGuard(CW,5,0)",53597,3931.48,0,97,4
2199,1,13,ClusterValue,3,200,10,44,59,"Hit(CCW,6,STRONG)",16455,1411.54,0,119,4
8298,3,11,ClusterValue,3,200,10,44,36,"Hit(CW,0,MIDDLE)",53173,3831.44,0,119,4
6729,2,14,ClusterValue,3,200,10,44,2,"Draw(CW,S0)",6633,547.973,0,135,4
