game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,risk_lambda
7977,6,14,ClusterValue,3,200,10,45,46,"Hit(CW,3,MIDDLE)",5786,250.415,0.5
3926,6,11,ClusterValue,3,200,10,45,37,"Hit(CCW,0,MIDDLE)",55352,2714.5,0.5
3883,1,14,ClusterValue,3,200,10,45,19,"Draw(CCW,L4)",1660,56.1,0.5
9222,7,5,ClusterValue,3,200,10,45,17,"Draw(CCW,L3)",132022,5419.4,0.5
7881,2,15,ClusterValue,3,200,10,45,84,"Hit(CW,12,WEAK)",129,8.20214,0.5
6406,1,10,ClusterValue,3,200,10,45,51,"Freeze(CCW,9)",58635,2452.29,0.5
8452,5,15,ClusterValue,3,200,10,45,34,"Hit(CW,0,WEAK)",153,10.6933,0.5
1028,6,15,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",151,10.6021,0.5
2596,1,14,ClusterValue,3,200,10,45,86,"Hit(CW,11,MIDDLE)",5905,259.522,0.5
4748,1,3,ClusterValue,3,200,10,45,40,"Freeze(CW,0)",170072,7026.24,0.5
9206,3,13,ClusterValue,3,200,10,45,35,"Hit(CCW,12,WEAK)",6736,280.754,0.5
5859,1,6,ClusterValue,3,200,10,45,45,"Hit(CCW,5,WEAK)",127006,5489.44,0.5
6871,4,5,ClusterValue,3,200,10,45,21,"Draw(CCW,L5)",147370,5168.17,0.5
7163,3,13,ClusterValue,3,200,10,45,69,"Hit(CCW,12,STRONG)",11028,490.486,0.5
5807,0,8,ClusterValue,3,200,10,45,45,"Hit(CCW,5,WEAK)",99677,4508.23,0.5
5567,2,15,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",129,8.49569,0.5
2507,3,11,ClusterValue,3,200,10,45,61,"Hit(CCW,8,MIDDLE)",49198,1995.23,0.5
7006,3,15,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",145,10.0564,0.5
1984,6,4,ClusterValue,3,200,10,45,44,"Hit(CW,3,WEAK)",158096,6874.85,0.5
1845,7,14,ClusterValue,3,200,10,45,42,"PostGuard(CW,10,0)",2276,79.3118,0.5
5780,2,6,ClusterValue,3,200,10,45,35,"Hit(CCW,5,WEAK)",121588,5191.02,0.5
8645,7,5,ClusterValue,3,200,10,45,46,"Hit(CW,2,MIDDLE)",146531,6582.01,0.5
