target,feature,n,rho,p
d_A2_A1,md_screen_loss,200,0.40943138264072454,1.7450385380613899e-09
d_A2_A1,best_cluster_size,200,0.35126263322240214,3.3980097641612495e-07
d_A2_A1,type_purity,200,-0.23060072053001263,0.0010193368807004358
d_A2_A1,within_sd_q,200,0.1890274436450906,0.007346689466261368
d_A2_A1,true_top_cluster_selected,200,0.1829007212197424,0.009533708027598618
d_A2_A1,lookahead_gain_mean,150,-0.17899913117208763,0.028402926003343997
d_A2_A1,best_cluster_selected,200,0.17654398660990286,0.01239364039634552
d_A2_A1,rho_gain_sd,198,-0.17290523851764425,0.014852186316442875
d_A2_A1,q_range,200,0.15684288219588155,0.026559246686642116
d_A2_A1,x_spread,198,0.15655365149009123,0.02762602257021544
d_A2_A1,best_p_ge2,200,0.1501224276690989,0.03385592706986406
d_A2_A1,q_sd_mean,200,-0.14255375025191774,0.04404378577571747
d_A2_A1,cluster_sd_mean,200,-0.1422843669649565,0.044449248261370866
d_A2_A1,q_star_minus_median,200,0.1419016383519569,0.04503068376361232
d_A2_A1,q_sd_median,200,-0.14076932726866506,0.0467882580962257
d_A2_A1,singleton_frac,200,0.139716945750919,0.04847277238126026
d_A2_A1,n_singleton,200,0.13488995116621938,0.056859716195639357
d_A2_A1,house_diff,200,-0.1324636959310694,0.061508039112454185
d_A2_A1,remaining,200,-0.13206588054158874,0.062299189610870095
d_A2_A1,q_star,200,0.1271637157289884,0.07275159485287014
d_A2_A1,frac_near_best_050,200,-0.1261203789217737,0.07515056210921267
d_A2_A1,counting_op,200,-0.12284043533746829,0.08311235616942621
d_A2_A1,q_2nd,200,0.11935989723408154,0.09228860782075425
d_A2_A1,size_entropy_norm,200,-0.11860641427000607,0.09437772095076274
d_A2_A1,qadj_star_l0.5,200,0.11855520745289387,0.09452105156777268
d_A2_A1,score_now,200,0.11657830964011202,0.10018808183383178
d_A2_A1,rho_cand,198,0.11273062179873308,0.11381823771878008
d_A2_A1,best_hist_entropy,200,-0.11163241702249022,0.11554567149011344
d_A2_A1,n_near_best_050,200,-0.11038859955723802,0.11968317780838818
d_A2_A1,counting_my,200,0.10741408028558551,0.1300445139571263
d_A2_A1,frac_guard,200,-0.10239469299128638,0.14907737454950135
d_A2_A1,no1_mine,200,0.10149530437790752,0.15270009137051488
d_A2_A1,y_spread,198,0.10127093820809266,0.1557130172952666
d_A2_A1,house_mean_nn_dist,196,0.0992208785416406,0.1664736662535994
d_A2_A1,n_types_near_best_050,200,-0.09358752537732308,0.18746133948980967
d_A2_A1,mean_nn_dist,198,0.09191611612284722,0.1977760849189183
d_A2_A1,q_min,200,-0.08830388730932319,0.21371737154620318
d_A2_A1,n_near_best_025,200,-0.08559728698268664,0.2281438749092645
d_A2_A1,q_sd_best,200,-0.08319053268032665,0.24153900506656606
d_A2_A1,best_p_negative,200,-0.08227441315080253,0.24677936613649132
d_A2_A1,md_rep_q_max,200,-0.08213576076338996,0.24757931637851735
d_A2_A1,between_range_q,200,-0.08023710742861531,0.2587149867725552
d_A2_A1,frac_hit,200,0.077105318541581,0.27782625785137693
d_A2_A1,largest_frac,200,0.06830044951190206,0.33656094375153167
d_A2_A1,rho_cand_risk_l0.5,198,0.06807811561892564,0.3405977372703089
d_A2_A1,best_cluster_rank,200,-0.06546558726861962,0.3570459625449715
d_A2_A1,no1_no2_gap,196,0.06536043695321561,0.3627345283371018
d_A2_A1,lookahead_gain_best,150,-0.06130770008666124,0.456100627957409
d_A2_A1,rep_q_max,200,0.060741316501169776,0.39287405036765943
d_A2_A1,n_back_house,200,0.05817675558546472,0.4131973742211497
d_A2_A1,q_median,200,-0.054685028663555915,0.4418390935762064
d_A2_A1,rho_cluster,198,0.051070937921405955,0.4748882518135281
d_A2_A1,n_op_house,200,0.050093039925641576,0.48116842572899077
d_A2_A1,n_within_1.22,200,-0.04938118653123009,0.48743019800304105
d_A2_A1,q_gap12,200,0.04930867356280963,0.4880704946539404
d_A2_A1,q_mean,200,-0.04694877249135893,0.5091522126004724
d_A2_A1,n_op,200,0.04580881365642997,0.5195027786494597
d_A2_A1,n_types,200,0.04215626147559001,0.5533777536366257
d_A2_A1,rho_cluster_risk_l0.5,198,0.041244233955185526,0.5639875395612622
d_A2_A1,best_type_margin,200,0.03925425934763258,0.58103592083396
d_A2_A1,best_is_rep,200,-0.033726595193708235,0.6354205014179353
d_A2_A1,q_iqr,200,-0.03256474878274035,0.6471177758635271
d_A2_A1,n_my_house,200,-0.03122720299073992,0.6606917307024408
d_A2_A1,min_pair_dist,198,0.025383482846817764,0.7226098271832585
d_A2_A1,mean_cluster_size,200,-0.02218833275724053,0.7551454338222976
d_A2_A1,n_front_house,200,-0.01861918338445708,0.7935625837070259
d_A2_A1,n_cand,200,0.018512874634166634,0.794715028512695
d_A2_A1,n_cand_ct,200,0.018512874634166634,0.794715028512695
d_A2_A1,topk_overlap_l0.5,200,-0.01774047931870666,0.8031014206209335
d_A2_A1,n_stones,200,0.016973199841382482,0.8114546058495279
d_A2_A1,n_my,200,-0.01664049038336847,0.8150834240991601
d_A2_A1,K_clusters,200,0.014258648843300466,0.8411724551055181
d_A2_A1,n_house,200,0.010076238530802148,0.8873881213742447
d_A2_A1,house_density,200,0.010076238530802148,0.8873881213742447
d_A2_A1,n_within_0.61,200,-0.006309598064558583,0.9293419753789434
d_A2_A1,frac_draw,200,0.006308325130941787,0.9293561932961116
d_A9P5_A1,lookahead_gain_mean,150,-0.17214153840753085,0.035168900386444046
d_A9P5_A1,best_cluster_size,200,0.16353798038918912,0.020674323336537542
d_A9P5_A1,counting_op,200,-0.15902945663661722,0.02449642570481176
d_A9P5_A1,score_now,200,0.1423717667411349,0.04431735725146003
