group,level,target,n,mean,se,median,kruskal_p
problem_type,degenerate,d_A9P5_A1,32,0.0,0.0,0.0,0.9931059833803225
problem_type,flat,d_A9P5_A1,16,0.04125000000000002,0.09884535480570984,-0.001,0.9931059833803225
problem_type,multi_area,d_A9P5_A1,147,0.011727891156462585,0.023934520991860008,0.0,0.9931059833803225
problem_type,needle,d_A9P5_A1,5,-0.1564000000000001,0.2895418104523075,0.0139999999999997,0.9931059833803225
problem_type,degenerate,d_A9P5_A2,32,-0.545,0.17566521035490285,-0.2425,0.007792465906799613
problem_type,flat,d_A9P5_A2,16,0.019562500000000007,0.04922321342195502,0.01,0.007792465906799613
problem_type,multi_area,d_A9P5_A2,147,-0.03172789115646259,0.01813137521278531,-0.037,0.007792465906799613
problem_type,needle,d_A9P5_A2,5,0.4264,0.43884970092276465,0.0,0.007792465906799613
problem_type,degenerate,d_A2_A1,32,0.545,0.17566521035490285,0.2425,0.006030490066157544
problem_type,flat,d_A2_A1,16,0.021687500000000026,0.09347685625998554,0.0,0.006030490066157544
problem_type,multi_area,d_A2_A1,147,0.04345578231292517,0.027277743994426135,0.0059999999999999,0.006030490066157544
problem_type,needle,d_A2_A1,5,-0.5828,0.49560825255437385,-0.048,0.006030490066157544
problem_type,degenerate,d_A9R05_A9P5,32,0.0,0.0,0.0,0.609564829103207
problem_type,flat,d_A9R05_A9P5,16,0.010562500000000013,0.03661636345838656,0.03249999999999995,0.609564829103207
problem_type,multi_area,d_A9R05_A9P5,147,0.03080272108843538,0.012656459598561142,0.018,0.609564829103207
problem_type,needle,d_A9R05_A9P5,5,0.03380000000000004,0.07348360361332312,0.0,0.609564829103207
problem_type,degenerate,dadj_A9R05_A9P5,32,0.0,0.0,0.0,0.7912614926696178
problem_type,flat,dadj_A9R05_A9P5,16,-0.001033999999999982,0.035277027861390656,0.026496499999999947,0.7912614926696178
problem_type,multi_area,dadj_A9R05_A9P5,147,0.02854095850340135,0.014256564558589025,0.0098859999999998,0.7912614926696178
problem_type,needle,dadj_A9R05_A9P5,5,0.01563274,0.07171876249335034,0.0,0.7912614926696178
problem_type,degenerate,screen_loss,32,0.45890624999999996,0.13202912648607276,0.08499999999999995,0.1137098395561567
problem_type,flat,screen_loss,16,0.29875,0.06313560142001237,0.1935,0.1137098395561567
problem_type,multi_area,screen_loss,147,0.21935374149659861,0.011217239661977697,0.2119999999999999,0.1137098395561567
problem_type,needle,screen_loss,5,0.5161999999999999,0.16040991241192046,0.4679999999999998,0.1137098395561567
problem_type,degenerate,rho_gain,30,0.0023475224705880515,0.10195146543339909,0.1182882714165464,0.3761366494806464
problem_type,flat,rho_gain,16,0.13880312867375794,0.024690158223896565,0.1207014197852674,0.3761366494806464
problem_type,multi_area,rho_gain,147,0.08890083710608451,0.010266680551752679,0.0881063098029763,0.3761366494806464
problem_type,needle,rho_gain,5,0.034728332850415246,0.04729867341915418,0.0792928257247415,0.3761366494806464
problem_type,degenerate,eta2_q,32,0.10272228739267851,0.02173668365492015,0.0655921083383981,5.9402804741546944e-18
problem_type,flat,eta2_q,16,0.7243442323533607,0.03260694942113447,0.7606426772591212,5.9402804741546944e-18
problem_type,multi_area,eta2_q,147,0.5473527617192814,0.01589064998542738,0.5506803402537137,5.9402804741546944e-18
problem_type,needle,eta2_q,5,0.712839199238159,0.07281307045932063,0.7951962103135277,5.9402804741546944e-18
phase_r,early_r9+,d_A9P5_A1,57,-0.00985964912280703,0.017991964904523938,0.0159999999999999,0.9456688848776811
phase_r,late_r2-4,d_A9P5_A1,59,0.019966101694915254,0.05984121775135223,0.0,0.9456688848776811
phase_r,mid_r5-8,d_A9P5_A1,52,0.018961538461538467,0.03446946493966207,0.012499999999999949,0.9456688848776811
phase_r,r1,d_A9P5_A1,32,0.0,0.0,0.0,0.9456688848776811
phase_r,early_r9+,d_A9P5_A2,57,-0.021859649122807013,0.016001888175642624,-0.0259999999999999,0.01519336666944489
phase_r,late_r2-4,d_A9P5_A2,59,0.030423728813559328,0.051705756113867435,-0.009,0.01519336666944489
phase_r,mid_r5-8,d_A9P5_A2,52,-0.053230769230769255,0.029811064374047198,-0.03300000000000005,0.01519336666944489
phase_r,r1,d_A9P5_A2,32,-0.545,0.17566521035490285,-0.2425,0.01519336666944489
phase_r,early_r9+,d_A2_A1,57,0.011999999999999993,0.020199723316301578,0.013,0.013174438082948749
phase_r,late_r2-4,d_A2_A1,59,-0.010457627118644052,0.07334536495986102,0.0,0.013174438082948749
phase_r,mid_r5-8,d_A2_A1,52,0.07219230769230771,0.04327079869791995,0.00849999999999995,0.013174438082948749
phase_r,r1,d_A2_A1,32,0.545,0.17566521035490285,0.2425,0.013174438082948749
phase_r,early_r9+,d_A9R05_A9P5,57,0.008982456140350882,0.013739463751471115,0.006,0.048944872162298675
phase_r,late_r2-4,d_A9R05_A9P5,59,0.014406779661016965,0.023980804210228173,0.004,0.048944872162298675
phase_r,mid_r5-8,d_A9R05_A9P5,52,0.06738461538461536,0.0211938043012289,0.05599999999999995,0.048944872162298675
phase_r,r1,d_A9R05_A9P5,32,0.0,0.0,0.0,0.048944872162298675
phase_r,early_r9+,dadj_A9R05_A9P5,57,0.005038438596491249,0.014856337587690798,-0.008781,0.09633472223375225
phase_r,late_r2-4,dadj_A9R05_A9P5,59,0.009181077966101674,0.02689076222174133,0.0117009999999999,0.09633472223375225
phase_r,mid_r5-8,dadj_A9R05_A9P5,52,0.06592819230769228,0.023569395878169405,0.04963249999999995,0.09633472223375225
phase_r,r1,dadj_A9R05_A9P5,32,0.0,0.0,0.0,0.09633472223375225
phase_r,early_r9+,screen_loss,57,0.20996491228070172,0.01220047055545859,0.1959999999999999,0.14621018881784315
phase_r,late_r2-4,screen_loss,59,0.23505084745762705,0.02754374262655205,0.2079999999999999,0.14621018881784315
phase_r,mid_r5-8,screen_loss,52,0.26480769230769224,0.023900955736419465,0.2379999999999999,0.14621018881784315
phase_r,r1,screen_loss,32,0.45890624999999996,0.13202912648607276,0.08499999999999995,0.14621018881784315
phase_r,early_r9+,rho_gain,57,0.0702591290779474,0.015329820730451747,0.0739741943908803,0.2853049962122891
phase_r,late_r2-4,rho_gain,59,0.11589139566974616,0.01626019309344499,0.1215815004745254,0.2853049962122891
phase_r,mid_r5-8,rho_gain,52,0.0888567706859346,0.017260379009635844,0.0771814604777297,0.2853049962122891
phase_r,r1,rho_gain,30,0.0023475224705880515,0.10195146543339909,0.1182882714165464,0.2853049962122891
phase_r,early_r9+,eta2_q,57,0.4067220271739155,0.017913825272239153,0.398103328661902,4.464071567933399e-28
phase_r,late_r2-4,eta2_q,59,0.7256314356617238,0.01735377950343782,0.726388206133653,4.464071567933399e-28
phase_r,mid_r5-8,eta2_q,52,0.569599027569693,0.02244202031115215,0.5708752675231716,4.464071567933399e-28
phase_r,r1,eta2_q,32,0.10272228739267851,0.02173668365492015,0.0655921083383981,4.464071567933399e-28
phase_shot,early,d_A9P5_A1,45,-0.0276,0.01831261639394871,-0.023,0.243468253645108
phase_shot,late,d_A9P5_A1,91,0.012945054945054945,0.03869412111924825,0.0,0.243468253645108
phase_shot,mid,d_A9P5_A1,64,0.026031249999999992,0.029322863803555494,0.045,0.243468253645108
phase_shot,early,d_A9P5_A2,45,-0.024622222222222215,0.018433179595196712,-0.027,0.609691647723124
phase_shot,late,d_A9P5_A2,91,-0.17192307692307693,0.07545526491803504,-0.0119999999999999,0.609691647723124
phase_shot,mid,d_A9P5_A2,64,-0.04540625000000001,0.024983900756267177,-0.022000000000000047,0.609691647723124
phase_shot,early,d_A2_A1,45,-0.0029777777777777706,0.020930126392280993,0.0009999999999999,0.3057172108136064
phase_shot,late,d_A2_A1,91,0.18486813186813184,0.08226154009589046,0.0,0.3057172108136064
phase_shot,mid,d_A2_A1,64,0.0714375,0.03643582553532273,0.014,0.3057172108136064
phase_shot,early,d_A9R05_A9P5,45,0.005111111111111112,0.013948108094518984,0.0119999999999999,0.07250748473096931
phase_shot,late,d_A9R05_A9P5,91,0.00934065934065935,0.01551802465133429,0.0,0.07250748473096931
phase_shot,mid,d_A9R05_A9P5,64,0.059156249999999994,0.01879390651245791,0.043999999999999956,0.07250748473096931
phase_shot,early,dadj_A9R05_A9P5,45,-0.003414311111111097,0.015008883396876409,-0.008781,0.10460638498568507
phase_shot,late,dadj_A9R05_A9P5,91,0.005952567032967016,0.017388198021329147,0.0,0.10460638498568507
phase_shot,mid,dadj_A9R05_A9P5,64,0.060454703124999995,0.020682471165200375,0.03482049999999995,0.10460638498568507
phase_shot,early,screen_loss,45,0.205,0.013972989817660514,0.193,0.09167959883882218
phase_shot,late,screen_loss,91,0.3137692307692307,0.05055012883762159,0.14,0.09167959883882218
phase_shot,mid,screen_loss,64,0.25801562499999997,0.019989115244742804,0.2379999999999999,0.09167959883882218
phase_shot,early,rho_gain,45,0.07429682013896659,0.014721495165839328,0.0739741943908803,0.22404280642351823
phase_shot,late,rho_gain,89,0.07761817998463667,0.036095187631955704,0.1215815004745254,0.22404280642351823
phase_shot,mid,rho_gain,64,0.0825307113571579,0.016657139988694825,0.0771814604777297,0.22404280642351823
phase_shot,early,eta2_q,45,0.40156869870382184,0.019885277806349588,0.4060608158512465,0.0010892529050033012
phase_shot,late,eta2_q,91,0.5065864604462353,0.0341466946034153,0.6227440306606409,0.0010892529050033012
phase_shot,mid,eta2_q,64,0.5426830240760194,0.020965635038722612,0.5464897634825828,0.0010892529050033012
has_hammer,0,d_A9P5_A1,80,0.0034124999999999976,0.03915685227773847,0.0,0.9950122807717074
has_hammer,1,d_A9P5_A1,120,0.011075,0.021790054275658298,0.0,0.9950122807717074
has_hammer,0,d_A9P5_A2,80,-0.000525000000000006,0.037977149921225535,-0.041499999999999954,0.4019818395720367
has_hammer,1,d_A9P5_A2,120,-0.163475,0.05315416372024227,-0.022000000000000047,0.4019818395720367
has_hammer,0,d_A2_A1,80,0.003937500000000002,0.05414732699011144,0.0035,0.4761873896234031
has_hammer,1,d_A2_A1,120,0.17455000000000004,0.05480511417026413,0.0,0.4761873896234031
has_hammer,0,d_A9R05_A9P5,80,0.04614999999999999,0.01839099858936224,0.038499999999999895,0.01335369388655366
has_hammer,1,d_A9R05_A9P5,120,0.009783333333333344,0.0108954297676868,0.0,0.01335369388655366
has_hammer,0,dadj_A9R05_A9P5,80,0.03856532249999997,0.02069296824131526,0.0270219999999999,0.033466208286146513
has_hammer,1,dadj_A9R05_A9P5,120,0.009765956666666669,0.011975775243537533,0.0,0.033466208286146513
has_hammer,0,screen_loss,80,0.21267499999999995,0.017723891254533573,0.2,0.4033604350269515
has_hammer,1,screen_loss,120,0.3106416666666666,0.038213675371662835,0.21199999999999997,0.4033604350269515
has_hammer,0,rho_gain,80,0.10581282207670564,0.014184185580748122,0.0963865546658347,0.3887692137175752
has_hammer,1,rho_gain,118,0.059900971911930626,0.027422111128371732,0.094693111500945,0.3887692137175752
has_hammer,0,eta2_q,80,0.5956697450520542,0.023578041474294317,0.6351107271516112,6.598383169758952e-06
has_hammer,1,eta2_q,120,0.42706744399150254,0.0233373353104712,0.4530016557836123,6.598383169758952e-06
n_stones_bin,0-1,d_A9P5_A1,2,0.055999999999999994,0.002999999999999999,0.055999999999999994,0.6592307218046125
n_stones_bin,13-16,d_A9P5_A1,25,-0.05108000000000002,0.06584787822448546,0.0,0.6592307218046125
n_stones_bin,2-4,d_A9P5_A1,67,0.014328358208955215,0.027730730088706496,0.0,0.6592307218046125
n_stones_bin,5-8,d_A9P5_A1,64,-0.00017187499999998974,0.0346801467230159,0.0,0.6592307218046125
n_stones_bin,9-12,d_A9P5_A1,42,0.043285714285714295,0.056364514723302304,0.0,0.6592307218046125
n_stones_bin,0-1,d_A9P5_A2,2,-0.0584999999999999,0.0465,-0.0584999999999999,0.9204352826390346
