target,feature,n,rho,p
d_A2_A1,md_screen_loss,150,0.3814365424264408,1.4654356081430425e-06
d_A2_A1,best_cluster_size,150,0.3720394537079013,2.761460665120069e-06
d_A2_A1,type_purity,150,-0.27364292499199866,0.0007032704205530592
d_A2_A1,q_range,150,0.2364650061474528,0.0035763231034757624
d_A2_A1,rho_gain_sd,149,-0.22385184689190077,0.006062834091069068
d_A2_A1,within_sd_q,150,0.2231851471536301,0.0060455813639206
d_A2_A1,y_spread,150,0.2116019246415005,0.009338492422142427
d_A2_A1,n_singleton,150,0.2076903147719915,0.010763985301211348
d_A2_A1,q_star_minus_median,150,0.19818530499083908,0.015052055811643855
d_A2_A1,singleton_frac,150,0.19636670469696885,0.016023989731055868
d_A2_A1,rho_cand,149,0.19572106881907686,0.01675031898585982
d_A2_A1,x_spread,150,0.1948621047610257,0.01686894493747938
d_A2_A1,size_entropy_norm,150,-0.1909506804201698,0.0192489279089127
d_A2_A1,q_sd_median,150,-0.18840854925887254,0.02094696827602709
d_A2_A1,remaining,150,-0.18821066143377924,0.021084409779855724
d_A2_A1,frac_near_best_050,150,-0.1865192527680278,0.02229122992842437
d_A2_A1,cluster_sd_mean,150,-0.1860768566057112,0.02261651976957159
d_A2_A1,best_p_ge2,150,0.18424134468809839,0.024010138954352826
d_A2_A1,q_sd_mean,150,-0.1831454759699634,0.02487682924761914
d_A2_A1,lookahead_gain_mean,150,-0.17899913117208763,0.028402926003343997
d_A2_A1,q_star,150,0.1735136869595853,0.033715579766839775
d_A2_A1,qadj_star_l0.5,150,0.1674296574139314,0.040568682744926164
d_A2_A1,rho_cand_risk_l0.5,149,0.1650425679525946,0.044277907167896945
d_A2_A1,q_2nd,150,0.16499575637915226,0.04362010284507048
d_A2_A1,frac_hit,150,0.15983832660387753,0.050722998932327894
d_A2_A1,n_near_best_050,150,-0.1559629356064148,0.0566698921723125
d_A2_A1,n_near_best_025,150,-0.15556845015400295,0.05730619444408885
d_A2_A1,counting_my,150,0.15290267503326602,0.06176185057685293
d_A2_A1,best_hist_entropy,150,-0.14083839882633947,0.08560333803823786
d_A2_A1,n_types_near_best_050,150,-0.13984195075143874,0.08786357597166755
d_A2_A1,best_cluster_selected,150,0.13804257805835105,0.09206556709321431
d_A2_A1,n_op_house,150,0.13592377987934257,0.09721665572288546
d_A2_A1,n_op,150,0.13366000194748304,0.10296947661697572
d_A2_A1,true_top_cluster_selected,150,0.13082402377952665,0.11055070613397282
d_A2_A1,q_sd_best,150,-0.12951127609368482,0.11420455552848695
d_A2_A1,score_now,150,0.12851833734671753,0.11703023887892224
d_A2_A1,best_p_negative,150,-0.12647559105631667,0.12301403994950189
