group,level,target,n,mean,se,median,kruskal_p
problem_type,degenerate,d_A9P5_A1,24,0.0,0.0,0.0,0.7352158818315004
problem_type,flat,d_A9P5_A1,10,0.1498,0.14413780443265628,0.04949999999999985,0.7352158818315004
problem_type,multi_area,d_A9P5_A1,114,0.021701754385964906,0.027084315582463873,0.00799999999999995,0.7352158818315004
problem_type,needle,d_A9P5_A1,2,-0.4425,0.8324999999999998,-0.4425,0.7352158818315004
problem_type,degenerate,d_A9P5_A2,24,-0.5527083333333334,0.21426610063432494,-0.41999999999999993,0.020550732283585983
problem_type,flat,d_A9P5_A2,10,-0.0023000000000000186,0.063130737363031,0.0225,0.020550732283585983
problem_type,multi_area,d_A9P5_A2,114,-0.04417543859649123,0.020998884518078006,-0.041499999999999954,0.020550732283585983
problem_type,needle,d_A9P5_A2,2,-0.1045,0.1045,-0.1045,0.020550732283585983
problem_type,degenerate,d_A2_A1,24,0.5527083333333334,0.21426610063432494,0.41999999999999993,0.04686528199822789
problem_type,flat,d_A2_A1,10,0.15209999999999999,0.10724017178485142,0.0010000000000001,0.04686528199822789
problem_type,multi_area,d_A2_A1,114,0.06587719298245613,0.030289838676069856,0.01349999999999995,0.04686528199822789
problem_type,needle,d_A2_A1,2,-0.33799999999999997,0.9369999999999999,-0.33799999999999997,0.04686528199822789
problem_type,degenerate,d_A9R05_A9P5,24,0.0,0.0,0.0,0.1790474749400014
problem_type,flat,d_A9R05_A9P5,10,-0.0052999999999999575,0.044888763751200704,0.0024999999999999,0.1790474749400014
problem_type,multi_area,d_A9R05_A9P5,114,0.035754385964912296,0.01433905621212283,0.020999999999999998,0.1790474749400014
problem_type,needle,d_A9R05_A9P5,2,0.182,0.08800000000000001,0.182,0.1790474749400014
problem_type,degenerate,dadj_A9R05_A9P5,24,0.0,0.0,0.0,0.18165312187023408
problem_type,flat,dadj_A9R05_A9P5,10,-0.02241539999999999,0.04332655271596033,0.0007289999999999493,0.18165312187023408
problem_type,multi_area,dadj_A9R05_A9P5,114,0.03469728421052631,0.01611269142453339,0.01470049999999995,0.18165312187023408
problem_type,needle,dadj_A9R05_A9P5,2,0.16009284999999995,0.03270184999999994,0.16009284999999995,0.18165312187023408
problem_type,degenerate,screen_loss,24,0.4754166666666666,0.16687882782524724,0.08499999999999995,0.2654876362304319
problem_type,flat,screen_loss,10,0.3378,0.0857455926952906,0.26399999999999996,0.2654876362304319
problem_type,multi_area,screen_loss,114,0.22753508771929826,0.013258534056447124,0.2114999999999999,0.2654876362304319
problem_type,needle,screen_loss,2,0.4875,0.48749999999999993,0.4875,0.2654876362304319
problem_type,degenerate,rho_gain,23,0.0331813595418286,0.11334900175032611,0.1290636319943801,0.6265666342231522
problem_type,flat,rho_gain,10,0.12400595689395366,0.023392798930001416,0.11077702241690404,0.6265666342231522
problem_type,multi_area,rho_gain,114,0.08015898244187264,0.011414989993943744,0.07127845231143845,0.6265666342231522
problem_type,needle,rho_gain,2,0.08162398062902845,0.002331154904286953,0.08162398062902845,0.6265666342231522
problem_type,degenerate,eta2_q,24,0.12014287608517486,0.027481118908924816,0.0758107440208264,1.8405497334027508e-12
problem_type,flat,eta2_q,10,0.7052466044346704,0.0478533706660898,0.7400880065955232,1.8405497334027508e-12
problem_type,multi_area,eta2_q,114,0.5341511717335176,0.018029858894963217,0.541321724132779,1.8405497334027508e-12
