target,feature,n,rho,p
d_A2_A1,md_screen_loss,50,0.4782531698318893,0.00044340327376184824
d_A2_A1,best_cluster_selected,50,0.3972975532474573,0.004278231056097169
d_A2_A1,true_top_cluster_selected,50,0.37131686386746854,0.007934332512269904
d_A2_A1,between_range_q,50,-0.34924176423761377,0.012923323198363068
d_A2_A1,best_cluster_size,50,0.3188946531048624,0.023996783558236326
d_A2_A1,best_cluster_rank,50,-0.2209283079333671,0.12312036188535969
d_A2_A1,n_front_house,50,-0.18749247302713581,0.1922891326248588
d_A2_A1,n_within_1.22,50,-0.17662790020311622,0.21981016761995673
d_A2_A1,n_stones,50,-0.17335114775421503,0.22862259700547433
d_A2_A1,n_cand,50,-0.1732216040542861,0.22897592253036245
d_A2_A1,n_cand_ct,50,-0.1732216040542861,0.22897592253036245
d_A2_A1,house_mean_nn_dist,47,0.17141556007056813,0.24929104939938385
d_A2_A1,y_spread,48,-0.17112435564729403,0.24485586679805918
d_A2_A1,K_clusters,50,-0.17052320426810366,0.23642138615575684
d_A2_A1,n_my_house,50,-0.16804415268647024,0.2434062273814705
d_A2_A1,n_house,50,-0.16668028158171727,0.24730827736349473
d_A2_A1,house_density,50,-0.16668028158171727,0.24730827736349473
d_A2_A1,frac_draw,50,0.1663735539872766,0.24819163720898202
d_A2_A1,n_op,50,-0.1654099603475497,0.25098063290918404
d_A2_A1,q_iqr,50,-0.16463863769597167,0.25322833097305486
d_A2_A1,n_op_house,50,-0.16330253171062456,0.25715389521197524
d_A2_A1,n_my,50,-0.16244611190433572,0.25969150560008175
d_A2_A1,best_is_rep,50,-0.15945531512992972,0.2686847411141121
d_A2_A1,counting_op,50,-0.15637512511292287,0.2781607784945962
d_A2_A1,topk_overlap_l0.5,50,-0.15449312513841035,0.2840577540451239
d_A2_A1,frac_guard,50,-0.1468058648450882,0.3089900105008098
d_A2_A1,mean_cluster_size,50,-0.14562225176816884,0.3129495747840381
d_A2_A1,md_rep_q_max,50,-0.14138024996308532,0.32740484682150084
d_A2_A1,frac_hit,50,-0.13658825376591596,0.34423063765830986
d_A2_A1,n_near_best_025,50,0.12276918284541263,0.3956743599338404
d_A2_A1,rho_cand_risk_l0.5,49,-0.12107754100670509,0.40726379032773713
d_A2_A1,mean_nn_dist,48,0.11556873573892854,0.43409462279960576
d_A2_A1,min_pair_dist,48,0.11404666396061715,0.44021277249793545
d_A2_A1,best_type_margin,50,-0.11157876550533602,0.4404468020693366
d_A2_A1,n_types,50,-0.10823925960712774,0.45433282067601083
d_A2_A1,q_sd_mean,50,-0.09948559288320907,0.4918402269530177
d_A2_A1,house_diff,50,-0.09913411780256479,0.4933790568457775
d_A2_A1,best_hist_entropy,50,-0.09410245526821012,0.5156795187949876
d_A2_A1,q_sd_median,50,-0.08840444835170219,0.541530557024185
d_A2_A1,n_back_house,50,-0.08512004334106675,0.5567105919339211
d_A2_A1,score_now,50,0.08454348134686185,0.5593959446002561
d_A2_A1,n_within_0.61,50,-0.07789720561991724,0.5907821900695299
d_A2_A1,type_purity,50,-0.07757982562545734,0.5923003947283839
d_A2_A1,no1_no2_gap,47,0.063006800458371,0.6739450361162341
d_A2_A1,rho_cluster_risk_l0.5,49,0.05912400643275956,0.6865530223623224
d_A2_A1,best_p_ge2,50,0.05859151956629105,0.6860853603762584
d_A2_A1,size_entropy_norm,50,0.058376660088095576,0.6871773771939645
d_A2_A1,n_singleton,50,-0.057217802424889885,0.6930780900496742
d_A2_A1,q_gap12,50,0.05362771579193116,0.7114716148734491
d_A2_A1,cluster_sd_mean,50,-0.05207486568028778,0.7194789203330969
d_A2_A1,q_range,50,-0.052030529610650925,0.7197079833290213
d_A2_A1,rho_cand,49,-0.051576683431789186,0.7248750737510808
d_A2_A1,q_star,50,0.05111441489530269,0.7244465326147073
d_A2_A1,qadj_star_l0.5,50,0.039381661146992375,0.7859815849590048
d_A2_A1,rho_gain_sd,49,-0.03917257462114744,0.7892906856085335
d_A2_A1,q_2nd,50,0.037555330748601845,0.7956885408460139
d_A2_A1,remaining,50,-0.035176425361181235,0.8083782875949463
d_A2_A1,x_spread,48,0.03272454323369472,0.8252442577999755
d_A2_A1,largest_frac,50,0.030015887669781357,0.836070259832055
d_A2_A1,counting_my,50,-0.02643378092938109,0.855410704796783
d_A2_A1,q_mean,50,-0.024090034816088804,0.868111429461884
d_A2_A1,no1_mine,50,-0.020981337695829473,0.885007872062938
d_A2_A1,best_p_negative,50,0.01808606184856186,0.9007901569955963
d_A2_A1,frac_near_best_050,50,0.017791470847847594,0.9023982212564918
d_A2_A1,rho_cluster,49,0.017670647246403496,0.904078638821532
d_A2_A1,q_median,50,-0.01620660977008146,0.9110558943194246
d_A2_A1,within_sd_q,50,-0.01601193930889735,0.9121200530432131
d_A2_A1,q_star_minus_median,50,-0.011782253393679403,0.9352760206588006
d_A2_A1,q_min,50,-0.011492604416025403,0.9368639016697906
