game_id,end,shot_num,team,remaining,has_hammer,phase_shot,phase_r,n_stones,n_stones_bin,n_my,n_op,n_my_house,n_op_house,n_house,house_diff,n_my_guard,n_op_guard,n_guard,n_center_guard,center_lane_blocked,n_front_house,n_back_house,n_within_0.61,n_within_1.22,d_no1,no1_mine,d_no2,no1_no2_gap,counting_my,counting_op,score_now,min_pair_dist,mean_nn_dist,x_spread,y_spread,house_mean_nn_dist,house_density,n_cand,q_star,q_2nd,q_gap12,q_median,q_mean,q_min,q_range,q_iqr,q_star_minus_median,n_near_best_025,n_near_best_050,frac_near_best_050,q_sd_mean,q_sd_median,q_sd_best,best_type,n_types,frac_hit,frac_draw,frac_guard,best_type_margin,n_types_near_best_050,best_type_is_hit,best_hist_entropy,best_p_negative,best_p_ge2,qadj_star_l0.5,qadj_best_same_as_q_best_l0.5,qadj_best_type_l0.5,lookahead_gain_best,lookahead_gain_mean,n_cand_ct,K_clusters,n_reps,largest_frac,n_singleton,singleton_frac,size_entropy_norm,mean_cluster_size,type_purity,eta2_q,within_sd_q,between_range_q,best_is_rep,best_cluster_selected,best_cluster_size,rep_q_max,screen_loss,true_top_cluster_selected,rho_cand,rho_cluster,rho_gain,cluster_sd_mean,best_cluster_rank,rho_cluster_risk_l0.5,rho_cand_risk_l0.5,topk_overlap_l0.5,n_seeds_ct,rho_gain_sd,md_best_is_rep,md_best_cluster_selected,md_rep_q_max,md_screen_loss,regret_A1,regret_A1_sd,n_seeds_A1,regret_adj_A1,regret_adj_A1_sd,regret_A9P5,regret_A9P5_sd,n_seeds_A9P5,regret_adj_A9P5,regret_adj_A9P5_sd,regret_A9P5N,regret_A9P5N_sd,n_seeds_A9P5N,regret_adj_A9P5N,regret_adj_A9P5N_sd,regret_A11b,regret_A11b_sd,n_seeds_A11b,regret_adj_A11b,regret_adj_A11b_sd,regret_A11a,regret_A11a_sd,n_seeds_A11a,regret_adj_A11a,regret_adj_A11a_sd,d_A9P5_A1,d_A9P5N_A1,d_A9P5N_A9P5,d_A11b_A1,d_A11b_A9P5,d_A11b_A9P5N,d_A11a_A1,d_A11a_A9P5,d_A11a_A9P5N,d_A11a_A11b,dadj_A9P5_A1,dadj_A9P5N_A1,dadj_A9P5N_A9P5,dadj_A11b_A1,dadj_A11b_A9P5,dadj_A11b_A9P5N,dadj_A11a_A1,dadj_A11a_A9P5,dadj_A11a_A9P5N,dadj_A11a_A11b
7977,6,14,0,2,0,late,late_r2-4,14,13-16,7,7,7,7,14,0,0,0,0,0,1,7,7,6,12,0.01418547287785671,0,0.29505560837916645,0.28087013550130974,0,4,-4,0.3036838640352964,0.44159459370705456,0.43508556669292114,0.7336336828849028,0.44159459370705456,1.143625594371477,145,-1.635,-1.79,0.15500000000000003,-3.26,-3.15203448275862,-3.92,2.285,0.625,1.6249999999999998,2,6,0.041379310344827586,1.278533144827586,1.27858,1.47369,Hit,6,0.38620689655172413,0.27586206896551724,0.3310344827586207,0.615,1,1,2.2468739688063124,0.855,0.005,-2.371845,1,Hit,,,145.0,29.0,15.0,0.3724137931034483,12.0,0.4137931034482759,0.6514810822890371,5.0,0.6344827586206897,0.7527032998271416,0.22978535432956898,2.2075,0.4,0.8,2.0,-1.7630000000000003,0.12800000000000003,0.8,0.5687480795100891,0.522724196743738,-0.046023882766351255,0.9845607206073422,14.2,0.45746153021002617,0.5230248376219806,0.9333333333333333,5,0.054807740070344876,1.0,1.0,-1.6350000000000002,0.0,1.6,0.0,5,1.57375,0.0,1.495,0.44770246816384657,5,1.4620999999999997,0.43519496205723684,0.337,0.37182993424413807,5,0.37142200000000003,0.42932611678944016,0.8809999999999999,0.4727631542326454,5,0.8763859999999999,0.4510270747748961,1.445,0.4199702370406742,5,1.41846,0.41095215414936065,-0.10499999999999998,-1.2630000000000001,-1.1580000000000001,-0.7190000000000002,-0.6140000000000002,0.5439999999999998,-0.15500000000000003,-0.050000000000000044,1.108,0.5640000000000002,-0.11165000000000025,-1.202328,-1.0906779999999996,-0.6973640000000001,-0.5857139999999998,0.5049639999999999,-0.15528999999999993,-0.04363999999999968,1.0470380000000001,0.5420740000000002
3926,6,11,1,5,1,mid,mid_r5-8,11,9-12,5,6,5,6,11,-1,0,0,0,0,1,7,4,4,11,0.009360052610127588,0,0.301312957505979,0.2919529048958514,0,1,-1,0.3062448411572414,0.4286427965624183,0.4315171582871523,0.5183962706158578,0.4286427965624183,0.8985629670061606,123,0.425,0.38,0.044999999999999984,-0.955,-0.8897560975609756,-1.81,2.235,0.25250000000000006,1.38,6,8,0.06504065040650407,1.647981300813008,1.60487,2.03823,Hit,6,0.3902439024390244,0.3089430894308943,0.2926829268292683,1.1,1,1,2.6481851518305324,0.465,0.3,-0.594115,1,Hit,,,123.0,25.0,15.0,0.2601626016260163,9.0,0.36,0.7230757566067733,4.92,0.6666666666666666,0.8572865123976193,0.13826217107010844,2.2125,0.2,0.4,2.0,0.35300000000000004,0.07199999999999998,0.4,0.1328162758486834,0.2854747316201845,0.1526584557715011,1.6210930109624404,16.4,0.3037025769268712,0.17400554183691994,0.9333333333333332,5,0.11321879586002928,0.0,1.0,0.38,0.044999999999999984,1.9289999999999998,0.10132867313845577,5,1.924475,0.09333192379888024,1.875,0.18664806454930094,5,1.848444,0.22487795624515985,0.22199999999999998,0.1353513945255091,5,0.15452700000000003,0.14585244459727092,1.966,0.10132867313845574,5,1.9585549999999998,0.09333192379888024,1.7990000000000002,0.4427809842348698,5,1.7824300000000002,0.4569775444428313,-0.053999999999999826,-1.7069999999999999,-1.653,0.037000000000000144,0.09099999999999997,1.744,-0.12999999999999967,-0.07599999999999985,1.5770000000000002,-0.16699999999999982,-0.07603099999999996,-1.7699479999999999,-1.693917,0.03407999999999989,0.11011099999999985,1.8040279999999997,-0.14204499999999975,-0.0660139999999998,1.627903,-0.17612499999999964
3883,1,14,0,2,0,late,late_r2-4,1,0-1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,,-1,,,0,0,0,,,,,,0.0,37,-0.075,-0.29,0.21499999999999997,-0.74,-0.6963513513513513,-0.965,0.89,0.16000000000000003,0.665,2,6,0.16216216216216217,0.6193887837837838,0.626418,0.953612,Draw,4,0.10810810810810811,0.7027027027027027,0.16216216216216217,0.645,1,0,1.3301170037619596,0.495,0.0,-0.551806,1,Draw,,,37.0,8.0,8.0,0.21621621621621623,1.0,0.125,0.9389229686062194,4.625,1.0,0.637192193412843,0.0886536661096447,0.61,0.2,1.0,8.0,-0.269,0.194,1.0,0.43948761287547755,0.8961604758610685,0.456672862985591,0.5523074869648819,2.0,0.6103818180962578,0.3837329579350014,1.0,5,0.051829930836809326,0.0,1.0,-0.355,0.27999999999999997,0.2149999999999999,0.0,5,0.2007684999999999,0.0,0.26799999999999996,0.010954451150103258,5,0.23707849999999997,0.01190611909376854,0.26399999999999996,0.008944271909999111,5,0.23273099999999997,0.00972130553218033,0.27199999999999996,0.01095445115010327,5,0.24142599999999997,0.011906119093768545,0.27199999999999996,0.01095445115010327,5,0.24142599999999997,0.011906119093768538,0.05300000000000005,0.049000000000000044,-0.0040000000000000036,0.05700000000000005,0.0040000000000000036,0.008000000000000007,0.05700000000000005,0.0040000000000000036,0.008000000000000007,0.0,0.036310000000000064,0.03196250000000006,-0.004347500000000004,0.04065750000000007,0.004347500000000004,0.008695000000000008,0.04065750000000007,0.004347500000000004,0.008695000000000008,0.0
9222,7,5,1,11,1,early,early_r9+,1,0-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,,,0,0,0,,,,,,0.0,37,1.315,1.29,0.02499999999999991,0.85,0.8502702702702702,0.485,0.83,0.4,0.46499999999999997,8,21,0.5675675675675675,1.9320159459459463,1.94673,2.00394,Draw,4,0.10810810810810811,0.7027027027027027,0.16216216216216217,0.31000000000000005,2,0,2.7324933184373914,0.28,0.475,0.33006500000000005,0,Draw,,,37.0,8.0,8.0,0.3783783783783784,1.0,0.125,0.8418631136888711,4.625,1.0,0.4550572198803226,0.1610423608293979,0.5325,0.0,1.0,14.0,1.2360000000000002,0.07899999999999996,1.0,0.07677994290078208,0.11654365922733498,0.039763716326552914,1.7579330064474896,5.0,0.09523809523809523,0.04399142203018881,1.0,5,0.31209110011867386,0.0,1.0,0.9949999999999999,0.31999999999999995,0.1779999999999999,0.11432410069622237,5,0.19851400000000002,0.1141282058366817,0.23699999999999993,0.17824140933015536,5,0.242557,0.19807962867241044,0.3969999999999999,0.14902181048423754,5,0.41030500000000003,0.16716699517249217,0.32199999999999995,0.2808602855513752,5,0.330063,0.2504614985781248,0.26299999999999996,0.27437656605475624,5,0.25527500000000003,0.2417696157760524,0.059000000000000025,0.219,0.15999999999999998,0.14400000000000004,0.08500000000000002,-0.07499999999999996,0.08500000000000005,0.026000000000000023,-0.13399999999999995,-0.059,0.04404299999999997,0.211791,0.16774800000000004,0.13154899999999997,0.087506,-0.08024200000000004,0.056761000000000006,0.012718000000000035,-0.15503,-0.07478799999999997
7881,2,15,1,1,1,late,r1,12,9-12,6,6,6,6,12,0,0,0,0,0,1,8,4,2,10,0.014822125959525131,0,0.4882572316156722,0.47343510565614705,0,1,-1,0.37762290525867287,0.5234538528574366,0.5080996970342488,0.7532608307201571,0.5234538528574366,0.980250509461266,129,1.72,1.48,0.24,-1.0,-0.8709689922480619,-1.755,3.4749999999999996,0.0,2.7199999999999998,2,2,0.015503875968992248,0.2855194891472868,0.0,2.06678,Hit,6,0.37209302325581395,0.29457364341085274,0.32558139534883723,2.7199999999999998,1,1,2.108873391677536,0.325,0.62,0.6866099999999999,1,Hit,,,129.0,26.0,15.0,0.8062015503875969,25.0,0.9615384615384615,0.3423769823423499,4.961538461538462,0.5658914728682171,0.01511942008393787,0.5686562666599977,0.160048076923077,0.0,1.0,104.0,0.285,1.435,1.0,0.5667678395997436,1.0,0.43323216040025636,0.0314131494461271,1.0,1.0,0.40123504281621336,0.9333333333333333,5,0.0,0.0,1.0,-1.0,2.7199999999999998,1.435,0.0,5,1.116415,0.0,1.435,0.0,5,1.116415,0.0,1.435,0.0,5,1.116415,0.0,1.435,0.0,5,1.116415,0.0,1.435,0.0,5,1.116415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6406,1,10,0,6,0,mid,mid_r5-8,3,2-4,1,2,1,2,3,-1,0,0,0,0,0,1,2,2,2,0.0022233709268578363,0,0.4384417636357202,0.43621839270886237,0,2,-2,0.4365568471719112,0.6001684149769125,0.5203338332536309,0.14628069668354318,0.6001684149769125,0.2450626273653165,59,-0.385,-0.435,0.04999999999999999,-1.17,-1.073813559322034,-1.655,1.27,0.4724999999999999,0.7849999999999999,5,19,0.3220338983050847,1.7285954237288137,1.7085,1.70786,Draw,6,0.2711864406779661,0.5084745762711864,0.2033898305084746,0.15500000000000003,3,0,2.380744465258137,0.575,0.125,-1.2389299999999999,1,Draw,,,59.0,12.0,12.0,0.13559322033898305,3.0,0.25,0.9304178119030612,4.916666666666667,0.7966101694915254,0.7852713003680415,0.13800716777469144,0.6591666666666668,0.4,1.0,5.0,-0.5630000000000001,0.178,1.0,0.33135088535321583,0.6450255273647229,0.3136746420115071,1.7128561485728295,3.4,0.5622377622377622,0.3645075472662712,1.0,5,0.10866526924137124,1.0,1.0,-0.385,0.0,0.3529999999999999,0.08497058314499206,5,0.39251400000000014,0.039486724414668814,0.316,0.22333830840229804,5,0.3178010000000001,0.20868859657992822,0.205,0.19410048943781674,5,0.2307130000000001,0.20031869903356503,0.39599999999999996,0.1633018677174269,5,0.3829460000000001,0.1629848155273981,0.31799999999999995,0.2970185179412219,5,0.29669300000000004,0.28418661218467,-0.03699999999999992,-0.14799999999999994,-0.11100000000000002,0.04300000000000004,0.07999999999999996,0.19099999999999998,-0.034999999999999976,0.0019999999999999463,0.11299999999999996,-0.07800000000000001,-0.07471300000000003,-0.16180100000000003,-0.087088,-0.009568000000000021,0.06514500000000001,0.152233,-0.0958210000000001,-0.02110800000000007,0.06597999999999993,-0.08625300000000008
8452,5,15,1,1,1,late,r1,15,13-16,8,7,8,6,14,2,0,1,1,1,1,11,3,6,13,0.15058174883099099,1,0.3529086573038427,0.2023269084728517,1,0,1,0.29942263131566765,0.36087435508020693,0.4365047461459077,0.6140298865690494,0.33942703497560994,1.143625594371477,153,1.935,1.93,0.0050000000000001155,1.0,0.866732026143791,-1.51,3.4450000000000003,0.0,0.935,2,7,0.0457516339869281,0.26027919215686274,0.0,0.246526,Hit,8,0.35294117647058826,0.2875816993464052,0.35294117647058826,0.49,2,1,0.34698128810061335,0.0,0.935,1.8117370000000002,1,Hit,,,153.0,31.0,15.0,0.803921568627451,30.0,0.967741935483871,0.3383294860212367,4.935483870967742,0.5359477124183006,0.020344098803349194,0.6481282328570886,0.5308536585365855,0.0,1.0,123.0,1.36,0.575,1.0,0.5709861418675929,0.5966984201371583,0.02571227826956546,0.023271849516369278,31.0,0.5966984201371583,0.5161190316579237,1.0,5,0.0,0.0,1.0,1.445,0.49000000000000005,0.615,0.0,5,0.7948870000000001,0.0,0.615,0.0,5,0.7948870000000001,0.0,0.615,0.0,5,0.7948870000000001,0.0,0.615,0.0,5,0.7948870000000001,0.0,0.615,0.0,5,0.7948870000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1028,6,15,1,1,1,late,r1,15,13-16,8,7,8,7,15,1,0,0,0,0,1,11,4,4,12,0.2320554152977253,1,0.23580853301778537,0.0037531177200600674,1,0,1,0.30138272144235656,0.4219444519719928,0.45618251718167874,0.6454421614159812,0.4219444519719928,1.2253131368265826,151,1.0,1.0,0.0,1.0,-0.1473841059602649,-4.71,5.71,2.2125,0.0,94,100,0.6622516556291391,0.5775171390728477,0.0,0.0,Draw,6,0.3708609271523179,0.26490066225165565,0.3576158940397351,0.0,6,0,-0.0,0.0,0.0,1.0,1,Draw,,,151.0,31.0,15.0,0.8013245033112583,30.0,0.967741935483871,0.3419626486511174,4.870967741935484,0.5695364238410596,0.1074060435462103,1.83986166972737,1.4318595041322313,0.0,1.0,121.0,1.0,0.0,0.0,0.8022782419823502,1.0,0.1977217580176498,0.06525222821159131,31.0,1.0,0.7968310701941422,1.0,5,0.0,0.0,1.0,1.0,0.0,0.2299999999999999,0.0,5,0.5643275,0.0,0.2299999999999999,0.0,5,0.5643275,0.0,0.0,0.0,5,0.0,0.0,0.2299999999999999,0.0,5,0.5643275,0.0,0.2299999999999999,0.0,5,0.5643275,0.0,0.0,-0.2299999999999999,-0.2299999999999999,0.0,0.0,0.2299999999999999,0.0,0.0,0.2299999999999999,0.0,0.0,-0.5643275,-0.5643275,0.0,0.0,0.5643275,0.0,0.0,0.5643275,0.0
2596,1,14,0,2,0,late,late_r2-4,14,13-16,7,7,7,7,14,0,0,0,0,0,1,9,5,6,12,0.2050375341272904,1,0.3137797109836782,0.10874217685638779,2,0,2,0.2949209172486073,0.4086926556264054,0.511515288034565,0.6949194110154953,0.4086926556264054,1.143625594371477,145,1.97,1.965,0.004999999999999893,1.51,1.464551724137931,0.65,1.3199999999999998,0.20500000000000007,0.45999999999999996,22,87,0.6,0.9029097379310345,0.779679,0.457275,PostGuard,6,0.38620689655172413,0.27586206896551724,0.3310344827586207,0.07000000000000006,6,0,0.7846218756660164,0.005,0.915,1.7626545,0,PostGuard,,,145.0,29.0,15.0,0.2482758620689655,10.0,0.3448275862068966,0.7718287674208493,5.0,0.6827586206896552,0.6227440306606409,0.15550286473115024,1.1925000000000001,0.0,1.0,36.0,1.866,0.10400000000000001,0.6,0.425793132328481,0.3405546909771881,-0.08523844135129285,0.8701845739366003,9.2,0.26861821083680004,0.41369017280240855,0.8800000000000001,5,0.0679841740509525,0.0,1.0,1.9,0.07000000000000006,1.3199999999999998,0.0,5,1.9754244999999997,0.0,1.178,0.17286555469497092,5,1.7962825000000002,0.19708427596462366,0.23499999999999988,0.15012494796002426,5,0.5943005,0.15676620663427426,1.1509999999999998,0.317596442045562,5,1.7755984999999999,0.3092921341830406,1.3089999999999997,0.024596747752497664,5,1.9496034999999998,0.057737511247022075,-0.1419999999999999,-1.085,-0.9430000000000001,-0.16900000000000004,-0.027000000000000135,0.9159999999999999,-0.01100000000000012,0.13099999999999978,1.0739999999999998,0.15799999999999992,-0.17914199999999947,-1.3811239999999998,-1.201982,-0.19982599999999984,-0.02068400000000037,1.181298,-0.025820999999999872,0.1533209999999996,1.3553029999999997,0.17400499999999997
4748,1,3,1,13,1,early,early_r9+,2,2-4,1,1,1,1,2,0,0,0,0,0,0,2,0,1,2,0.34483096172037614,0,0.6299526034901355,0.28512164176975935,0,1,-1,0.9473629474288089,0.9473629474288089,0.4706845,0.05320000000000036,0.9473629474288089,0.16337508491021102,49,0.985,0.935,0.04999999999999993,0.655,0.6210204081632654,0.21,0.775,0.335,0.32999999999999996,17,34,0.6938775510204082,2.0008346938775508,1.99974,1.8721,Hit,6,0.16326530612244897,0.5714285714285714,0.24489795918367346,0.07499999999999996,5,1,2.5908791844822927,0.315,0.4,0.04894999999999994,1,Hit,,,49.0,10.0,10.0,0.24489795918367346,2.0,0.2,0.9172644747925618,4.9,0.7959183673469388,0.5016459200167448,0.13649265337866348,0.39583333333333337,0.0,1.0,6.0,0.8789999999999999,0.10599999999999996,1.0,0.09881262296002087,0.5151292741879641,0.41631665122794337,1.8862260101676405,3.6,0.44727272727272727,0.02147805536791019,1.0,5,0.3325513278742508,0.0,1.0,0.8550000000000001,0.13,0.22199999999999998,0.06676451153120194,5,0.3371839999999999,0.12169267589916824,0.3169999999999999,0.2574538793648292,5,0.39087199999999983,0.2888063787730458,0.2119999999999999,0.14558502670261114,5,0.3311819999999999,0.1407405316797546,0.3429999999999999,0.15205262246998572,5,0.394572,0.09566866425324441,0.22999999999999993,0.1364734406395618,5,0.31768599999999997,0.10222907679569453,0.09499999999999992,-0.010000000000000064,-0.10499999999999998,0.12099999999999994,0.026000000000000023,0.131,0.007999999999999952,-0.08699999999999997,0.018000000000000016,-0.11299999999999999,0.05368799999999996,-0.006001999999999952,-0.05968999999999991,0.057388000000000106,0.0037000000000001476,0.06339000000000006,-0.019497999999999904,-0.07318599999999986,-0.013495999999999952,-0.07688600000000001
