game_id,end,shot_num,candidate_idx,label,shot_type,q_ref_mean,q_ref_sd,n_rollouts,resampled,score_hist
7977,6,14,0,"Draw(CW,TEE)",1,-2.515,1.42119,200,1,-5:1;-4:87;-3:10;-2:20;-1:81;1:1
7977,6,14,1,"Draw(CCW,TEE)",1,-2.7,1.51658,200,1,-6:1;-5:12;-4:81;-3:12;-2:28;-1:62;1:4
7977,6,14,2,"Draw(CW,S0)",1,-3.12,1.39126,200,1,-7:1;-6:2;-5:2;-4:125;-3:9;-2:7;-1:54
7977,6,14,3,"Draw(CCW,S0)",1,-2.53,1.60907,200,1,-6:1;-5:7;-4:81;-3:18;-2:12;-1:72;1:9
7977,6,14,4,"Draw(CW,S2)",1,-3.13,1.30885,200,1,-7:1;-5:3;-4:120;-3:19;-2:10;-1:47
7977,6,14,5,"Draw(CCW,S2)",1,-3.295,1.228,200,1,-5:3;-4:141;-3:7;-2:10;-1:39
7977,6,14,6,"Draw(CW,S4)",1,-2.865,1.51881,200,1,-6:2;-5:5;-4:108;-3:9;-2:7;-1:66;1:3
7977,6,14,7,"Draw(CCW,S4)",1,-2.445,1.59905,200,1,-7:1;-5:7;-4:73;-3:17;-2:20;-1:73;1:9
7977,6,14,8,"Draw(CW,S6)",1,-3.125,1.35254,200,1,-6:1;-5:3;-4:129;-3:7;-2:7;-1:53
7977,6,14,9,"Draw(CCW,S6)",1,-2.99,1.22061,200,1,-5:5;-4:99;-3:16;-2:51;-1:28;1:1
7977,6,14,10,"Draw(CW,L0)",1,-3.275,1.24875,200,1,-6:2;-5:3;-4:132;-3:12;-2:13;-1:38
7977,6,14,11,"Draw(CCW,L0)",1,-3.33,1.36788,200,1,-6:3;-5:11;-4:126;-3:14;-2:7;-1:36;1:3
7977,6,14,12,"Draw(CW,L1)",1,-2.62,1.22703,200,1,-5:2;-4:56;-3:65;-2:22;-1:53;1:2
7977,6,14,13,"Draw(CCW,L1)",1,-3.185,1.32694,200,1,-5:7;-4:129;-3:6;-2:10;-1:48
7977,6,14,14,"Draw(CW,L2)",1,-3.275,1.25275,200,1,-6:1;-5:1;-4:140;-3:11;-2:4;-1:43
7977,6,14,15,"Draw(CCW,L2)",1,-3.28,1.24161,200,1,-5:5;-4:134;-3:14;-2:6;-1:41
7977,6,14,16,"Draw(CW,L3)",1,-3.085,1.34081,200,1,-5:2;-4:129;-3:7;-2:8;-1:54
7977,6,14,17,"Draw(CCW,L3)",1,-3.255,1.25299,200,1,-5:3;-4:138;-3:8;-2:9;-1:42
7977,6,14,18,"Draw(CW,L4)",1,-3.705,0.893294,200,1,-6:2;-5:3;-4:164;-3:11;-2:5;-1:15
7977,6,14,19,"Draw(CCW,L4)",1,-3.73,0.834925,200,1,-6:1;-4:176;-3:4;-2:5;-1:14
7977,6,14,20,"Draw(CW,L5)",1,-3.255,1.24899,200,1,-5:1;-4:142;-3:7;-2:7;-1:43
7977,6,14,21,"Draw(CCW,L5)",1,-3.36,1.20433,200,1,-6:3;-5:1;-4:138;-3:16;-2:7;-1:35
7977,6,14,22,"Draw(CW,L6)",1,-3.18,1.30675,200,1,-5:5;-4:129;-3:11;-2:7;-1:48
7977,6,14,23,"Draw(CCW,L6)",1,-3.195,1.2716,200,1,-5:3;-4:131;-3:13;-2:8;-1:45
7977,6,14,24,"Draw(CW,L7)",1,-3.225,1.27058,200,1,-5:2;-4:138;-3:8;-2:7;-1:45
7977,6,14,25,"Draw(CCW,L7)",1,-2.25,1.01858,200,1,-4:43;-3:6;-2:109;-1:42
7977,6,14,26,"PreGuard(CW,G3)",2,-3.215,1.31483,200,1,-6:1;-5:3;-4:135;-3:9;-2:3;-1:49
7977,6,14,27,"PreGuard(CCW,G3)",2,-3.265,1.27858,200,1,-6:1;-5:1;-4:143;-3:5;-2:5;-1:45
7977,6,14,28,"PreGuard(CW,G4)",2,-3.65,0.942072,200,1,-4:174;-3:4;-1:22
7977,6,14,29,"PreGuard(CCW,G4)",2,-3.585,1.02116,200,1,-4:171;-3:1;-2:2;-1:26
7977,6,14,30,"PreGuard(CW,G5)",2,-3.15,1.34815,200,1,-6:1;-5:5;-4:127;-3:8;-2:8;-1:51
