game_id,end,shot_num,candidate_idx,label,shot_type,q_ref_mean,q_ref_sd,n_rollouts,resampled,score_hist,q_immediate_mean
2435,0,1,0,"Draw(CW,TEE)",1,0.605,2.21336,200,1,"-5:1;-4:6;-3:9;-2:19;-1:43;1:51;2:31;3:24;4:9;5:5;6:2",-0.78
2435,0,1,1,"Draw(CCW,TEE)",1,0.695,2.10285,200,1,"-5:1;-4:2;-3:7;-2:21;-1:45;1:54;2:30;3:21;4:13;5:5;6:1",-0.94
2435,0,1,2,"Draw(CW,S0)",1,0.64,2.09055,200,1,"-5:1;-4:1;-3:9;-2:16;-1:53;1:55;2:29;3:17;4:13;5:4;6:1;7:1",-0.29
2435,0,1,3,"Draw(CCW,S0)",1,0.73,2.27971,200,1,"-6:1;-5:2;-4:3;-3:10;-2:13;-1:43;1:57;2:33;3:16;4:13;5:6;6:2;8:1",0.19
2435,0,1,4,"Draw(CW,S2)",1,0.715,2.03071,200,1,"-4:5;-3:5;-2:18;-1:43;1:61;2:28;3:25;4:12;5:1;6:2",-1
2435,0,1,5,"Draw(CCW,S2)",1,1.035,2.19858,200,1,"-6:1;-5:1;-4:2;-3:3;-2:16;-1:39;0:1;1:57;2:34;3:20;4:16;5:4;6:5;7:1",-1
2435,0,1,6,"Draw(CW,S4)",1,0.53,2.08545,200,1,"-5:1;-4:5;-3:8;-2:25;-1:36;1:59;2:33;3:19;4:11;5:3",-0.45
2435,0,1,7,"Draw(CCW,S4)",1,0.745,2.01989,200,1,"-4:1;-3:9;-2:24;-1:37;1:51;2:39;3:23;4:13;5:3",-0.69
2435,0,1,8,"Draw(CW,S6)",1,0.87,2.11261,200,1,"-3:7;-2:26;-1:36;1:51;2:43;3:17;4:9;5:8;6:2;7:1",-1
2435,0,1,9,"Draw(CCW,S6)",1,0.52,2.24491,200,1,"-6:1;-5:1;-4:6;-3:7;-2:23;-1:44;1:49;2:30;3:23;4:9;5:6;6:1",-1
2435,0,1,10,"Draw(CW,L0)",1,0.495,2.00499,200,1,"-5:3;-4:3;-3:7;-2:21;-1:40;1:63;2:35;3:18;4:8;5:2",-0.87
2435,0,1,11,"Draw(CCW,L0)",1,0.76,2.11244,200,1,"-5:1;-4:9;-3:5;-2:10;-1:41;1:57;2:38;3:26;4:10;5:1;6:1;7:1",0.29
2435,0,1,12,"Draw(CW,L1)",1,1.01,2.08324,200,1,"-4:4;-3:9;-2:9;-1:36;1:60;2:37;3:27;4:9;5:7;6:1;7:1",-1
2435,0,1,13,"Draw(CCW,L1)",1,0.455,2.02435,200,1,"-4:2;-3:8;-2:23;-1:56;1:49;2:29;3:19;4:11;5:1;6:2",-1
2435,0,1,14,"Draw(CW,L2)",1,0.64,2.1096,200,1,"-6:1;-5:1;-4:7;-2:20;-1:45;1:58;2:32;3:18;4:15;5:2;6:1",-1
2435,0,1,15,"Draw(CCW,L2)",1,0.43,2.10359,200,1,"-5:1;-4:6;-3:8;-2:23;-1:42;1:56;2:41;3:12;4:6;5:2;6:2;7:1",-1
2435,0,1,16,"Draw(CW,L3)",1,0.52,2.22477,200,1,"-5:1;-4:9;-3:6;-2:18;-1:48;1:52;2:31;3:14;4:14;5:7",-1
2435,0,1,17,"Draw(CCW,L3)",1,0.735,2.18054,200,1,"-5:3;-4:2;-3:4;-2:20;-1:43;1:65;2:23;3:21;4:8;5:7;6:4",-1
2435,0,1,18,"Draw(CW,L4)",1,0.58,2.02326,200,1,"-4:5;-3:5;-2:16;-1:56;1:50;2:36;3:16;4:12;5:3;6:1",-1
2435,0,1,19,"Draw(CCW,L4)",1,0.5,2.16333,200,1,"-7:1;-4:8;-3:7;-2:20;-1:40;1:61;2:27;3:26;4:3;5:7",-1
2435,0,1,20,"Draw(CW,L5)",1,0.615,2.25982,200,1,"-5:2;-4:4;-3:11;-2:16;-1:44;1:61;2:22;3:20;4:11;5:6;6:2;7:1",-1
2435,0,1,21,"Draw(CCW,L5)",1,0.775,1.981,200,1,"-5:1;-3:8;-2:16;-1:43;1:66;2:29;3:22;4:6;5:9",-1
2435,0,1,22,"Draw(CW,L6)",1,0.5,1.96977,200,1,"-5:1;-4:1;-3:7;-2:21;-1:52;1:61;2:27;3:17;4:8;5:4;6:1",-1
2435,0,1,23,"Draw(CCW,L6)",1,0.635,1.88462,200,1,"-4:3;-3:2;-2:21;-1:48;1:64;2:32;3:18;4:8;5:3;6:1",-1
