arm_a,arm_b,mean_diff,ci_lo,ci_hi,p,p_holm,a_win,b_win,tie,cohens_d,need_n
A1,A2,-0.106305,-0.18764949999999997,-0.029783000000000025,0.009824810756497918,0.12772253983447293,101,77,22,-0.18920675367147619,220.2473767957414
A1,A5,-0.068555,-0.12388037500000001,-0.014698875000000037,0.011760677446418342,0.1411281293570201,116,81,3,-0.1756631946170207,255.3584216493394
A1,A9,-0.034234999999999995,-0.07171512500000002,0.0030001249999999924,0.040757144058543374,0.36681429652689035,92,73,35,-0.12607741445818257,494.7795354610051
A1,A9P5,-0.008010000000000007,-0.047345624999999995,0.031304999999999986,0.6979808114775021,1.0,82,83,35,-0.027840009779621252,10127.722460719342
A1,A9R05,-0.03234000000000001,-0.07186112500000001,0.006290999999999976,0.09579204223592908,0.7663363378874326,92,74,34,-0.11370707474040377,608.0615141489542
A2,A5,0.037750000000000006,-0.017981125000000008,0.09642549999999998,0.3198734314476164,1.0,92,105,3,0.09200808282309354,928.1621882790023
A2,A9,0.07207,0.0034582500000000078,0.1466465,0.2213131096568569,1.0,82,103,15,0.13913542375109422,406.44527585811323
A2,A9P5,0.098295,0.03196975000000001,0.17181525,0.0015495519041478104,0.021693726658069346,75,110,15,0.19467065406240786,208.11268482393896
A2,A9R05,0.073965,0.006299624999999988,0.149015375,0.3247614153734787,1.0,92,94,14,0.14490479441718804,374.80246800921725
A5,A9,0.034319999999999996,-0.015201125000000013,0.08811624999999991,0.6466637212776589,1.0,95,101,4,0.09162626251183048,935.905535011808
A5,A9P5,0.060545,0.011850000000000003,0.11267249999999995,0.01565316142422869,0.16839750959896227,83,114,3,0.16659667009634108,283.79715853037595
A5,A9R05,0.036215000000000004,-0.012362500000000025,0.08765662499999999,0.26679384336662304,1.0,88,108,4,0.09993231260061834,786.9515937329745
A9,A9P5,0.026225000000000002,0.008339875000000004,0.043730000000000005,0.00038726787522448615,0.0058090181283672925,53,109,38,0.20381426013114048,189.94636495664577
A9,A9R05,0.0018949999999999978,-0.020225,0.02336999999999999,0.88036480559734,1.0,80,82,38,0.011978989228273779,54698.48096447824
A9P5,A9R05,-0.024330000000000008,-0.04456150000000002,-0.005494875000000009,0.015308864508996569,0.16839750959896227,94,69,37,-0.17387774575357323,260.60895698584136
