arm,method,depth,playouts,rollouts,n,mean_regret,sd_regret,mean_q,mean_regret_adj,mean_sims,min_sims,max_sims,mean_time
A1,AllGrid,3,200,10,2500,0.418054,0.39184959043567924,0.241536,0.44724003419999997,72179.3792,43,197861,4377.288930068
A11a,ClusterPW,3,200,10,2500,0.427382,0.4110054577137733,0.232208,0.45607833280000004,79628.8608,43,213914,3304.099556212
A11b,ClusterPW,3,200,10,2500,0.42492399999999997,0.4071151327530413,0.23466599999999999,0.45195439319999997,78559.2952,43,213486,3324.6335769280004
A1N,AllGrid,3,200,10,2500,0.33361199999999996,0.28674989739747603,0.32597800000000005,0.3708960194,73063.512,243,198592,3926.1284835799997
A2,Proposed,3,200,10,2500,0.488192,0.47918662237548515,0.171398,0.5105438737000001,67532.974,43,195428,3860.5606100960003
A5,RandomK,3,200,10,2500,0.490994,0.4544811802718444,0.168596,0.5058238204000001,67396.8724,43,195575,3788.499263872
A7,ScoreScreen,3,200,10,250,0.50204,0.5085364052867877,0.26916,0.5421947760000001,55381.088,61,164753,3026.43732468
A8,ScoreTopK,3,200,10,250,0.51116,0.5653863291633602,0.26004,0.5212000880000001,55590.084,61,164522,3091.49187104
A9,ClusterValue,3,200,10,2500,0.44223199999999996,0.4206482332667762,0.217358,0.4721760574,69759.5788,43,204836,4236.158955724
A9P5,ClusterValue,3,200,10,2500,0.423284,0.4161484196135543,0.236306,0.451519549,74780.0984,43,212455,3996.7628589560004
A9P5N,ClusterValue,3,200,10,2500,0.308854,0.30219487980796894,0.350736,0.33417307059999996,75668.7728,243,213167,4715.315235915999
A9R05,ClusterValue,3,200,10,1000,0.503845,0.49684559625855745,0.31953000000000004,0.5430406795,64367.359,43,187911,2987.8668067800004
