arm_a,arm_b,mean_diff,ci_lo,ci_hi,p,p_holm,a_win,b_win,tie,cohens_d,need_n
A1,A11a,-0.001205000000000005,-0.03921037500000001,0.038140124999999976,0.9695996089686139,1.0,74,89,37,-0.004300270840045819,424440.75596437004
A1,A11b,-0.007195000000000003,-0.043730250000000005,0.03062287499999996,0.6041711283864315,1.0,81,81,38,-0.026909679502779883,10840.035133132527
A1,A2,-0.106305,-0.18764949999999997,-0.029783000000000025,0.009824810756497918,0.23579545815595004,101,77,22,-0.18920675367147619,220.2473767957414
A1,A5,-0.068555,-0.12388037500000001,-0.014698875000000037,0.011760677446418342,0.2587349038212035,116,81,3,-0.1756631946170207,255.3584216493394
A1,A9,-0.034234999999999995,-0.07171512500000002,0.0030001249999999924,0.040757144058543374,0.6113571608781506,92,73,35,-0.12607741445818257,494.7795354610051
A1,A9P5,-0.008010000000000007,-0.047345624999999995,0.031304999999999986,0.6979808114775021,1.0,82,83,35,-0.027840009779621252,10127.722460719342
A1,A9P5N,0.147405,0.099348375,0.200135875,2.3515326062130807e-07,6.819444558017934e-06,58,118,24,0.4039085289909803,49.11069456855458
A1,A9R05,-0.03234000000000001,-0.07186112500000001,0.006290999999999976,0.09579204223592908,1.0,92,74,34,-0.11370707474040377,608.0615141489542
A11a,A11b,-0.0059899999999999945,-0.02567624999999999,0.014185749999999992,0.18506266722788978,1.0,84,68,48,-0.040965366861995194,4678.071159900789
A11a,A2,-0.10510000000000001,-0.1772355,-0.038444875,0.0003819877072860267,0.010695655804008747,107,69,24,-0.21178179360918564,175.9969302292836
A11a,A5,-0.06735000000000001,-0.119785,-0.01761250000000003,0.010002448856482066,0.23579545815595004,108,87,5,-0.1813922071435513,239.5450582805591
A11a,A9,-0.03303,-0.057760374999999996,-0.009438500000000023,0.020879851077618528,0.3758373193971335,88,72,40,-0.1907962332148928,216.60959398694163
A11a,A9P5,-0.006804999999999995,-0.02928537499999999,0.015475749999999998,0.7007170797330717,1.0,77,82,41,-0.041565131970683844,4544.0691484939625
A11a,A9P5N,0.14861000000000002,0.10486824999999998,0.1964005,2.1102325775448147e-11,6.330697732634444e-10,53,123,24,0.4459732025534751,40.46300449901494
A11a,A9R05,-0.031135000000000006,-0.05428075000000001,-0.008509875000000009,0.01909226601833828,0.3627530543484273,95,67,38,-0.18897464179679266,220.78629749370364
A11b,A2,-0.09910999999999999,-0.17193150000000004,-0.03359900000000002,0.006116298577077401,0.152907464426935,103,74,23,-0.2007057777895475,195.84439846176642
A11b,A5,-0.06136000000000001,-0.11298012500000003,-0.013219875000000006,0.02374717184881865,0.3799547495810984,111,85,4,-0.17092940028534515,269.64213902772724
A11b,A9,-0.02704,-0.049845875000000005,-0.004589250000000009,0.04829241483323318,0.6760938076652645,92,69,39,-0.165129287573539,288.8455104948309
A11b,A9P5,-0.0008150000000000002,-0.02212625,0.019870249999999996,0.6208770639706109,1.0,77,86,37,-0.005342286193807671,275014.09549800976
A11b,A9P5N,0.1546,0.113684875,0.19907525,8.429279194825793e-14,2.697369342344254e-12,46,130,24,0.4976517122118137,32.69251242925209
A11b,A9R05,-0.025145000000000008,-0.04675000000000001,-0.0042800000000000095,0.02106274659929638,0.3758373193971335,96,68,36,-0.16502660183508716,289.20383847842623
A2,A5,0.037750000000000006,-0.017981125000000008,0.09642549999999998,0.3198734314476164,1.0,92,105,3,0.09200808282309354,928.1621882790023
A2,A9,0.07207,0.0034582500000000078,0.1466465,0.2213131096568569,1.0,82,103,15,0.13913542375109422,406.44527585811323
A2,A9P5,0.098295,0.03196975000000001,0.17181525,0.0015495519041478104,0.04028834950784307,75,110,15,0.19467065406240786,208.11268482393896
A2,A9P5N,0.25371000000000005,0.19109949999999998,0.32403412499999995,3.4522552479863863e-15,1.1392442318355074e-13,52,138,10,0.5225228045737524,29.74730761163208
A2,A9R05,0.073965,0.006299624999999988,0.149015375,0.3247614153734787,1.0,92,94,14,0.14490479441718804,374.80246800921725
A5,A9,0.034319999999999996,-0.015201125000000013,0.08811624999999991,0.6466637212776589,1.0,95,101,4,0.09162626251183048,935.905535011808
A5,A9P5,0.060545,0.011850000000000003,0.11267249999999995,0.01565316142422869,0.32148615468892794,83,114,3,0.16659667009634108,283.79715853037595
A5,A9P5N,0.21596,0.167115,0.26905524999999997,6.595060987614834e-18,2.3742219555413403e-16,44,153,3,0.5954869442395342,23.134167193872273
A5,A9R05,0.036215000000000004,-0.012362500000000025,0.08765662499999999,0.26679384336662304,1.0,88,108,4,0.09993231260061834,786.9515937329745
A9,A9P5,0.026225000000000002,0.008339875000000004,0.043730000000000005,0.00038726787522448615,0.010695655804008747,53,109,38,0.20381426013114048,189.94636495664577
A9,A9P5N,0.18164000000000002,0.1382745,0.22845537500000002,4.433911935092754e-17,1.551869177282464e-15,40,136,24,0.5529151910289772,26.67382818020201
A9,A9R05,0.0018949999999999978,-0.020225,0.02336999999999999,0.88036480559734,1.0,80,82,38,0.011978989228273779,54698.48096447824
A9P5,A9P5N,0.155415,0.11166949999999998,0.20239025000000005,1.8083378431812935e-13,5.60584731386201e-12,47,129,24,0.4714241940462989,36.31701095388522
A9P5,A9R05,-0.024330000000000008,-0.04456150000000002,-0.005494875000000009,0.015308864508996569,0.32148615468892794,94,69,37,-0.17387774575357323,260.60895698584136
A9P5N,A9R05,-0.17974500000000002,-0.22690549999999998,-0.136369625,4.536171373937227e-16,1.542298267138657e-14,129,46,25,-0.5415731663869624,27.760449163004008
