arm_a,arm_b,mean_diff,ci_lo,ci_hi,p,p_holm,a_win,b_win,tie,cohens_d,need_n
A1,A11a,-0.009328000000000006,-0.0361281,0.017680049999999985,0.5580993087854862,1.0,207,249,44,-0.030223493289091706,8593.476550931942
A1,A11b,-0.006870000000000004,-0.03246010000000001,0.019046349999999993,0.6828068862098433,1.0,216,238,46,-0.022993832686721595,14846.161982749567
A1,A12,-0.028354000000000015,-0.05551220000000002,-0.0013946000000000253,0.029550158967790053,0.3841520665812707,245,224,31,-0.0923779747454467,920.7521275999461
A1,A1N,0.08444199999999999,0.05619739999999999,0.1143723,2.2259324850150365e-05,0.0006232610958042102,209,284,7,0.25643354446956534,120.35977844558685
A1,A2,-0.070138,-0.11014085000000001,-0.03039355000000001,0.015070498265745443,0.2561984705176725,244,220,36,-0.15225821503256032,339.56823253661287
A1,A5,-0.07293999999999999,-0.10459824999999999,-0.041111200000000014,2.0113986877594725e-06,6.436475800830312e-05,293,204,3,-0.20334611253329143,190.81735882013606
A1,A9,-0.024178000000000005,-0.05010475000000001,0.002880849999999978,0.08360343422082032,0.7818094325790709,239,220,41,-0.07968172976689733,1237.2040663928594
A1,A9P5,-0.005229999999999999,-0.03214675,0.021516399999999988,0.7980618758627741,1.0,219,240,41,-0.017522997022605555,25562.768671526464
A1,A9P5N,0.1092,0.08231385,0.13752825,2.41749724283065e-12,8.944739798473405e-11,171,305,24,0.34818596691034964,65.74185629392036
A11a,A11b,0.0024580000000000045,-0.009568649999999995,0.014364149999999997,0.6312780264199505,1.0,219,211,70,0.01808107910005543,24009.16583855242
A11a,A12,-0.019026,-0.037658800000000006,-0.0016738499999999997,0.017272328582733875,0.25909163071799246,256,210,34,-0.09242601791927593,919.7961992174966
A11a,A1N,0.09376999999999999,0.06379735,0.12570445,0.0001893187612912885,0.0041650127484083475,230,264,6,0.26214098059262636,115.21886369105196
A11a,A2,-0.06081,-0.09313220000000001,-0.030856,5.78839193692275e-05,0.0014470979842306875,262,195,43,-0.1715108515231456,267.82374063997213
A11a,A5,-0.06361199999999999,-0.09165934999999999,-0.03550110000000001,2.5929106693999235e-06,7.778732008199771e-05,290,203,7,-0.1994676883582907,198.2706907670733
A11a,A9,-0.014849999999999997,-0.030438299999999995,0.0007742000000000058,0.027168159338055154,0.38035423073277214,245,206,49,-0.08335924862637666,1130.5360383295229
A11a,A9P5,0.004098000000000008,-0.01112054999999999,0.019272050000000002,0.8347746714753339,1.0,217,230,53,0.02364737581471939,14036.948554300117
A11a,A9P5N,0.11852800000000001,0.09314795,0.14520855000000002,2.7150756713566386e-17,1.058879511829089e-15,165,308,27,0.395849445639074,51.0896033306317
A11b,A12,-0.021484000000000007,-0.04121675000000001,-0.0034777000000000124,0.01619322691987453,0.25909163071799246,262,201,37,-0.09972320425204217,790.2511537860353
A11b,A1N,0.091312,0.062021549999999995,0.12211409999999998,3.248550655115105e-05,0.0008771086768810785,221,273,6,0.261588254988509,115.70205348729537
A11b,A2,-0.063268,-0.09556619999999999,-0.032803849999999996,0.0001278143819883391,0.003067545167720138,264,195,41,-0.17460821075425312,258.4413774526329
A11b,A5,-0.06606999999999999,-0.09432805,-0.03822705000000003,2.1668386841720894e-06,6.717199920933478e-05,290,206,4,-0.20648344638957378,185.09296557849007
A11b,A9,-0.017308000000000004,-0.03253810000000001,-0.00195775000000001,0.03718967401442518,0.44627608817310216,242,208,50,-0.09806414036062261,817.182395968019
A11b,A9P5,0.0016400000000000058,-0.01309205,0.01621805,0.601207536292354,1.0,220,231,49,0.009811253386974658,81538.74388928757
A11b,A9P5N,0.11606999999999999,0.09145734999999999,0.14141804999999996,9.177901427034839e-18,3.6711605708139353e-16,160,314,26,0.4056919512576661,48.68863496621316
A12,A1N,0.112796,0.0829714,0.14408514999999997,2.9183065680456656e-10,1.0505903644964396e-08,193,302,5,0.31747755293532043,78.87205331502511
A12,A2,-0.041783999999999995,-0.07449654999999998,-0.010580550000000013,0.07818094325790709,0.7818094325790709,264,214,22,-0.1134842190941267,610.448100103492
A12,A5,-0.044585999999999994,-0.0726039,-0.017225450000000003,0.005216271343530257,0.09389288418354462,278,220,2,-0.14089835552884875,396.3628201319322
A12,A9,0.0041760000000000035,-0.015209999999999994,0.02432,0.8014132816733216,1.0,239,231,30,0.018436063574288755,23093.517449809257
A12,A9P5,0.02312400000000001,0.004277700000000004,0.0426185,0.004425836095857407,0.08409088582129073,202,266,32,0.10493146845615367,713.846749110526
A12,A9P5N,0.13755400000000004,0.11296600000000001,0.1644944,1.5370386025408128e-24,6.609265990925495e-23,153,322,25,0.4596263630198727,38.153335817360606
