arm_a,arm_b,mean_diff,ci_lo,ci_hi,p,p_holm,a_win,b_win,tie,cohens_d,need_n
A1,A11a,-0.009328000000000006,-0.0361281,0.017680049999999985,0.5580993087854862,1.0,207,249,44,-0.030223493289091706,8593.476550931942
A1,A11b,-0.006870000000000004,-0.03246010000000001,0.019046349999999993,0.6828068862098433,1.0,216,238,46,-0.022993832686721595,14846.161982749567
A1,A9P5,-0.005229999999999999,-0.03214675,0.021516399999999988,0.7980618758627741,1.0,219,240,41,-0.017522997022605555,25562.768671526464
A1,A9P5N,0.1092,0.08231385,0.13752825,2.41749724283065e-12,1.6922480699814552e-11,171,305,24,0.34818596691034964,65.74185629392036
A11a,A11b,0.0024580000000000045,-0.009568649999999995,0.014364149999999997,0.6312780264199505,1.0,219,211,70,0.01808107910005543,24009.16583855242
A11a,A9P5,0.004098000000000008,-0.01112054999999999,0.019272050000000002,0.8347746714753339,1.0,217,230,53,0.02364737581471939,14036.948554300117
A11a,A9P5N,0.11852800000000001,0.09314795,0.14520855000000002,2.7150756713566386e-17,2.4435681042209745e-16,165,308,27,0.395849445639074,51.0896033306317
A11b,A9P5,0.0016400000000000058,-0.01309205,0.01621805,0.601207536292354,1.0,220,231,49,0.009811253386974658,81538.74388928757
A11b,A9P5N,0.11606999999999999,0.09145734999999999,0.14141804999999996,9.177901427034839e-18,9.177901427034838e-17,160,314,26,0.4056919512576661,48.68863496621316
A9P5,A9P5N,0.11443,0.0898317,0.14059605,3.3127151250693594e-16,2.6501721000554875e-15,170,304,26,0.3938524880359198,51.59883153746314
