arm_a,arm_b,mean_diff,ci_lo,ci_hi,p,p_holm,a_win,b_win,tie,cohens_d,need_n
A1,A11a,-0.008838298599999999,-0.037614475245,0.020150515835,0.27790927666981524,1.0,212,244,44,-0.02692041275832921,10831.393739492596
A1,A11b,-0.004714358999999998,-0.032331790415000006,0.022425214169999992,0.36229680695763256,1.0,213,243,44,-0.015069526680847612,34563.76281764265
A1,A9P5,-0.0042795147999999976,-0.03285226734,0.023988460994999967,0.41575064991319255,1.0,210,249,41,-0.013479714668776796,43197.272857511445
A1,A9P5N,0.11306696360000001,0.084767725775,0.143523741545,6.58942714687013e-12,4.612599002809091e-11,179,297,24,0.33704033687367574,70.09456932982867
A11a,A11b,0.004123939600000001,-0.008652946575000002,0.016664932874999996,0.7706334920683393,1.0,212,220,68,0.028612584057198423,9588.23806150183
A11a,A9P5,0.004558783799999999,-0.012153746399999997,0.021478904639999997,0.7919051015630971,1.0,218,229,53,0.023678487603017804,14000.088381272399
A11a,A9P5N,0.1219052622,0.09419675409999999,0.150708827885,2.1111048372795016e-14,2.1111048372795016e-13,178,297,25,0.37429866527974204,57.0236135608951
A11b,A9P5,0.0004348441999999988,-0.015104335899999991,0.016008955784999997,0.6940583045541101,1.0,225,227,48,0.0024637040104930185,1293096.539591921
A11b,A9P5N,0.11778132260000002,0.09133395906499998,0.14533617414,3.2954185163195365e-14,2.9658766646875827e-13,178,298,24,0.37954497169636214,55.485531314630364
A9P5,A9P5N,0.11734647840000001,0.09079747257000002,0.1456879265,3.7263009995051826e-13,2.981040799604146e-12,182,293,25,0.37319675583280953,57.3549352304459
