arm_a,arm_b,mean_diff,ci_lo,ci_hi,p,p_holm,a_win,b_win,tie,cohens_d,need_n
A12N,A1N,-0.007728000000000005,-0.029962450000000005,0.01712284999999998,0.013324566035053146,0.06662283017526573,285,209,6,-0.028920219359509385,9385.35674542578
A12N,A2N,-0.070306,-0.09825199999999999,-0.04518970000000001,1.0377990065060207e-05,9.340191058554186e-05,268,213,19,-0.23165415986160903,147.26063948972322
A12N,A5N,-0.056908,-0.0805795,-0.03273915000000001,2.606292859792852e-06,2.8669221457721372e-05,280,216,4,-0.20975512319655007,179.3949352650605
A12N,A5N4,-0.225694,-0.2599646,-0.19275555000000005,1.1658817791717779e-37,2.0985872025092e-36,375,123,2,-0.591481900463035,23.434931887860298
A12N,A8N,0.031658000000000006,0.013011499999999999,0.052254249999999995,0.004583922000349795,0.02750353200209877,224,261,15,0.14103386214796634,395.60344871661806
A12N,A9P5N,0.01703,0.004699899999999998,0.029578149999999997,0.0148536335972279,0.06662283017526573,210,260,30,0.11893577008740251,555.859079177041
A1N,A2N,-0.062578,-0.10100925,-0.02839195,0.11180480565326979,0.3354144169598094,258,237,5,-0.1493553917035362,352.8567316178188
A1N,A5N,-0.04918,-0.07261274999999999,-0.026727800000000003,0.0028688624643143745,0.02008203725020062,266,231,3,-0.1855489804192231,228.97673525980747
A1N,A5N4,-0.21796600000000002,-0.25619410000000004,-0.18283560000000004,2.599934268921526e-29,4.419888257166595e-28,339,158,3,-0.5236563686942252,29.622983158404402
A1N,A8N,0.039386000000000004,0.019083600000000003,0.0589242,3.77160928228931e-06,3.77160928228931e-05,213,280,7,0.17218201178349754,265.7476531059302
A1N,A9P5N,0.024758000000000006,-6.439999999998796e-05,0.04679045,1.2909176078368362e-05,0.0001032734086269469,198,297,5,0.09262805806757782,915.7924173774256
A2N,A5N,0.013397999999999997,-0.015986250000000007,0.045166799999999986,0.7939778789134322,0.7939778789134322,244,251,5,0.03832486191026727,5344.754246332557
A2N,A5N4,-0.15538799999999997,-0.18750625,-0.12445985,8.493995303953261e-20,1.3590392486325217e-18,329,168,3,-0.4319935960251089,43.05843001629141
A2N,A8N,0.101964,0.07170975000000002,0.13613264999999997,1.6538368338895206e-08,1.9846042006674247e-07,205,291,4,0.273335379016207,106.05481893764589
A2N,A9P5N,0.08733600000000001,0.06156569999999999,0.11482559999999999,1.8021341596469796e-09,2.3427744075410735e-08,206,282,12,0.2831894797032448,98.870868772236
A5N,A5N4,-0.168786,-0.19515665,-0.1440138,2.8311807998099615e-42,5.379243519638927e-41,385,115,0,-0.5878748924847026,23.71108328608587
A5N,A8N,0.088566,0.06695785,0.11151024999999998,3.649863174055653e-14,5.47479476108348e-13,181,317,2,0.3525353926038295,64.15419824128993
A5N,A9P5N,0.073938,0.049989349999999995,0.0970291,1.2587479577180573e-12,1.7622471408052802e-11,180,316,4,0.2791297529433564,101.73848429810602
A5N4,A8N,0.25735199999999997,0.22429915,0.2932502,1.977799669954742e-49,4.153379306904958e-48,108,391,1,0.6596942799225183,19.035252947828663
A5N4,A9P5N,0.242724,0.209985,0.27698605,3.037525293426385e-45,6.075050586852771e-44,115,383,2,0.6455360293292032,19.83504670443405
A8N,A9P5N,-0.014628,-0.034296749999999994,0.003064499999999991,0.20327349145923268,0.40654698291846536,271,220,9,-0.0692106448286331,1639.5582445358866
