game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,risk_lambda,num_candidates,num_children,arm,q_ref_mean,q_ref_sd,q_best,regret
7977,6,14,AllGrid,3,400,10,42,37,"Hit(CCW,1,MIDDLE)",18386,1386.03,0,145,145,A1N,-1.635,1.47369,-1.635,0.0
3926,6,11,AllGrid,3,400,10,42,38,"Hit(CW,0,STRONG)",115043,9622.49,0,123,123,A1N,0.12,1.94566,0.425,0.305
3883,1,14,AllGrid,3,400,10,42,1,"Draw(CCW,TEE)",1814,103.332,0,37,37,A1N,-0.075,0.953612,-0.075,0.0
9222,7,5,AllGrid,3,400,10,42,15,"Draw(CCW,L2)",247453,12281.9,0,37,37,A1N,1.05,2.08267,1.315,0.2649999999999999
7881,2,15,AllGrid,3,400,10,42,88,"Hit(CW,12,STRONG)",529,28.7182,0,129,129,A1N,1.72,2.06678,1.72,0.0
6406,1,10,AllGrid,3,400,10,42,6,"Draw(CW,S4)",114911,7082.39,0,59,59,A1N,-0.435,1.88037,-0.385,0.04999999999999999
8452,5,15,AllGrid,3,400,10,42,89,"Hit(CCW,10,STRONG)",553,37.9552,0,153,153,A1N,1.935,0.246526,1.935,0.0
1028,6,15,AllGrid,3,400,10,42,0,"Draw(CW,TEE)",551,37.1529,0,151,151,A1N,0.77,0.668655,1.0,0.22999999999999998
2596,1,14,AllGrid,3,400,10,42,47,"Hit(CCW,3,MIDDLE)",18220,1803.7,0,145,145,A1N,1.555,1.38816,1.97,0.41500000000000004
4748,1,3,AllGrid,3,400,10,42,7,"Draw(CCW,S4)",314153,15935.8,0,49,49,A1N,0.445,1.85121,0.985,0.54
9206,3,13,AllGrid,3,400,10,42,11,"Draw(CCW,L0)",16254,1202.2,0,49,49,A1N,1.66,1.49479,1.73,0.07000000000000006
5859,1,6,AllGrid,3,400,10,42,2,"Draw(CW,S0)",234182,13429.6,0,65,65,A1N,-0.22,1.95745,-0.015,0.20500000000000002
6871,4,5,AllGrid,3,400,10,42,53,"PostGuard(CCW,1,0)",262264,14462.3,0,71,71,A1N,0.905,1.98645,1.32,0.41500000000000004
7163,3,13,AllGrid,3,400,10,42,69,"Hit(CCW,12,STRONG)",37364,3484.15,0,85,85,A1N,1.635,1.56581,2.465,0.8299999999999998
5807,0,8,AllGrid,3,400,10,42,72,"PostGuard(CW,4,2)",185496,11435.7,0,81,81,A1N,-0.23,2.07776,0.03,0.26
5567,2,15,AllGrid,3,400,10,42,6,"Draw(CW,S4)",529,32.6173,0,129,129,A1N,1.875,0.478931,1.93,0.05499999999999994
2507,3,11,AllGrid,3,400,10,42,39,"Hit(CCW,4,WEAK)",103552,7784.0,0,107,107,A1N,1.66,2.22809,1.715,0.05500000000000016
7006,3,15,AllGrid,3,400,10,42,0,"Draw(CW,TEE)",545,38.8172,0,145,145,A1N,-1.0,0.0,-0.97,0.030000000000000027
1984,6,4,AllGrid,3,400,10,42,51,"Freeze(CCW,3)",287991,12800.8,0,59,59,A1N,-0.585,1.98816,-0.31,0.27499999999999997
