arm_a,arm_b,mean_diff,ci_lo,ci_hi,p,p_holm,a_win,b_win,tie,cohens_d,need_n
A1,A2,-0.09843898375000001,-0.17808248183125,-0.022753524062499995,0.030162462803874468,0.3921120164503681,99,79,22,-0.17702020496020351,251.47362205973243
A1,A5,-0.05154490450000001,-0.1085713863375,0.004838768174999999,0.13179709180978608,1.0,108,89,3,-0.1265403089411873,491.17357361239647
A1,A9,-0.03974847,-0.08098944173749999,0.000733762937499974,0.06281354537111306,0.6909489990822436,90,75,35,-0.13418249108312105,436.929213661762
A1,A9P5,-0.0087516485,-0.0516925340125,0.03399555142499999,0.9889658025479006,1.0,80,85,35,-0.02812278843441434,9925.095050377156
A1,A9R05,-0.030037351500000004,-0.07486311957500003,0.014060232424999977,0.29424144357562887,1.0,84,82,34,-0.09283946027927473,911.631062731061
A2,A5,0.04689407924999999,-0.009016571862500013,0.10475435363124996,0.16766391699401384,1.0,92,105,3,0.11409567363928337,603.9333698254505
A2,A9,0.05869051375,-0.009202063781249999,0.13219813191875,0.297704921932221,1.0,85,100,15,0.11458825118234679,598.7608831143536
A2,A9P5,0.08968733524999997,0.023341125556249984,0.16025643814374996,0.0028173814346548736,0.03944334008516823,74,111,15,0.1805544749374402,241.76378453602297
A2,A9R05,0.06840163225,0.0008549600812499927,0.14051625310625,0.33796329598932373,1.0,91,95,14,0.13546364260432014,428.72257769737536
A5,A9,0.011796434500000001,-0.03973372926250001,0.06617549072499998,0.8562916248891721,1.0,101,95,4,0.030834264914316276,8256.444762967934
A5,A9P5,0.042793256,-0.006577127675,0.0944704474375,0.11567228297409722,1.0,86,111,3,0.11778240472846797,566.7790221373477
A5,A9R05,0.021507553000000002,-0.0274229622,0.0722930144375,0.6057986605448211,1.0,94,103,3,0.05924056799109627,2237.501773685498
A9,A9P5,0.030996821500000004,0.010860418750000015,0.0510030044,0.00020320279824644495,0.003048041973696674,55,107,38,0.21422878465184253,172.02201798294828
A9,A9R05,0.0097111185,-0.016006065000000007,0.03602661688749998,0.6618902564985247,1.0,78,84,38,0.0515942482435024,2949.5269166355997
A9P5,A9R05,-0.021285703000000003,-0.04321727855000001,-8.198542500001208e-05,0.04844346114220274,0.5813215337064329,91,72,37,-0.13713965216421792,418.3319046316188
