game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,risk_lambda,num_candidates,num_children
7977,6,14,AllGrid,3,100,10,45,37,"Hit(CCW,1,MIDDLE)",12170,1577.4,0,145,145
3926,6,11,AllGrid,3,100,10,45,43,"Hit(CCW,2,TOUCH)",35847,3871.01,0,123,123
3883,1,14,AllGrid,3,100,10,45,1,"Draw(CCW,TEE)",1214,97.4047,0,37,37
9222,7,5,AllGrid,3,100,10,45,5,"Draw(CCW,S2)",62131,3797,0,37,37
7881,2,15,AllGrid,3,100,10,45,86,"Hit(CW,12,MIDDLE)",229,20.9871,0,129,129
6406,1,10,AllGrid,3,100,10,45,2,"Draw(CW,S0)",31363,2334.16,0,59,59
8452,5,15,AllGrid,3,100,10,45,39,"Hit(CCW,0,STRONG)",253,29.3815,0,153,153
1028,6,15,AllGrid,3,100,10,45,0,"Draw(CW,TEE)",251,30.795,0,151,151
2596,1,14,AllGrid,3,100,10,45,34,"Hit(CW,1,WEAK)",12163,1603.84,0,145,145
4748,1,3,AllGrid,3,100,10,45,34,"Hit(CW,0,WEAK)",78939,5129.62,0,49,49
9206,3,13,AllGrid,3,100,10,45,3,"Draw(CCW,S0)",7795,765.225,0,49,49
5859,1,6,AllGrid,3,100,10,45,22,"Draw(CW,L6)",60800,4354.3,0,65,65
6871,4,5,AllGrid,3,100,10,45,0,"Draw(CW,TEE)",68639,4895.46,0,71,71
7163,3,13,AllGrid,3,100,10,45,0,"Draw(CW,TEE)",14586,1559.98,0,85,85
5807,0,8,AllGrid,3,100,10,45,47,"Hit(CCW,5,MIDDLE)",50666,3978.57,0,81,81
5567,2,15,AllGrid,3,100,10,45,0,"Draw(CW,TEE)",229,22.198,0,129,129
2507,3,11,AllGrid,3,100,10,45,51,"Hit(CCW,6,MIDDLE)",33549,3266.41,0,107,107
7006,3,15,AllGrid,3,100,10,45,0,"Draw(CW,TEE)",245,30.5802,0,145,145
1984,6,4,AllGrid,3,100,10,45,7,"Draw(CCW,S4)",74129,5086.17,0,59,59
1845,7,14,AllGrid,3,100,10,45,49,"PostGuard(CCW,12,0)",3135,315.688,0,55,55
5780,2,6,AllGrid,3,100,10,45,42,"PostGuard(CW,0,0)",56772,3699.59,0,49,49
8645,7,5,AllGrid,3,100,10,45,34,"Hit(CW,0,WEAK)",68783,5118.08,0,71,71
6132,0,13,AllGrid,3,100,10,45,55,"Hit(CCW,12,WEAK)",15370,1705.11,0,87,87
3339,4,10,AllGrid,3,100,10,45,6,"Draw(CW,S4)",34338,2566.02,0,71,71
3566,6,14,AllGrid,3,100,10,45,69,"Hit(CCW,9,STRONG)",10507,1402.51,0,129,129
5523,3,9,AllGrid,3,100,10,45,59,"Hit(CCW,4,STRONG)",44957,4153.66,0,103,103
7015,5,14,AllGrid,3,100,10,45,36,"Hit(CW,1,MIDDLE)",12005,1591.48,0,145,145
743,7,3,AllGrid,3,100,10,45,47,"PostGuard(CCW,1,2)",80445,5351.82,0,55,55
1014,4,15,AllGrid,3,100,10,45,10,"Draw(CW,L0)",161,11.8445,0,61,61
3900,0,10,AllGrid,3,100,10,45,32,"Hit(CW,9,TOUCH)",30559,2283.17,0,55,55
4543,6,5,AllGrid,3,100,10,45,53,"PostGuard(CCW,1,0)",68871,4843.04,0,71,71
9231,5,14,AllGrid,3,100,10,45,2,"Draw(CW,S0)",7844,894.648,0,101,101
1825,5,7,AllGrid,3,100,10,45,34,"Hit(CW,2,WEAK)",55583,4169.53,0,77,77
4062,4,15,AllGrid,3,100,10,45,35,"Hit(CCW,2,WEAK)",217,19.8209,0,117,117
9882,2,11,AllGrid,3,100,10,45,37,"Hit(CCW,2,MIDDLE)",33197,3365.28,0,109,109
2998,6,14,AllGrid,3,100,10,45,66,"Hit(CW,7,MIDDLE)",12120,1651.09,0,145,145
1555,2,3,AllGrid,3,100,10,45,24,"Draw(CW,L7)",80004,5284.56,0,55,55
4372,4,14,AllGrid,3,100,10,45,19,"Draw(CCW,L4)",2376,232.223,0,49,49
3732,7,7,AllGrid,3,100,10,45,8,"Draw(CW,S6)",48524,3074.2,0,49,49
3858,5,5,AllGrid,3,100,10,45,60,"Freeze(CW,4)",69305,5220.31,0,75,75
1938,0,14,AllGrid,3,100,10,45,35,"Hit(CCW,9,WEAK)",7596,876.039,0,93,93
9112,3,9,AllGrid,3,100,10,45,11,"Draw(CCW,L0)",39612,3001.53,0,75,75
4157,3,12,AllGrid,3,100,10,45,34,"Hit(CW,3,WEAK)",25866,2852.5,0,107,107
7373,1,11,AllGrid,3,100,10,45,41,"Freeze(CCW,2)",30365,2867.18,0,103,103
7173,4,15,AllGrid,3,100,10,45,0,"Draw(CW,TEE)",251,31.3586,0,151,151
196,4,4,AllGrid,3,100,10,45,41,"Freeze(CCW,3)",73019,4780.91,0,49,49
2630,2,14,AllGrid,3,100,10,45,10,"Draw(CW,L0)",3389,315.81,0,59,59
5731,2,10,AllGrid,3,100,10,45,1,"Draw(CCW,TEE)",26422,1706.16,0,43,43
9518,4,5,AllGrid,3,100,10,45,7,"Draw(CCW,S4)",69166,4941.9,0,71,71
8211,7,12,AllGrid,3,100,10,45,60,"Freeze(CW,9)",19754,1815.16,0,79,79
5392,3,13,AllGrid,3,100,10,45,2,"Draw(CW,S0)",22319,2916.28,0,135,135
4262,4,2,AllGrid,3,100,10,45,1,"Draw(CCW,TEE)",88054,5799.55,0,49,49
6230,1,12,AllGrid,3,100,10,45,3,"Draw(CCW,S0)",14686,1200.66,0,49,49
3543,4,7,AllGrid,3,100,10,45,21,"Draw(CCW,L5)",49370,3325.83,0,55,55
1784,6,5,AllGrid,3,100,10,45,45,"Hit(CCW,2,WEAK)",68753,4933.84,0,71,71
4905,4,14,AllGrid,3,100,10,45,39,"Hit(CCW,5,STRONG)",8154,867.572,0,101,101
3837,2,10,AllGrid,3,100,10,45,2,"Draw(CW,S0)",33165,2754.51,0,71,71
2854,0,15,AllGrid,3,100,10,45,56,"Hit(CW,12,MIDDLE)",203,18.6077,0,103,103
1221,1,10,AllGrid,3,100,10,45,47,"Hit(CCW,3,MIDDLE)",40770,4094.12,0,113,113
7301,6,14,AllGrid,3,100,10,45,47,"Hit(CCW,3,MIDDLE)",12151,1689.42,0,145,145
5248,0,3,AllGrid,3,100,10,45,34,"Hit(CW,2,WEAK)",80830,5363.54,0,49,49
2545,3,15,AllGrid,3,100,10,45,0,"Draw(CW,TEE)",161,11.1203,0,61,61
6335,1,11,AllGrid,3,100,10,45,12,"Draw(CW,L1)",19989,1381.87,0,53,53
8275,4,5,AllGrid,3,100,10,45,36,"Hit(CW,0,MIDDLE)",68252,4967.89,0,71,71
963,5,13,AllGrid,3,100,10,45,10,"Draw(CW,L0)",15596,1744.34,0,89,89
176,5,11,AllGrid,3,100,10,45,79,"PostGuard(CCW,3,0)",31839,3046.86,0,97,97
2199,1,13,AllGrid,3,100,10,45,0,"Draw(CW,TEE)",20103,2466,0,119,119
8298,3,11,AllGrid,3,100,10,45,72,"Hit(CW,8,TOUCH)",35244,3782.43,0,119,119
6729,2,14,AllGrid,3,100,10,45,2,"Draw(CW,S0)",11829,1561.18,0,135,135
8119,5,4,AllGrid,3,100,10,45,34,"Hit(CW,1,WEAK)",75339,5348.76,0,65,65
8189,0,14,AllGrid,3,100,10,45,34,"Hit(CW,13,WEAK)",3338,334.35,0,55,55
9791,0,8,AllGrid,3,100,10,45,37,"Hit(CCW,7,MIDDLE)",44955,3158.55,0,55,55
5487,5,5,AllGrid,3,100,10,45,37,"Hit(CCW,0,MIDDLE)",68034,4988.7,0,71,71
4950,0,15,AllGrid,3,100,10,45,46,"Hit(CW,14,MIDDLE)",171,10.4673,0,71,71
9143,3,7,AllGrid,3,100,10,45,32,"Hit(CW,0,TOUCH)",55856,4334.88,0,81,81
4517,4,13,AllGrid,3,100,10,45,65,"Hit(CCW,8,WEAK)",20481,2556.41,0,123,123
2994,5,10,AllGrid,3,100,10,45,58,"Hit(CW,5,STRONG)",41778,3986,0,113,113
961,6,13,AllGrid,3,100,10,45,69,"Hit(CCW,6,STRONG)",23489,2957.22,0,139,139
1566,1,3,AllGrid,3,100,10,45,4,"Draw(CW,S2)",81805,5714.12,0,59,59
1686,6,15,AllGrid,3,100,10,45,0,"Draw(CW,TEE)",149,9.24976,0,49,49
1201,0,6,AllGrid,3,100,10,45,45,"Hit(CCW,5,WEAK)",58595,3869.5,0,53,53
5494,4,5,AllGrid,3,100,10,45,59,"Hit(CCW,4,STRONG)",70207,5234.33,0,75,75
2492,4,15,AllGrid,3,100,10,45,42,"Hit(CW,10,TOUCH)",175,12.5178,0,75,75
8959,1,11,AllGrid,3,100,10,45,51,"Freeze(CCW,6)",30555,2938.06,0,97,97
1671,0,15,AllGrid,3,100,10,45,47,"Hit(CCW,6,MIDDLE)",217,20.2961,0,117,117
1385,7,11,AllGrid,3,100,10,45,6,"Draw(CW,S4)",30835,2877.27,0,103,103
6872,1,14,AllGrid,3,100,10,45,76,"Hit(CW,11,MIDDLE)",11711,1615.42,0,135,135
8785,1,4,AllGrid,3,100,10,45,11,"Draw(CCW,L0)",74156,4966.8,0,49,49
