game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,risk_lambda,num_candidates,num_children
7977,6,14,ClusterValue,3,100,10,46,37,"Hit(CCW,1,MIDDLE)",6562,540.179,0,145,2
3926,6,11,ClusterValue,3,100,10,46,76,"Hit(CW,8,MIDDLE)",35661,2614.54,0,123,2
3883,1,14,ClusterValue,3,100,10,46,18,"Draw(CW,L4)",1905,110.466,0,37,2
9222,7,5,ClusterValue,3,100,10,46,24,"Draw(CW,L7)",72619,4242.95,0,37,2
7881,2,15,ClusterValue,3,100,10,46,84,"Hit(CW,12,WEAK)",229,24.3337,0,129,2
6406,1,10,ClusterValue,3,100,10,46,47,"Hit(CCW,9,MIDDLE)",34606,2087.27,0,59,2
8452,5,15,ClusterValue,3,100,10,46,34,"Hit(CW,0,WEAK)",253,33.6365,0,153,2
1028,6,15,ClusterValue,3,100,10,46,135,"PostGuard(CCW,11,1)",251,30.0482,0,151,2
2596,1,14,ClusterValue,3,100,10,46,78,"Hit(CW,9,STRONG)",6609,541.904,0,145,2
4748,1,3,ClusterValue,3,100,10,46,23,"Draw(CCW,L6)",96874,5705.36,0,49,2
9206,3,13,ClusterValue,3,100,10,46,35,"Hit(CCW,12,WEAK)",5638,382.59,0,49,2
5859,1,6,ClusterValue,3,100,10,46,35,"Hit(CCW,1,WEAK)",74487,4458.63,0,65,2
6871,4,5,ClusterValue,3,100,10,46,43,"Hit(CCW,2,TOUCH)",87330,5453.35,0,71,2
7163,3,13,ClusterValue,3,100,10,46,64,"Hit(CW,12,WEAK)",8967,620.708,0,85,2
5807,0,8,ClusterValue,3,100,10,46,32,"Hit(CW,3,TOUCH)",60639,3854.29,0,81,2
5567,2,15,ClusterValue,3,100,10,46,0,"Draw(CW,TEE)",229,26.4922,0,129,2
2507,3,11,ClusterValue,3,100,10,46,39,"Hit(CCW,4,WEAK)",34217,2356.9,0,107,2
7006,3,15,ClusterValue,3,100,10,46,0,"Draw(CW,TEE)",245,32.0367,0,145,2
1984,6,4,ClusterValue,3,100,10,46,0,"Draw(CW,TEE)",92301,5591.75,0,59,2
1845,7,14,ClusterValue,3,100,10,46,49,"PostGuard(CCW,12,0)",2661,153.756,0,55,2
5780,2,6,ClusterValue,3,100,10,46,10,"Draw(CW,L0)",70329,4139.45,0,49,2
8645,7,5,ClusterValue,3,100,10,46,44,"Hit(CW,2,WEAK)",87974,5582.05,0,71,2
6132,0,13,ClusterValue,3,100,10,46,13,"Draw(CCW,L1)",10931,852.64,0,87,2
3339,4,10,ClusterValue,3,100,10,46,63,"PostGuard(CCW,6,2)",38373,2412.97,0,71,2
3566,6,14,ClusterValue,3,100,10,46,46,"Hit(CW,5,MIDDLE)",5829,488.224,0,129,2
5523,3,9,ClusterValue,3,100,10,46,11,"Draw(CCW,L0)",57132,4121.76,0,103,2
7015,5,14,ClusterValue,3,100,10,46,11,"Draw(CCW,L0)",6904,584.075,0,145,2
743,7,3,ClusterValue,3,100,10,46,10,"Draw(CW,L0)",100250,6118.91,0,55,2
1014,4,15,ClusterValue,3,100,10,46,10,"Draw(CW,L0)",161,11.8037,0,61,2
3900,0,10,ClusterValue,3,100,10,46,2,"Draw(CW,S0)",34067,2120.88,0,55,2
4543,6,5,ClusterValue,3,100,10,46,34,"Hit(CW,0,WEAK)",86315,5308.64,0,71,2
9231,5,14,ClusterValue,3,100,10,46,49,"Hit(CCW,5,STRONG)",4669,319.746,0,101,2
1825,5,7,ClusterValue,3,100,10,46,0,"Draw(CW,TEE)",69436,4460.77,0,77,2
4062,4,15,ClusterValue,3,100,10,46,35,"Hit(CCW,2,WEAK)",217,17.8422,0,117,2
9882,2,11,ClusterValue,3,100,10,46,46,"Hit(CW,4,MIDDLE)",33798,2302.16,0,109,2
2998,6,14,ClusterValue,3,100,10,46,98,"Hit(CW,13,STRONG)",6545,535.974,0,145,2
1555,2,3,ClusterValue,3,100,10,46,22,"Draw(CW,L6)",98360,5965.48,0,55,2
4372,4,14,ClusterValue,3,100,10,46,1,"Draw(CCW,TEE)",2446,135.617,0,49,2
3732,7,7,ClusterValue,3,100,10,46,21,"Draw(CCW,L5)",61052,3555.21,0,49,2
3858,5,5,ClusterValue,3,100,10,46,12,"Draw(CW,L1)",89042,5727.55,0,75,2
1938,0,14,ClusterValue,3,100,10,46,36,"Hit(CW,9,MIDDLE)",4338,302.671,0,93,2
9112,3,9,ClusterValue,3,100,10,46,35,"Hit(CCW,2,WEAK)",47667,2909.37,0,75,2
4157,3,12,ClusterValue,3,100,10,46,36,"Hit(CW,3,MIDDLE)",22035,1532.96,0,107,2
7373,1,11,ClusterValue,3,100,10,46,43,"Hit(CCW,4,TOUCH)",33941,2398.89,0,103,2
7173,4,15,ClusterValue,3,100,10,46,135,"PostGuard(CCW,11,1)",251,26.9765,0,151,2
196,4,4,ClusterValue,3,100,10,46,45,"PostGuard(CCW,2,1)",87693,5203.67,0,49,2
2630,2,14,ClusterValue,3,100,10,46,33,"Hit(CCW,11,TOUCH)",2920,168.426,0,59,2
5731,2,10,ClusterValue,3,100,10,46,37,"Hit(CCW,9,MIDDLE)",31410,1742.11,0,43,2
9518,4,5,ClusterValue,3,100,10,46,3,"Draw(CCW,S0)",87894,5523.63,0,71,2
8211,7,12,ClusterValue,3,100,10,46,10,"Draw(CW,L0)",19056,1224.35,0,79,2
5392,3,13,ClusterValue,3,100,10,46,54,"Hit(CW,4,WEAK)",13667,1170.02,0,135,2
4262,4,2,ClusterValue,3,100,10,46,35,"Hit(CCW,1,WEAK)",106299,6438.04,0,49,2
6230,1,12,ClusterValue,3,100,10,46,36,"Hit(CW,11,MIDDLE)",14665,891.645,0,49,2
3543,4,7,ClusterValue,3,100,10,46,17,"Draw(CCW,L3)",62731,3783.24,0,55,2
1784,6,5,ClusterValue,3,100,10,46,0,"Draw(CW,TEE)",87797,5499.84,0,71,2
4905,4,14,ClusterValue,3,100,10,46,11,"Draw(CCW,L0)",4517,285.088,0,101,2
3837,2,10,ClusterValue,3,100,10,46,35,"Hit(CCW,7,WEAK)",37711,2390.42,0,71,2
2854,0,15,ClusterValue,3,100,10,46,92,"PostGuard(CW,11,1)",203,17.6133,0,103,2
1221,1,10,ClusterValue,3,100,10,46,68,"Hit(CW,7,STRONG)",46656,3382.95,0,113,2
7301,6,14,ClusterValue,3,100,10,46,12,"Draw(CW,L1)",6631,575.188,0,145,2
5248,0,3,ClusterValue,3,100,10,46,13,"Draw(CCW,L1)",96646,5828.2,0,49,2
2545,3,15,ClusterValue,3,100,10,46,0,"Draw(CW,TEE)",161,11.4116,0,61,2
6335,1,11,ClusterValue,3,100,10,46,51,"Freeze(CCW,10)",24621,1493.76,0,53,2
8275,4,5,ClusterValue,3,100,10,46,49,"Hit(CCW,2,STRONG)",87057,5280.51,0,71,2
963,5,13,ClusterValue,3,100,10,46,52,"PostGuard(CW,1,0)",10777,832.88,0,89,2
176,5,11,ClusterValue,3,100,10,46,45,"Hit(CCW,6,WEAK)",33315,2319.95,0,97,2
2199,1,13,ClusterValue,3,100,10,46,74,"Hit(CW,10,WEAK)",14543,1232.83,0,119,2
8298,3,11,ClusterValue,3,100,10,46,38,"Hit(CW,0,STRONG)",34222,2338.22,0,119,2
6729,2,14,ClusterValue,3,100,10,46,0,"Draw(CW,TEE)",6242,505.027,0,135,2
8119,5,4,ClusterValue,3,100,10,46,1,"Draw(CCW,TEE)",94548,5846.04,0,65,2
8189,0,14,ClusterValue,3,100,10,46,34,"Hit(CW,13,WEAK)",2588,150.72,0,55,2
9791,0,8,ClusterValue,3,100,10,46,39,"Hit(CCW,7,STRONG)",53580,3209.39,0,55,2
5487,5,5,ClusterValue,3,100,10,46,11,"Draw(CCW,L0)",86623,5358.31,0,71,2
4950,0,15,ClusterValue,3,100,10,46,35,"Hit(CCW,12,WEAK)",171,11.5073,0,71,2
9143,3,7,ClusterValue,3,100,10,46,31,"PreGuard(CCW,G5)",71052,4441.54,0,81,2
4517,4,13,ClusterValue,3,100,10,46,76,"Hit(CW,10,MIDDLE)",13155,1069.48,0,123,2
2994,5,10,ClusterValue,3,100,10,46,74,"Hit(CW,9,WEAK)",46947,3240.18,0,113,2
961,6,13,ClusterValue,3,100,10,46,35,"Hit(CCW,0,WEAK)",15878,1316.8,0,139,2
1566,1,3,ClusterValue,3,100,10,46,32,"Hit(CW,0,TOUCH)",101601,6210.35,0,59,2
1686,6,15,ClusterValue,3,100,10,46,0,"Draw(CW,TEE)",149,9.61306,0,49,2
1201,0,6,ClusterValue,3,100,10,46,49,"Hit(CCW,5,STRONG)",70949,4206.76,0,53,2
5494,4,5,ClusterValue,3,100,10,46,0,"Draw(CW,TEE)",89706,5852.55,0,75,2
2492,4,15,ClusterValue,3,100,10,46,2,"Draw(CW,S0)",175,13.8654,0,75,2
8959,1,11,ClusterValue,3,100,10,46,66,"Hit(CW,10,MIDDLE)",31681,2073.09,0,97,2
1671,0,15,ClusterValue,3,100,10,46,76,"Hit(CW,12,MIDDLE)",217,18.9582,0,117,2
1385,7,11,ClusterValue,3,100,10,46,6,"Draw(CW,S4)",34034,2307.4,0,103,2
6872,1,14,ClusterValue,3,100,10,46,134,"Pass",6091,505.367,0,135,2
8785,1,4,ClusterValue,3,100,10,46,41,"Freeze(CCW,1)",87640,5316.46,0,49,2
1835,0,15,ClusterValue,3,100,10,46,55,"Hit(CCW,14,WEAK)",169,10.9103,0,69,2
6216,7,8,ClusterValue,3,100,10,46,10,"Draw(CW,L0)",52757,3139.95,0,55,2
8471,6,5,ClusterValue,3,100,10,46,2,"Draw(CW,S0)",88270,5443.65,0,75,2
256,3,12,ClusterValue,3,100,10,46,48,"Hit(CW,11,STRONG)",19339,1319.51,0,77,2
5778,2,9,ClusterValue,3,100,10,46,0,"Draw(CW,TEE)",53651,3603.92,0,97,2
6320,4,15,ClusterValue,3,100,10,46,64,"Hit(CW,12,WEAK)",203,16.4485,0,103,2
1638,4,11,ClusterValue,3,100,10,46,1,"Draw(CCW,TEE)",35044,2508.31,0,103,2
2310,6,15,ClusterValue,3,100,10,46,55,"Hit(CCW,6,WEAK)",235,22.0655,0,135,2
7921,5,4,ClusterValue,3,100,10,46,36,"Hit(CW,1,MIDDLE)",88004,5205.35,0,49,2
1361,1,12,ClusterValue,3,100,10,46,1,"Draw(CCW,TEE)",16426,1009.84,0,59,2
5041,1,8,ClusterValue,3,100,10,46,6,"Draw(CW,S4)",53164,3278.41,0,55,2
5033,7,5,ClusterValue,3,100,10,46,44,"Hit(CW,2,WEAK)",86528,5384.38,0,71,2
5022,1,15,ClusterValue,3,100,10,46,7,"Draw(CCW,S4)",189,16.2304,0,89,2
9907,7,9,ClusterValue,3,100,10,46,25,"Draw(CCW,L7)",46375,2842.88,0,65,2
8627,2,12,ClusterValue,3,100,10,46,31,"PreGuard(CCW,G5)",24682,1854.15,0,103,2
