game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec
6408,7,15,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",57,4.69926
9639,2,15,AllGrid,3,200,10,42,42,"Hit(CW,4,TOUCH)",129,18.805
1589,4,15,AllGrid,3,200,10,42,45,"Hit(CCW,10,WEAK)",69,5.3263
4707,7,15,AllGrid,3,200,10,42,39,"Hit(CCW,4,WEAK)",135,17.0251
9432,3,15,AllGrid,3,200,10,42,1,"Draw(CCW,TEE)",117,17.2788
7871,7,15,AllGrid,3,200,10,42,35,"Hit(CCW,0,WEAK)",151,27.9114
6154,4,15,AllGrid,3,200,10,42,35,"Hit(CCW,12,WEAK)",59,4.29385
4511,3,15,AllGrid,3,200,10,42,3,"Draw(CCW,S0)",91,9.07104
3435,0,15,AllGrid,3,200,10,42,5,"Draw(CCW,S2)",119,16.5863
8154,1,15,AllGrid,3,200,10,42,1,"Draw(CCW,TEE)",69,5.02562
5567,2,15,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",129,19.9875
7847,7,15,AllGrid,3,200,10,42,2,"Draw(CW,S0)",65,4.66818
7828,4,15,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",139,25.0496
3058,3,14,AllGrid,3,200,10,42,4,"Draw(CW,S2)",4534,450.867
9900,7,14,AllGrid,3,200,10,42,2,"Draw(CW,S0)",13906,1691.78
2630,2,14,AllGrid,3,200,10,42,32,"Hit(CW,11,TOUCH)",3189,242.406
2882,5,14,AllGrid,3,200,10,42,67,"Hit(CCW,11,MIDDLE)",10117,1299.12
7977,6,14,AllGrid,3,200,10,42,46,"Hit(CW,3,MIDDLE)",17586,2231.52
4927,1,14,AllGrid,3,200,10,42,2,"Draw(CW,S0)",12963,1290.51
6215,2,14,AllGrid,3,200,10,42,54,"Hit(CW,11,WEAK)",12252,1429.08
3697,5,14,AllGrid,3,200,10,42,43,"Hit(CCW,11,TOUCH)",7764,818.329
6622,3,14,AllGrid,3,200,10,42,36,"Hit(CW,7,MIDDLE)",8406,908.983
5422,3,14,AllGrid,3,200,10,42,32,"Hit(CW,11,TOUCH)",7150,701.016
529,5,14,AllGrid,3,200,10,42,52,"Hit(CW,13,TOUCH)",4098,377.033
7054,4,14,AllGrid,3,200,10,42,33,"Hit(CCW,5,TOUCH)",5645,519.272
9240,0,14,AllGrid,3,200,10,42,11,"Draw(CCW,L0)",4545,423.591
6303,3,13,AllGrid,3,200,10,42,7,"Draw(CCW,S4)",12119,933.889
2760,1,13,AllGrid,3,200,10,42,82,"PostGuard(CW,9,0)",23526,2152.91
7738,2,13,AllGrid,3,200,10,42,66,"Hit(CW,6,MIDDLE)",38567,3929.98
4004,6,13,AllGrid,3,200,10,42,67,"Hit(CCW,6,MIDDLE)",37328,3823.48
1546,0,13,AllGrid,3,200,10,42,44,"Hit(CW,8,WEAK)",18654,1664.91
1255,4,13,AllGrid,3,200,10,42,64,"Hit(CW,12,WEAK)",22396,2183.88
2661,7,13,AllGrid,3,200,10,42,44,"Hit(CW,4,WEAK)",21918,2043.53
8474,4,13,AllGrid,3,200,10,42,7,"Draw(CCW,S4)",10932,850.785
9578,3,13,AllGrid,3,200,10,42,66,"Hit(CW,10,MIDDLE)",23527,2553.57
6461,7,13,AllGrid,3,200,10,42,46,"Hit(CW,4,MIDDLE)",26918,2547.77
4362,3,13,AllGrid,3,200,10,42,37,"Hit(CCW,0,MIDDLE)",30912,3295.78
8711,2,13,AllGrid,3,200,10,42,113,"PostGuard(CCW,11,0)",32998,3339.37
9826,2,13,AllGrid,3,200,10,42,35,"Hit(CCW,10,WEAK)",8893,624.836
8421,6,12,AllGrid,3,200,10,42,37,"Hit(CCW,9,MIDDLE)",29146,1954.71
524,5,12,AllGrid,3,200,10,42,2,"Draw(CW,S0)",31343,2119.81
2525,3,12,AllGrid,3,200,10,42,43,"Hit(CCW,9,TOUCH)",31316,2209.23
9771,3,12,AllGrid,3,200,10,42,1,"Draw(CCW,TEE)",27277,1847.4
239,3,12,AllGrid,3,200,10,42,46,"Hit(CW,11,MIDDLE)",32992,2405.39
5828,2,12,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",33094,2592.33
1804,7,12,AllGrid,3,200,10,42,7,"Draw(CCW,S4)",29113,1902.42
3588,5,12,AllGrid,3,200,10,42,11,"Draw(CCW,L0)",36125,2819.85
994,7,12,AllGrid,3,200,10,42,34,"Hit(CW,11,WEAK)",28594,1833.93
3229,1,12,AllGrid,3,200,10,42,3,"Draw(CCW,S0)",32203,2415.32
5459,0,12,AllGrid,3,200,10,42,39,"Hit(CCW,11,STRONG)",30752,2012.77
1482,1,12,AllGrid,3,200,10,42,32,"Hit(CW,9,TOUCH)",33402,2546.38
1109,5,12,AllGrid,3,200,10,42,2,"Draw(CW,S0)",44275,3888.38
