game_id,end,shot_num,candidate_idx,label,shot_type,q_ref_mean,q_ref_sd,n_rollouts,resampled,score_hist,q_immediate_mean
7977,6,14,0,"Draw(CW,TEE)",1,-2.76,1.42211,200,1,"-6:1;-5:1;-4:102;-3:11;-2:17;-1:67;1:1",-3.19
7977,6,14,1,"Draw(CCW,TEE)",1,-2.76,1.49746,200,1,"-6:3;-5:14;-4:78;-3:10;-2:27;-1:68",-2.51
7977,6,14,2,"Draw(CW,S0)",1,-3.06,1.39871,200,1,"-6:3;-5:2;-4:119;-3:9;-2:18;-1:47;1:2",-3.72
7977,6,14,3,"Draw(CCW,S0)",1,-2.64,1.60012,200,1,"-6:1;-5:11;-4:80;-3:18;-2:21;-1:60;1:9",-2.45
7977,6,14,4,"Draw(CW,S2)",1,-3.035,1.38339,200,1,"-7:1;-6:1;-5:2;-4:117;-3:14;-2:9;-1:56",-3.94
7977,6,14,5,"Draw(CCW,S2)",1,-3.145,1.36527,200,1,"-6:1;-5:6;-4:127;-3:5;-2:9;-1:52",-4
7977,6,14,6,"Draw(CW,S4)",1,-2.875,1.41752,200,1,"-5:6;-4:107;-3:8;-2:14;-1:65",-3.33
7977,6,14,7,"Draw(CCW,S4)",1,-2.775,1.67761,200,1,"-7:5;-6:1;-5:9;-4:88;-3:7;-2:12;-1:75;1:3",-2.47
7977,6,14,8,"Draw(CW,S6)",1,-3.125,1.3818,200,1,"-6:1;-5:4;-4:130;-3:6;-2:2;-1:57",-4
7977,6,14,9,"Draw(CCW,S6)",1,-3.07,1.21865,200,1,"-5:4;-4:110;-3:13;-2:44;-1:28;1:1",-3.575
7977,6,14,10,"Draw(CW,L0)",1,-3.35,1.17792,200,1,"-5:5;-4:136;-3:18;-2:6;-1:35",-3.905
7977,6,14,11,"Draw(CCW,L0)",1,-3.515,1.3114,200,1,"-6:5;-5:17;-4:124;-3:17;-2:12;-1:21;1:4",-3.395
7977,6,14,12,"Draw(CW,L1)",1,-2.765,1.22873,200,1,"-6:1;-5:2;-4:64;-3:66;-2:20;-1:45;1:2",-3.305
7977,6,14,13,"Draw(CCW,L1)",1,-3.225,1.29011,200,1,"-5:3;-4:139;-3:4;-2:8;-1:46",-4
7977,6,14,14,"Draw(CW,L2)",1,-3.04,1.38867,200,1,"-6:2;-5:1;-4:124;-3:7;-2:8;-1:58",-4
7977,6,14,15,"Draw(CCW,L2)",1,-3.14,1.35292,200,1,"-5:5;-4:130;-3:7;-2:4;-1:54",-4
7977,6,14,16,"Draw(CW,L3)",1,-3.15,1.34071,200,1,"-6:2;-5:3;-4:126;-3:11;-2:8;-1:50",-4
7977,6,14,17,"Draw(CCW,L3)",1,-3.05,1.3775,200,1,"-5:2;-4:129;-3:6;-2:3;-1:60",-4
7977,6,14,18,"Draw(CW,L4)",1,-3.795,0.86196,200,1,"-6:2;-5:7;-4:170;-3:4;-2:3;-1:14",-4
7977,6,14,19,"Draw(CCW,L4)",1,-3.925,0.599479,200,1,"-6:4;-5:2;-4:180;-3:7;-2:3;-1:4",-4
7977,6,14,20,"Draw(CW,L5)",1,-3.07,1.36934,200,1,"-6:2;-5:1;-4:125;-3:8;-2:9;-1:55",-4
7977,6,14,21,"Draw(CCW,L5)",1,-3.1,1.32665,200,1,"-5:1;-4:132;-3:5;-2:10;-1:52",-3.98
7977,6,14,22,"Draw(CW,L6)",1,-3.05,1.36657,200,1,"-6:1;-5:2;-4:124;-3:8;-2:9;-1:56",-4
