game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec
7977,6,14,AllGrid,1,200,10,46,46,"Hit(CW,3,MIDDLE)",15033,906.671
3926,6,11,AllGrid,1,200,10,46,37,"Hit(CCW,0,MIDDLE)",58365,2896.84
3883,1,14,AllGrid,1,200,10,46,0,"Draw(CW,TEE)",15834,520.429
9222,7,5,AllGrid,1,200,10,46,13,"Draw(CCW,L1)",146357,4837.86
7881,2,15,AllGrid,1,200,10,46,52,"Hit(CW,6,TOUCH)",234954,7820.99
6406,1,10,AllGrid,1,200,10,46,0,"Draw(CW,TEE)",72503,2560.09
8452,5,15,AllGrid,1,200,10,46,138,"PostGuard(CW,13,2)",228593,7467.46
1028,6,15,AllGrid,1,200,10,46,36,"Hit(CW,0,MIDDLE)",229190,7569.62
2596,1,14,AllGrid,1,200,10,46,86,"Hit(CW,11,MIDDLE)",14367,911.645
4748,1,3,AllGrid,1,200,10,46,20,"Draw(CW,L5)",177640,6009.32
9206,3,13,AllGrid,1,200,10,46,39,"Hit(CCW,12,STRONG)",30359,1015.02
5859,1,6,AllGrid,1,200,10,46,54,"PostGuard(CW,2,1)",131741,4781.85
6871,4,5,AllGrid,1,200,10,46,45,"Hit(CCW,2,WEAK)",146083,5171.61
7163,3,13,AllGrid,1,200,10,46,69,"Hit(CCW,12,STRONG)",29366,1103.01
5807,0,8,AllGrid,1,200,10,46,72,"PostGuard(CW,4,2)",102551,3880.14
5567,2,15,AllGrid,1,200,10,46,106,"PostGuard(CW,9,1)",233351,7712.08
2507,3,11,AllGrid,1,200,10,46,41,"Hit(CCW,4,MIDDLE)",58691,2476.52
7006,3,15,AllGrid,1,200,10,46,38,"Hit(CW,2,STRONG)",236005,7817.19
1984,6,4,AllGrid,1,200,10,46,44,"Hit(CW,3,WEAK)",161233,5595.2
1845,7,14,AllGrid,1,200,10,46,43,"PostGuard(CCW,10,0)",14952,510.314
5780,2,6,AllGrid,1,200,10,46,34,"Hit(CW,5,WEAK)",133276,4475.96
8645,7,5,AllGrid,1,200,10,46,52,"PostGuard(CW,1,0)",147380,5314.31
6132,0,13,AllGrid,1,200,10,46,44,"Hit(CW,10,WEAK)",29077,1284.8
3339,4,10,AllGrid,1,200,10,46,50,"Freeze(CW,9)",72710,2610.68
3566,6,14,AllGrid,1,200,10,46,43,"Hit(CCW,5,TOUCH)",14765,1038.46
5523,3,9,AllGrid,1,200,10,46,55,"Hit(CCW,4,WEAK)",87843,3687.81
7015,5,14,AllGrid,1,200,10,46,46,"Hit(CW,3,MIDDLE)",15042,946.266
743,7,3,AllGrid,1,200,10,46,37,"Hit(CCW,0,MIDDLE)",176681,6042.86
1014,4,15,AllGrid,1,200,10,46,7,"Draw(CCW,S4)",228994,7516.7
3900,0,10,AllGrid,1,200,10,46,52,"PostGuard(CW,8,2)",72164,2488.37
4543,6,5,AllGrid,1,200,10,46,48,"Hit(CW,2,STRONG)",145955,5190.4
9231,5,14,AllGrid,1,200,10,46,2,"Draw(CW,S0)",14530,734.007
1825,5,7,AllGrid,1,200,10,46,53,"PostGuard(CCW,1,0)",116031,4246.85
4062,4,15,AllGrid,1,200,10,46,49,"Hit(CCW,4,STRONG)",234113,7816.83
9882,2,11,AllGrid,1,200,10,46,7,"Draw(CCW,S4)",58118,2704.36
2998,6,14,AllGrid,1,200,10,46,59,"Hit(CCW,5,STRONG)",14439,988.356
1555,2,3,AllGrid,1,200,10,46,22,"Draw(CW,L6)",175386,5927.02
4372,4,14,AllGrid,1,200,10,46,18,"Draw(CW,L4)",14762,477.715
3732,7,7,AllGrid,1,200,10,46,33,"Hit(CCW,4,TOUCH)",119912,3910.23
3858,5,5,AllGrid,1,200,10,46,35,"Hit(CCW,0,WEAK)",146076,5390.61
1938,0,14,AllGrid,1,200,10,46,48,"Hit(CW,11,STRONG)",14729,744.26
9112,3,9,AllGrid,1,200,10,46,39,"Hit(CCW,2,STRONG)",88085,3256.99
4157,3,12,AllGrid,1,200,10,46,34,"Hit(CW,3,WEAK)",44462,2079.53
7373,1,11,AllGrid,1,200,10,46,57,"Hit(CCW,6,MIDDLE)",58569,2576.57
7173,4,15,AllGrid,1,200,10,46,48,"Hit(CW,2,STRONG)",228786,7545.8
196,4,4,AllGrid,1,200,10,46,35,"Hit(CCW,3,WEAK)",160422,5337.44
2630,2,14,AllGrid,1,200,10,46,0,"Draw(CW,TEE)",14479,524.292
5731,2,10,AllGrid,1,200,10,46,38,"Hit(CW,9,STRONG)",73161,2362.07
9518,4,5,AllGrid,1,200,10,46,39,"Hit(CCW,0,STRONG)",147705,5332.38
8211,7,12,AllGrid,1,200,10,46,10,"Draw(CW,L0)",43408,1599.4
