game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec
7977,6,14,AllGrid,3,200,10,42,46,"Hit(CW,3,MIDDLE)",17586,1443.35
3926,6,11,AllGrid,3,200,10,42,39,"Hit(CCW,0,STRONG)",61219,3662.31
3883,1,14,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",1014,53.5736
9222,7,5,AllGrid,3,200,10,42,12,"Draw(CW,L1)",123783,4251.3
7881,2,15,AllGrid,3,200,10,42,84,"Hit(CW,12,WEAK)",129,9.23178
6406,1,10,AllGrid,3,200,10,42,40,"Freeze(CW,7)",57983,2444.42
8452,5,15,AllGrid,3,200,10,42,34,"Hit(CW,0,WEAK)",153,13.6705
1028,6,15,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",151,13.9366
2596,1,14,AllGrid,3,200,10,42,86,"Hit(CW,11,MIDDLE)",17420,1370.33
4748,1,3,AllGrid,3,200,10,42,35,"Hit(CCW,0,WEAK)",157398,5604.63
9206,3,13,AllGrid,3,200,10,42,34,"Hit(CW,12,WEAK)",11157,629.139
5859,1,6,AllGrid,3,200,10,42,41,"Freeze(CCW,1)",118127,4749.78
6871,4,5,AllGrid,3,200,10,42,32,"Hit(CW,0,TOUCH)",133338,5210.21
7163,3,13,AllGrid,3,200,10,42,63,"Hit(CCW,12,TOUCH)",22700,1418.88
5807,0,8,AllGrid,3,200,10,42,29,"PreGuard(CCW,G4)",95029,4225.69
5567,2,15,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",129,10.4694
2507,3,11,AllGrid,3,200,10,42,60,"Hit(CW,8,MIDDLE)",54754,2948.32
7006,3,15,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",145,13.5302
1984,6,4,AllGrid,3,200,10,42,44,"Hit(CW,3,WEAK)",144167,5456.76
1845,7,14,AllGrid,3,200,10,42,48,"PostGuard(CW,12,0)",2935,174.387
5780,2,6,AllGrid,3,200,10,42,45,"PostGuard(CCW,0,1)",112607,4147.39
8645,7,5,AllGrid,3,200,10,42,41,"Freeze(CCW,0)",133255,5423.12
6132,0,13,AllGrid,3,200,10,42,2,"Draw(CW,S0)",22968,1527.54
3339,4,10,AllGrid,3,200,10,42,43,"Hit(CCW,9,TOUCH)",64059,2792.36
3566,6,14,AllGrid,3,200,10,42,56,"Hit(CW,7,MIDDLE)",13524,1176.08
5523,3,9,AllGrid,3,200,10,42,55,"Hit(CCW,4,WEAK)",84148,4335.98
7015,5,14,AllGrid,3,200,10,42,46,"Hit(CW,3,MIDDLE)",17576,1479.28
743,7,3,AllGrid,3,200,10,42,16,"Draw(CW,L3)",157626,5841.47
1014,4,15,AllGrid,3,200,10,42,10,"Draw(CW,L0)",61,3.34001
3900,0,10,AllGrid,3,200,10,42,34,"Hit(CW,9,WEAK)",58080,2427.18
4543,6,5,AllGrid,3,200,10,42,50,"Freeze(CW,2)",133816,5385.16
9231,5,14,AllGrid,3,200,10,42,7,"Draw(CCW,S4)",7737,528.858
1825,5,7,AllGrid,3,200,10,42,1,"Draw(CCW,TEE)",105915,4497.6
4062,4,15,AllGrid,3,200,10,42,35,"Hit(CCW,2,WEAK)",117,8.68603
9882,2,11,AllGrid,3,200,10,42,65,"Hit(CCW,8,WEAK)",58625,3342.17
2998,6,14,AllGrid,3,200,10,42,57,"Hit(CCW,5,MIDDLE)",17252,1497.91
1555,2,3,AllGrid,3,200,10,42,13,"Draw(CCW,L1)",159769,5845.68
4372,4,14,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",2176,122.779
3732,7,7,AllGrid,3,200,10,42,24,"Draw(CW,L7)",93921,3284.3
3858,5,5,AllGrid,3,200,10,42,33,"Hit(CCW,0,TOUCH)",134474,5515.08
1938,0,14,AllGrid,3,200,10,42,46,"Hit(CW,11,MIDDLE)",7396,524.619
9112,3,9,AllGrid,3,200,10,42,58,"Hit(CW,6,STRONG)",73937,3237.78
4157,3,12,AllGrid,3,200,10,42,37,"Hit(CCW,3,MIDDLE)",41568,2550.48
7373,1,11,AllGrid,3,200,10,42,41,"Freeze(CCW,2)",53347,2948.01
7173,4,15,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",151,14.8023
196,4,4,AllGrid,3,200,10,42,31,"PreGuard(CCW,G5)",143984,5242.1
2630,2,14,AllGrid,3,200,10,42,32,"Hit(CW,11,TOUCH)",3189,180.996
5731,2,10,AllGrid,3,200,10,42,29,"PreGuard(CCW,G4)",51569,1862.96
9518,4,5,AllGrid,3,200,10,42,44,"Hit(CW,2,WEAK)",132881,5298.62
8211,7,12,AllGrid,3,200,10,42,10,"Draw(CW,L0)",34984,1849.31
