game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec
7977,6,14,ClusterValue,3,200,10,46,36,"Hit(CW,1,MIDDLE)",227092,7914.87
3926,6,11,ClusterValue,3,200,10,46,37,"Hit(CCW,0,MIDDLE)",45994,2095.24
3883,1,14,ClusterValue,3,200,10,46,10,"Draw(CW,L0)",223507,7581.07
9222,7,5,ClusterValue,3,200,10,46,25,"Draw(CCW,L7)",125935,4290.83
7881,2,15,ClusterValue,3,200,10,46,116,"PostGuard(CW,13,0)",205447,6993.06
6406,1,10,ClusterValue,3,200,10,46,6,"Draw(CW,S4)",53160,1975.22
8452,5,15,ClusterValue,3,200,10,46,137,"PostGuard(CCW,13,1)",204839,6890.69
1028,6,15,ClusterValue,3,200,10,46,149,"PostGuard(CCW,15,2)",204354,6945.87
2596,1,14,ClusterValue,3,200,10,46,49,"Hit(CCW,3,STRONG)",224701,7746.9
4748,1,3,ClusterValue,3,200,10,46,38,"Hit(CW,0,STRONG)",162578,5686.93
9206,3,13,ClusterValue,3,200,10,46,5,"Draw(CCW,S2)",238922,8097.54
5859,1,6,ClusterValue,3,200,10,46,10,"Draw(CW,L0)",118624,4422.12
6871,4,5,ClusterValue,3,200,10,46,61,"PostGuard(CCW,3,1)",136638,5071.86
7163,3,13,ClusterValue,3,200,10,46,12,"Draw(CW,L1)",240777,8218.44
5807,0,8,ClusterValue,3,200,10,46,69,"PostGuard(CCW,4,0)",91295,3638.13
5567,2,15,ClusterValue,3,200,10,46,116,"PostGuard(CW,13,0)",205499,7003.28
2507,3,11,ClusterValue,3,200,10,46,39,"Hit(CCW,4,WEAK)",42395,1748.92
7006,3,15,ClusterValue,3,200,10,46,130,"PostGuard(CW,9,2)",207705,7100.85
1984,6,4,ClusterValue,3,200,10,46,44,"Hit(CW,3,WEAK)",149438,5402.29
1845,7,14,ClusterValue,3,200,10,46,13,"Draw(CCW,L1)",225840,7657.52
5780,2,6,ClusterValue,3,200,10,46,39,"Hit(CCW,5,STRONG)",116174,4016.49
8645,7,5,ClusterValue,3,200,10,46,35,"Hit(CCW,0,WEAK)",137603,5106.33
6132,0,13,ClusterValue,3,200,10,46,17,"Draw(CCW,L3)",238674,8213.52
3339,4,10,ClusterValue,3,200,10,46,43,"Hit(CCW,9,TOUCH)",54895,2070.31
3566,6,14,ClusterValue,3,200,10,46,78,"Hit(CW,11,STRONG)",226425,7892.19
5523,3,9,ClusterValue,3,200,10,46,55,"Hit(CCW,4,WEAK)",76368,3260.49
7015,5,14,ClusterValue,3,200,10,46,48,"Hit(CW,3,STRONG)",227322,7892.98
743,7,3,ClusterValue,3,200,10,46,24,"Draw(CW,L7)",164562,5843.63
1014,4,15,ClusterValue,3,200,10,46,50,"PostGuard(CW,11,1)",205273,6971.54
3900,0,10,ClusterValue,3,200,10,46,40,"Freeze(CW,9)",52876,1975.83
4543,6,5,ClusterValue,3,200,10,46,34,"Hit(CW,0,WEAK)",135253,4885.81
9231,5,14,ClusterValue,3,200,10,46,44,"Hit(CW,5,WEAK)",224943,7712.36
1825,5,7,ClusterValue,3,200,10,46,2,"Draw(CW,S0)",105299,3985.65
4062,4,15,ClusterValue,3,200,10,46,35,"Hit(CCW,2,WEAK)",206237,7061.77
9882,2,11,ClusterValue,3,200,10,46,43,"Hit(CCW,4,TOUCH)",46666,2298.85
2998,6,14,ClusterValue,3,200,10,46,74,"Hit(CW,9,WEAK)",225522,7841.51
1555,2,3,ClusterValue,3,200,10,46,36,"Hit(CW,0,MIDDLE)",162682,5717.93
4372,4,14,ClusterValue,3,200,10,46,19,"Draw(CCW,L4)",219822,7454.56
3732,7,7,ClusterValue,3,200,10,46,17,"Draw(CCW,L3)",100240,3387.88
3858,5,5,ClusterValue,3,200,10,46,35,"Hit(CCW,0,WEAK)",137121,5195.32
1938,0,14,ClusterValue,3,200,10,46,33,"Hit(CCW,9,TOUCH)",224772,7735.21
9112,3,9,ClusterValue,3,200,10,46,58,"Hit(CW,6,STRONG)",72023,2642.68
4157,3,12,ClusterValue,3,200,10,46,34,"Hit(CW,3,WEAK)",25301,1144.27
7373,1,11,ClusterValue,3,200,10,46,41,"Freeze(CCW,2)",43408,1826.11
7173,4,15,ClusterValue,3,200,10,46,149,"PostGuard(CCW,15,2)",205256,7018.06
196,4,4,ClusterValue,3,200,10,46,29,"PreGuard(CCW,G4)",145470,5173.1
2630,2,14,ClusterValue,3,200,10,46,34,"Hit(CW,11,WEAK)",224690,7697.11
5731,2,10,ClusterValue,3,200,10,46,35,"Hit(CCW,9,WEAK)",50480,1723.74
9518,4,5,ClusterValue,3,200,10,46,48,"Hit(CW,2,STRONG)",138266,5276.85
8211,7,12,ClusterValue,3,200,10,46,68,"Hit(CW,11,STRONG)",24046,1026.88
