game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec
7977,6,14,AllGrid,1,200,10,46,46,"Hit(CW,3,MIDDLE)",15033,895.898
3926,6,11,AllGrid,1,200,10,46,39,"Hit(CCW,0,STRONG)",58382,2728.23
3883,1,14,AllGrid,1,200,10,46,0,"Draw(CW,TEE)",15833,514.049
9222,7,5,AllGrid,1,200,10,46,20,"Draw(CW,L5)",146321,4731.76
7881,2,15,AllGrid,1,200,10,46,84,"Hit(CW,12,WEAK)",129,9.75754
6406,1,10,AllGrid,1,200,10,46,0,"Draw(CW,TEE)",72509,2482
8452,5,15,AllGrid,1,200,10,46,34,"Hit(CW,0,WEAK)",153,15.0301
1028,6,15,AllGrid,1,200,10,46,0,"Draw(CW,TEE)",151,15.6884
2596,1,14,AllGrid,1,200,10,46,88,"Hit(CW,11,STRONG)",14367,892.251
4748,1,3,AllGrid,1,200,10,46,12,"Draw(CW,L1)",177687,5880.46
9206,3,13,AllGrid,1,200,10,46,36,"Hit(CW,12,MIDDLE)",30363,998.97
5859,1,6,AllGrid,1,200,10,46,6,"Draw(CW,S4)",131662,4672.5
6871,4,5,AllGrid,1,200,10,46,28,"PreGuard(CW,G4)",145941,5026.68
7163,3,13,AllGrid,1,200,10,46,69,"Hit(CCW,12,STRONG)",29366,1084.75
5807,0,8,AllGrid,1,200,10,46,31,"PreGuard(CCW,G5)",102529,3723.79
5567,2,15,AllGrid,1,200,10,46,0,"Draw(CW,TEE)",129,11.5699
2507,3,11,AllGrid,1,200,10,46,63,"Hit(CCW,8,STRONG)",58685,2309.07
7006,3,15,AllGrid,1,200,10,46,0,"Draw(CW,TEE)",145,15.8423
1984,6,4,AllGrid,1,200,10,46,9,"Draw(CCW,S6)",161175,5439.47
1845,7,14,AllGrid,1,200,10,46,43,"PostGuard(CCW,10,0)",14952,496.769
5780,2,6,AllGrid,1,200,10,46,37,"Hit(CCW,5,MIDDLE)",133329,4373.83
8645,7,5,AllGrid,1,200,10,46,45,"Hit(CCW,2,WEAK)",147404,5167.98
6132,0,13,AllGrid,1,200,10,46,44,"Hit(CW,10,WEAK)",29063,1230.27
3339,4,10,AllGrid,1,200,10,46,50,"Freeze(CW,9)",72711,2528.81
3566,6,14,AllGrid,1,200,10,46,58,"Hit(CW,7,STRONG)",14765,926.867
5523,3,9,AllGrid,1,200,10,46,55,"Hit(CCW,4,WEAK)",87849,3540.18
7015,5,14,AllGrid,1,200,10,46,46,"Hit(CW,3,MIDDLE)",15042,888.745
743,7,3,AllGrid,1,200,10,46,32,"Hit(CW,0,TOUCH)",176598,5897.7
1014,4,15,AllGrid,1,200,10,46,10,"Draw(CW,L0)",61,3.3548
3900,0,10,AllGrid,1,200,10,46,52,"PostGuard(CW,8,2)",72188,2445.12
4543,6,5,AllGrid,1,200,10,46,34,"Hit(CW,0,WEAK)",145849,5055.97
9231,5,14,AllGrid,1,200,10,46,2,"Draw(CW,S0)",14530,677.975
1825,5,7,AllGrid,1,200,10,46,38,"Hit(CW,2,STRONG)",115974,4143.73
4062,4,15,AllGrid,1,200,10,46,35,"Hit(CCW,2,WEAK)",117,9.4348
9882,2,11,AllGrid,1,200,10,46,53,"Hit(CCW,6,TOUCH)",58121,2607.57
2998,6,14,AllGrid,1,200,10,46,57,"Hit(CCW,5,MIDDLE)",14439,915.367
1555,2,3,AllGrid,1,200,10,46,43,"PostGuard(CCW,1,0)",175387,5823.61
4372,4,14,AllGrid,1,200,10,46,18,"Draw(CW,L4)",14767,473.43
3732,7,7,AllGrid,1,200,10,46,38,"Hit(CW,4,STRONG)",119922,3868.48
3858,5,5,AllGrid,1,200,10,46,41,"Freeze(CCW,0)",146011,5247.62
1938,0,14,AllGrid,1,200,10,46,46,"Hit(CW,11,MIDDLE)",14729,695.746
9112,3,9,AllGrid,1,200,10,46,35,"Hit(CCW,2,WEAK)",88112,3154.88
4157,3,12,AllGrid,1,200,10,46,34,"Hit(CW,3,WEAK)",44463,1928.83
7373,1,11,AllGrid,1,200,10,46,33,"Hit(CCW,2,TOUCH)",58576,2479.8
7173,4,15,AllGrid,1,200,10,46,0,"Draw(CW,TEE)",151,18.1173
196,4,4,AllGrid,1,200,10,46,6,"Draw(CW,S4)",160384,5259.19
2630,2,14,AllGrid,1,200,10,46,0,"Draw(CW,TEE)",14479,503.03
5731,2,10,AllGrid,1,200,10,46,13,"Draw(CCW,L1)",73160,2356.4
9518,4,5,AllGrid,1,200,10,46,39,"Hit(CCW,0,STRONG)",147644,5165.51
8211,7,12,AllGrid,1,200,10,46,10,"Draw(CW,L0)",43391,1575.26
