game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec
7977,6,14,Proposed,3,200,10,45,46,"Hit(CW,3,MIDDLE)",3938,289.592
3926,6,11,Proposed,3,200,10,45,37,"Hit(CCW,0,MIDDLE)",47540,2340.81
3883,1,14,Proposed,3,200,10,45,18,"Draw(CW,L4)",367,19.1588
9222,7,5,Proposed,3,200,10,45,9,"Draw(CCW,S6)",120247,3944.85
7881,2,15,Proposed,3,200,10,45,0,"Draw(CW,TEE)",129,9.16919
6406,1,10,Proposed,3,200,10,45,0,"Draw(CW,TEE)",53023,2034.22
8452,5,15,Proposed,3,200,10,45,0,"Draw(CW,TEE)",153,13.8413
1028,6,15,Proposed,3,200,10,45,0,"Draw(CW,TEE)",151,13.9693
2596,1,14,Proposed,3,200,10,45,45,"Hit(CCW,3,WEAK)",4096,315.605
4748,1,3,Proposed,3,200,10,45,20,"Draw(CW,L5)",151474,5153.76
9206,3,13,Proposed,3,200,10,45,11,"Draw(CCW,L0)",7406,413.159
5859,1,6,Proposed,3,200,10,45,41,"Freeze(CCW,1)",112081,4042.57
6871,4,5,Proposed,3,200,10,45,52,"PostGuard(CW,1,0)",130054,4823.88
7163,3,13,Proposed,3,200,10,45,67,"Hit(CCW,12,MIDDLE)",6670,408.814
5807,0,8,Proposed,3,200,10,45,45,"Hit(CCW,5,WEAK)",89583,3536.43
5567,2,15,Proposed,3,200,10,45,0,"Draw(CW,TEE)",129,10.6824
2507,3,11,Proposed,3,200,10,45,41,"Hit(CCW,4,MIDDLE)",41500,1838.23
7006,3,15,Proposed,3,200,10,45,0,"Draw(CW,TEE)",145,13.8148
1984,6,4,Proposed,3,200,10,45,47,"Hit(CCW,3,MIDDLE)",140124,4905.86
1845,7,14,Proposed,3,200,10,45,48,"PostGuard(CW,12,0)",800,47.3332
5780,2,6,Proposed,3,200,10,45,37,"Hit(CCW,5,MIDDLE)",109502,3750.28
8645,7,5,Proposed,3,200,10,45,41,"Freeze(CCW,0)",129127,4818.61
6132,0,13,Proposed,3,200,10,45,54,"Hit(CW,12,WEAK)",19194,1180.33
3339,4,10,Proposed,3,200,10,45,2,"Draw(CW,S0)",57563,2273.02
3566,6,14,Proposed,3,200,10,45,55,"Hit(CCW,7,WEAK)",3121,239.306
5523,3,9,Proposed,3,200,10,45,55,"Hit(CCW,4,WEAK)",71159,3021.93
7015,5,14,Proposed,3,200,10,45,11,"Draw(CCW,L0)",4010,303.014
743,7,3,Proposed,3,200,10,45,9,"Draw(CCW,S6)",152671,5340.96
1014,4,15,Proposed,3,200,10,45,0,"Draw(CW,TEE)",61,3.34365
3900,0,10,Proposed,3,200,10,45,0,"Draw(CW,TEE)",53322,2011.36
4543,6,5,Proposed,3,200,10,45,34,"Hit(CW,0,WEAK)",128424,4657.06
9231,5,14,Proposed,3,200,10,45,10,"Draw(CW,L0)",1926,124.293
1825,5,7,Proposed,3,200,10,45,37,"Hit(CCW,2,MIDDLE)",100141,3833.84
4062,4,15,Proposed,3,200,10,45,0,"Draw(CW,TEE)",117,8.57593
9882,2,11,Proposed,3,200,10,45,78,"PostGuard(CW,3,0)",52456,2676.58
2998,6,14,Proposed,3,200,10,45,57,"Hit(CCW,5,MIDDLE)",3970,310.676
1555,2,3,Proposed,3,200,10,45,36,"Hit(CW,0,MIDDLE)",152909,5207.37
4372,4,14,Proposed,3,200,10,45,19,"Draw(CCW,L4)",603,34.0341
3732,7,7,Proposed,3,200,10,45,37,"Hit(CCW,4,MIDDLE)",93605,3119.28
3858,5,5,Proposed,3,200,10,45,41,"Freeze(CCW,0)",131315,4993.36
1938,0,14,Proposed,3,200,10,45,54,"Hit(CW,13,WEAK)",2076,146.999
9112,3,9,Proposed,3,200,10,45,37,"Hit(CCW,2,MIDDLE)",68292,2630.5
4157,3,12,Proposed,3,200,10,45,36,"Hit(CW,3,MIDDLE)",28983,1476.34
7373,1,11,Proposed,3,200,10,45,36,"Hit(CW,2,MIDDLE)",48627,2350.58
7173,4,15,Proposed,3,200,10,45,0,"Draw(CW,TEE)",151,16.0588
196,4,4,Proposed,3,200,10,45,32,"Hit(CW,3,TOUCH)",137812,4691.47
2630,2,14,Proposed,3,200,10,45,33,"Hit(CCW,11,TOUCH)",867,49.6212
5731,2,10,Proposed,3,200,10,45,13,"Draw(CCW,L1)",49158,1684.22
9518,4,5,Proposed,3,200,10,45,44,"Hit(CW,2,WEAK)",128632,4720.04
8211,7,12,Proposed,3,200,10,45,70,"Freeze(CW,11)",27606,1300.89
