group,level,target,n,mean,se,median,kruskal_p
phase_r,early_r9+,d_A9_A1,15,0.02026666666666665,0.04930135385629376,0.0109999999999999,0.9620353343964061
phase_r,late_r2-4,d_A9_A1,16,-0.03525,0.08040291765021135,-0.02300000000000015,0.9620353343964061
phase_r,mid_r5-8,d_A9_A1,11,-0.0012727272727272587,0.07534575947639242,-0.059,0.9620353343964061
phase_r,r1,d_A9_A1,8,0.0,0.0,0.0,0.9620353343964061
phase_r,early_r9+,d_A2_A1,15,0.008533333333333344,0.044656452279135755,0.0479999999999999,0.1801862501005346
phase_r,late_r2-4,d_A2_A1,16,-0.2681874999999999,0.1696658288801353,-0.0274999999999999,0.1801862501005346
phase_r,mid_r5-8,d_A2_A1,11,-0.033727272727272675,0.09075472348429445,-0.0739999999999998,0.1801862501005346
phase_r,r1,d_A2_A1,8,0.5218750000000001,0.30657662975301014,0.0,0.1801862501005346
phase_r,early_r9+,d_A9_A2,15,0.01173333333333331,0.041087996934183725,-0.0490000000000001,0.25996962130129003
phase_r,late_r2-4,d_A9_A2,16,0.23293750000000002,0.14332641849841687,0.0765000000000001,0.25996962130129003
phase_r,mid_r5-8,d_A9_A2,11,0.03245454545454543,0.07071959528323668,0.101,0.25996962130129003
phase_r,r1,d_A9_A2,8,-0.5218750000000001,0.30657662975301014,0.0,0.25996962130129003
phase_r,early_r9+,dadj_A9_A1,15,0.0027229333333333616,0.048425455815979644,-0.040779,0.9705371373636976
phase_r,late_r2-4,dadj_A9_A1,16,-0.03168621875000005,0.09284745383708169,-0.02626250000000005,0.9705371373636976
phase_r,mid_r5-8,dadj_A9_A1,11,-0.01384499999999998,0.08971527363214646,-0.099801,0.9705371373636976
phase_r,r1,dadj_A9_A1,8,0.0,0.0,0.0,0.9705371373636976
phase_r,early_r9+,screen_loss,15,0.21586666666666668,0.024822966835970333,0.196,0.7434898159884273
phase_r,late_r2-4,screen_loss,16,0.21862499999999996,0.050372022244495995,0.16199999999999998,0.7434898159884273
phase_r,mid_r5-8,screen_loss,11,0.27772727272727277,0.05252204574515541,0.217,0.7434898159884273
phase_r,r1,screen_loss,8,0.409375,0.18389010086578494,0.21250000000000002,0.7434898159884273
phase_r,early_r9+,rho_gain,15,0.09107107056384249,0.04043806602023732,0.0515825300190101,0.7654151011556919
phase_r,late_r2-4,rho_gain,16,0.11748385684342633,0.04502762141215156,0.1493141798333451,0.7654151011556919
phase_r,mid_r5-8,rho_gain,11,0.14257355519482398,0.03299252950659745,0.1415457278551702,0.7654151011556919
phase_r,r1,rho_gain,7,-0.09896365647777373,0.24142768250037716,0.0257122782695654,0.7654151011556919
phase_shot,early,d_A9_A1,11,0.026363636363636346,0.03998187605932393,0.0109999999999999,0.9033337527864171
phase_shot,late,d_A9_A1,24,-0.023499999999999997,0.05312921765013995,0.0,0.9033337527864171
phase_shot,mid,d_A9_A1,15,1.1102230246251566e-17,0.06752748999305322,-0.054,0.9033337527864171
phase_shot,early,d_A2_A1,11,0.034272727272727295,0.04824936945590647,0.088,0.3694717387453431
phase_shot,late,d_A2_A1,24,-0.00483333333333331,0.16757658498653324,0.0,0.3694717387453431
phase_shot,mid,d_A2_A1,15,-0.041333333333333305,0.07050043341080331,-0.0739999999999998,0.3694717387453431
phase_shot,early,d_A9_A2,11,-0.007909090909090944,0.04585182747333661,-0.0490000000000001,0.7407090318093675
phase_shot,late,d_A9_A2,24,-0.018666666666666703,0.15482699164872762,0.0,0.7407090318093675
phase_shot,mid,d_A9_A2,15,0.04133333333333333,0.05609258219923358,0.101,0.7407090318093675
phase_shot,early,dadj_A9_A1,11,0.010591636363636393,0.039711800174455296,-0.040779,0.9828455360453953
phase_shot,late,dadj_A9_A1,24,-0.021124145833333354,0.06130097226297694,0.0,0.9828455360453953
phase_shot,mid,dadj_A9_A1,15,-0.015197266666666643,0.0756519264560342,-0.0825859999999999,0.9828455360453953
phase_shot,early,screen_loss,11,0.21645454545454543,0.02897784847912866,0.196,0.6732003481216458
phase_shot,late,screen_loss,24,0.28220833333333334,0.0698949776130689,0.16199999999999998,0.6732003481216458
phase_shot,mid,screen_loss,15,0.26080000000000003,0.040957376218047306,0.217,0.6732003481216458
phase_shot,early,rho_gain,11,0.09288707881282782,0.044445301760328494,0.0300593031032364,0.7785838270978441
phase_shot,late,rho_gain,23,0.051608526702191515,0.0790607075851603,0.118411056629079,0.7785838270978441
phase_shot,mid,rho_gain,15,0.12750781991063967,0.03485138402698804,0.1317771488009761,0.7785838270978441
has_hammer,0,d_A9_A1,22,-0.0011818181818181903,0.06217666620007865,-0.02150000000000005,0.9687570620077687
has_hammer,1,d_A9_A1,28,-0.008857142857142864,0.034963689187533085,0.0,0.9687570620077687
has_hammer,0,d_A2_A1,22,-0.18849999999999997,0.12813670915770484,0.0,0.5311489617909514
has_hammer,1,d_A2_A1,28,0.13528571428571431,0.10261405909872463,-0.0199999999999999,0.5311489617909514
has_hammer,0,d_A9_A2,22,0.18731818181818183,0.10564476099354717,0.0444999999999999,0.12975563863965353
has_hammer,1,d_A9_A2,28,-0.14414285714285716,0.10058621449149681,0.0,0.12975563863965353
has_hammer,0,dadj_A9_A1,22,-0.021569750000000016,0.0720578629870052,-0.05265049999999995,0.5834576502099207
has_hammer,1,dadj_A9_A1,28,-0.005139142857142854,0.037360539910003564,0.0,0.5834576502099207
has_hammer,0,screen_loss,22,0.22277272727272723,0.035984901344230935,0.20550000000000002,0.8680274486598188
has_hammer,1,screen_loss,28,0.29160714285714284,0.05770441784976428,0.19849999999999995,0.8680274486598188
has_hammer,0,rho_gain,22,0.11108771461067617,0.0364278348562282,0.12509410271502755,0.8564407259983644
has_hammer,1,rho_gain,27,0.06212746512282335,0.06587598092951029,0.0821155260465095,0.8564407259983644
n_stones_bin,0-1,d_A9_A1,2,0.013000000000000051,0.04399999999999994,0.013000000000000051,0.8750628067991735
n_stones_bin,13-16,d_A9_A1,8,-0.061625000000000034,0.039325535824158084,0.0,0.8750628067991735
n_stones_bin,2-4,d_A9_A1,16,0.010937499999999989,0.05360406302619855,-0.027,0.8750628067991735
n_stones_bin,5-8,d_A9_A1,14,-0.0025714285714285956,0.088488573440379,0.0275,0.8750628067991735
n_stones_bin,9-12,d_A9_A1,10,0.005400000000000055,0.07259173506674156,0.0,0.8750628067991735
n_stones_bin,0-1,d_A2_A1,2,0.1145,0.049499999999999995,0.1145,0.45214850422871755
n_stones_bin,13-16,d_A2_A1,8,-0.37625000000000003,0.2687882032647373,0.0,0.45214850422871755
n_stones_bin,2-4,d_A2_A1,16,0.14,0.14989093256987449,0.024499999999999897,0.45214850422871755
n_stones_bin,5-8,d_A2_A1,14,-0.07678571428571423,0.11475598471651688,-0.0754999999999999,0.45214850422871755
n_stones_bin,9-12,d_A2_A1,10,0.1257000000000001,0.19112683688529397,-0.04699999999999995,0.45214850422871755
n_stones_bin,0-1,d_A9_A2,2,-0.1014999999999999,0.0935,-0.1014999999999999,0.538628870160728
n_stones_bin,13-16,d_A9_A2,8,0.314625,0.2710849193189154,0.0,0.538628870160728
n_stones_bin,2-4,d_A9_A2,16,-0.12906250000000002,0.14998845702114325,-0.06999999999999995,0.538628870160728
n_stones_bin,5-8,d_A9_A2,14,0.07421428571428568,0.05116254839164861,0.09249999999999986,0.538628870160728
n_stones_bin,9-12,d_A9_A2,10,-0.1203,0.1779419412180401,0.0505,0.538628870160728
n_stones_bin,0-1,dadj_A9_A1,2,-6.0750000000001775e-05,0.04071825,-6.0750000000001775e-05,0.8348986567525547
n_stones_bin,13-16,dadj_A9_A1,8,-0.06405987500000002,0.04198256197206739,0.0,0.8348986567525547
n_stones_bin,2-4,dadj_A9_A1,16,-0.021862312499999995,0.05388395261003956,-0.0440299999999999,0.8348986567525547
n_stones_bin,5-8,dadj_A9_A1,14,0.0026728571428571214,0.10483686454457179,0.03683449999999995,0.8348986567525547
n_stones_bin,9-12,dadj_A9_A1,10,0.020654700000000015,0.08306961806809329,0.0,0.8348986567525547
n_stones_bin,0-1,screen_loss,2,0.12749999999999995,0.044500000000000046,0.12749999999999995,0.17357488966889337
n_stones_bin,13-16,screen_loss,8,0.21425,0.10414151601135282,0.0225,0.17357488966889337
n_stones_bin,2-4,screen_loss,16,0.1856875,0.030305213900966504,0.1875,0.17357488966889337
n_stones_bin,5-8,screen_loss,14,0.25542857142857145,0.030290664119659815,0.2705,0.17357488966889337
n_stones_bin,9-12,screen_loss,10,0.45499999999999996,0.13558801979198273,0.32250000000000006,0.17357488966889337
n_stones_bin,0-1,rho_gain,2,0.3588458964800997,0.027631686029125663,0.3588458964800997,0.02653725784402697
n_stones_bin,13-16,rho_gain,7,0.005408339192492113,0.050430401078528524,0.0257122782695654,0.02653725784402697
n_stones_bin,2-4,rho_gain,16,0.17205838689444442,0.039054915371182615,0.22835470737537295,0.02653725784402697
n_stones_bin,5-8,rho_gain,14,0.08582079167115805,0.035025450244888234,0.07648577021794414,0.02653725784402697
n_stones_bin,9-12,rho_gain,10,-0.05886041612638613,0.16560829339558455,0.10072951901761179,0.02653725784402697
no1_mine,-1,d_A9_A1,2,0.013000000000000051,0.04399999999999994,0.013000000000000051,0.6927691004770853
