arm_a,arm_b,mean_diff,ci_lo,ci_hi,p,p_holm,a_win,b_win,tie,cohens_d,need_n
A1,A2,0.007179999999999988,-0.15506299999999998,0.16221999999999998,0.7444064121162655,1.0,19,24,7,0.012248488574055364,52317.98065314381
A1,A5,0.00866,-0.12824,0.13384299999999996,0.7165462453961362,1.0,22,27,1,0.018237798968611125,23598.327828707366
A1,A7,0.011599999999999992,-0.0383035,0.06332099999999997,0.9352241983429972,1.0,22,20,8,0.06226265246686214,2025.6615630834938
A1,A8,0.0024799999999999935,-0.0645805,0.06454199999999995,0.7832101780251519,1.0,25,22,3,0.010546884245328405,70561.12077629747
A1,A9,0.005479999999999988,-0.05774050000000001,0.06949999999999998,0.9750628606367766,1.0,21,21,8,0.023297877876075915,14461.221508280612
A2,A5,0.001480000000000018,-0.10204049999999999,0.10428249999999999,0.9563694064926231,1.0,25,24,1,0.0039366861044374864,506462.1071568968
A2,A7,0.004420000000000019,-0.13368049999999998,0.15758149999999999,0.64241249162974,1.0,25,21,4,0.008245481433348202,115446.13564981322
A2,A8,-0.0046999999999999984,-0.14714099999999994,0.14194149999999997,0.8696277219747132,1.0,22,27,1,-0.008858943889015678,100011.07954303565
A2,A9,-0.001699999999999997,-0.14298,0.14908299999999994,0.45422273152513315,1.0,23,23,4,-0.003162529303531693,784764.0708822577
A5,A7,0.0029399999999999817,-0.11052100000000004,0.12784249999999997,0.8384163753221912,1.0,25,24,1,0.006772899617987843,171104.3043604644
A5,A8,-0.00618000000000001,-0.10840499999999996,0.10658049999999998,0.9168149485280885,1.0,26,23,1,-0.015926779966382414,30943.237425449537
A5,A9,-0.0031800000000000127,-0.11418400000000002,0.12114249999999997,0.4893511136142076,1.0,26,23,1,-0.007360984178644591,144856.8056936061
A7,A8,-0.009120000000000003,-0.07578099999999999,0.051100999999999994,0.5499064355561704,1.0,21,26,3,-0.039245821283581096,5096.899224672981
A7,A9,-0.006119999999999997,-0.06060250000000002,0.04528050000000001,0.6890672879950168,1.0,20,22,8,-0.031972007515967515,7679.349244283272
A8,A9,0.002999999999999997,-0.06422199999999999,0.07508249999999998,0.9043405546576025,1.0,21,25,4,0.011775748658908623,56602.849144950604
