arm_a,arm_b,mean_diff,ci_lo,ci_hi,p,p_holm,a_win,b_win,tie,cohens_d,need_n
A1,A1d1,0.04457969600000002,-0.009293714799999986,0.10276312569999996,0.16756656683957516,1.0,17,24,9,0.2214652766768127,161.02815124833984
A1,A2,0.013593112999999985,-0.132486528,0.15151307864999994,0.6550387945775941,1.0,21,22,7,0.02571738080859275,11868.362354514966
A1,A5,0.047753551999999984,-0.08415981590000002,0.17399502419999993,0.2631100017818627,1.0,21,28,1,0.10172234105135018,759.5338767963925
A1,A7,0.013761244000000027,-0.04087822564999994,0.07147058740000004,0.8856646154509445,1.0,22,20,8,0.06606181931703203,1799.4841508359252
A1,A8,0.034755932,-0.030982681149999983,0.10216415794999999,0.6189341788443005,1.0,25,22,3,0.14198994590715852,390.3072459956089
A1,A9,0.012368610000000025,-0.05959575644999999,0.08490996460000001,0.7215751623148929,1.0,19,23,8,0.04656322293969738,3621.1086786391793
A1d1,A2,-0.03098658300000003,-0.17347348820000003,0.10408509192499993,0.4810052890020289,1.0,24,22,4,-0.06037290768518898,2154.393951288925
A1d1,A5,0.003173855999999975,-0.11761402275000003,0.11778540214999988,0.7920856095651607,1.0,23,26,1,0.007432037278270136,142100.29258024358
A1d1,A7,-0.030818452,-0.09465764205,0.03183788225000001,0.09757297397201053,1.0,26,16,8,-0.13666301236611547,421.2480393321413
A1d1,A8,-0.009823764000000014,-0.08133991420000002,0.06221052284999996,0.641491116314072,1.0,26,21,3,-0.0375452281093611,5568.986582486122
A1d1,A9,-0.032211086,-0.10271803825,0.0384766682,0.2678878681654556,1.0,23,18,9,-0.125526494229047,499.12332115108677
A2,A5,0.03416043900000001,-0.06692068425000003,0.13962551244999996,0.5146929328233778,1.0,23,26,1,0.09148543161050883,938.7861013930581
A2,A7,0.00016813100000003968,-0.12089830160000001,0.135814790125,0.5811324119238933,1.0,24,22,4,0.000354919862604522,62308467.83880618
A2,A8,0.021162819000000006,-0.11055097467499998,0.16227436802499995,0.7844300000516808,1.0,22,27,1,0.04187300789935942,4477.50791257146
A2,A9,-0.0012245029999999812,-0.11892272449999997,0.12984274367499998,0.5736686426123372,1.0,22,24,4,-0.0026767791708283213,1095425.8434529772
A5,A7,-0.03399230799999997,-0.14687109169999996,0.08414697139999998,0.24248135167977392,1.0,30,19,1,-0.0814951522069553,1182.800376940048
A5,A8,-0.012997619999999986,-0.11498046904999998,0.09883634625000001,0.7091309176902658,1.0,26,23,1,-0.033901915832671346,6830.032694313425
A5,A9,-0.03538494199999997,-0.14583678339999998,0.08200392049999994,0.2384959815887694,1.0,27,22,1,-0.08526665189546279,1080.5661388211765
A7,A8,0.020994687999999977,-0.040857478000000017,0.08115655739999995,0.29480739917430177,1.0,20,27,3,0.09325819163206446,903.4719139110803
A7,A9,-0.0013926340000000115,-0.056343905950000016,0.050736538149999934,0.6936804113311528,1.0,20,22,8,-0.007158996756233219,153146.1837674282
A8,A9,-0.022387321999999994,-0.09508020965,0.05121612649999998,0.6502585697614784,1.0,25,21,4,-0.0845018131886033,1100.197213678914
