game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec
7977,6,14,AllGrid,3,50,10,46,34,"Hit(CW,1,WEAK)",6292,521.958
3926,6,11,AllGrid,3,50,10,46,39,"Hit(CCW,0,STRONG)",18067,1175.21
3883,1,14,AllGrid,3,50,10,46,0,"Draw(CW,TEE)",1014,53.2529
9222,7,5,AllGrid,3,50,10,46,24,"Draw(CW,L7)",31138,1101.59
7881,2,15,AllGrid,3,50,10,46,37,"Hit(CCW,2,MIDDLE)",129,9.16543
6406,1,10,AllGrid,3,50,10,46,2,"Draw(CW,S0)",16411,727.795
8452,5,15,AllGrid,3,50,10,46,34,"Hit(CW,0,WEAK)",153,12.8461
1028,6,15,AllGrid,3,50,10,46,0,"Draw(CW,TEE)",151,13.7705
2596,1,14,AllGrid,3,50,10,46,35,"Hit(CCW,1,WEAK)",6163,510.734
4748,1,3,AllGrid,3,50,10,46,37,"Hit(CCW,0,MIDDLE)",40709,1483.31
9206,3,13,AllGrid,3,50,10,46,1,"Draw(CCW,TEE)",4888,279.02
5859,1,6,AllGrid,3,50,10,46,18,"Draw(CW,L4)",31085,1316.91
6871,4,5,AllGrid,3,50,10,46,1,"Draw(CCW,TEE)",34602,1419.4
7163,3,13,AllGrid,3,50,10,46,1,"Draw(CCW,TEE)",7851,488.323
5807,0,8,AllGrid,3,50,10,46,34,"Hit(CW,3,WEAK)",25317,1167.03
5567,2,15,AllGrid,3,50,10,46,0,"Draw(CW,TEE)",129,10.407
2507,3,11,AllGrid,3,50,10,46,39,"Hit(CCW,4,WEAK)",16579,943.191
7006,3,15,AllGrid,3,50,10,46,0,"Draw(CW,TEE)",145,13.1204
1984,6,4,AllGrid,3,50,10,46,11,"Draw(CCW,L0)",37985,1483.79
1845,7,14,AllGrid,3,50,10,46,44,"PostGuard(CW,10,1)",2665,158.456
5780,2,6,AllGrid,3,50,10,46,32,"Hit(CW,5,TOUCH)",30368,1159.08
8645,7,5,AllGrid,3,50,10,46,10,"Draw(CW,L0)",35009,1473.78
6132,0,13,AllGrid,3,50,10,46,2,"Draw(CW,S0)",7585,503.64
3339,4,10,AllGrid,3,50,10,46,43,"Hit(CCW,9,TOUCH)",17787,811.518
3566,6,14,AllGrid,3,50,10,46,0,"Draw(CW,TEE)",5169,451.048
5523,3,9,AllGrid,3,50,10,46,11,"Draw(CCW,L0)",22373,1200.61
7015,5,14,AllGrid,3,50,10,46,11,"Draw(CCW,L0)",6123,502.378
743,7,3,AllGrid,3,50,10,46,37,"Hit(CCW,0,MIDDLE)",41276,1581.95
1014,4,15,AllGrid,3,50,10,46,10,"Draw(CW,L0)",61,3.34506
3900,0,10,AllGrid,3,50,10,46,13,"Draw(CCW,L1)",16192,734.505
4543,6,5,AllGrid,3,50,10,46,37,"Hit(CCW,0,MIDDLE)",34590,1426.83
9231,5,14,AllGrid,3,50,10,46,42,"Hit(CW,5,TOUCH)",4018,271.209
1825,5,7,AllGrid,3,50,10,46,41,"Freeze(CCW,2)",27971,1222.9
4062,4,15,AllGrid,3,50,10,46,35,"Hit(CCW,2,WEAK)",117,8.35141
9882,2,11,AllGrid,3,50,10,46,0,"Draw(CW,TEE)",16322,974.016
2998,6,14,AllGrid,3,50,10,46,41,"Freeze(CCW,1)",6155,540.343
1555,2,3,AllGrid,3,50,10,46,1,"Draw(CCW,TEE)",40893,1554.72
4372,4,14,AllGrid,3,50,10,46,0,"Draw(CW,TEE)",2176,122.652
3732,7,7,AllGrid,3,50,10,46,16,"Draw(CW,L3)",25602,934.971
3858,5,5,AllGrid,3,50,10,46,10,"Draw(CW,L0)",35550,1536.52
1938,0,14,AllGrid,3,50,10,46,46,"Hit(CW,11,MIDDLE)",4425,322.047
9112,3,9,AllGrid,3,50,10,46,6,"Draw(CW,S4)",20472,949.214
4157,3,12,AllGrid,3,50,10,46,45,"Hit(CCW,5,WEAK)",12384,789.583
7373,1,11,AllGrid,3,50,10,46,15,"Draw(CCW,L2)",15778,913.421
7173,4,15,AllGrid,3,50,10,46,0,"Draw(CW,TEE)",151,15.6746
196,4,4,AllGrid,3,50,10,46,16,"Draw(CW,L3)",37675,1422.91
2630,2,14,AllGrid,3,50,10,46,0,"Draw(CW,TEE)",2781,156.953
5731,2,10,AllGrid,3,50,10,46,35,"Hit(CCW,9,WEAK)",13904,540.86
9518,4,5,AllGrid,3,50,10,46,38,"Hit(CW,0,STRONG)",35394,1426.08
8211,7,12,AllGrid,3,50,10,46,10,"Draw(CW,L0)",10401,570.113
