game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,arm,q_ref_mean,q_best,regret
7977,6,14,AllGrid,3,50,10,42,34,"Hit(CW,1,WEAK)",6292,527.833,A1,-2.045,-1.635,0.4099999999999999
3926,6,11,AllGrid,3,50,10,42,39,"Hit(CCW,0,STRONG)",18346,1191.84,A1,-1.615,0.425,2.04
3883,1,14,AllGrid,3,50,10,42,0,"Draw(CW,TEE)",1014,53.1063,A1,-0.29,-0.075,0.21499999999999997
9222,7,5,AllGrid,3,50,10,42,13,"Draw(CCW,L1)",31386,1109.53,A1,1.24,1.315,0.07499999999999996
7881,2,15,AllGrid,3,50,10,42,37,"Hit(CCW,2,MIDDLE)",129,9.27128,A1,-1.01,1.72,2.73
6406,1,10,AllGrid,3,50,10,42,40,"Freeze(CW,7)",16517,722.277,A1,-0.845,-0.385,0.45999999999999996
8452,5,15,AllGrid,3,50,10,42,34,"Hit(CW,0,WEAK)",153,13.4268,A1,1.32,1.935,0.615
1028,6,15,AllGrid,3,50,10,42,0,"Draw(CW,TEE)",151,13.3573,A1,0.77,1.0,0.22999999999999998
2596,1,14,AllGrid,3,50,10,42,35,"Hit(CCW,1,WEAK)",6163,499.937,A1,1.58,1.97,0.3899999999999999
4748,1,3,AllGrid,3,50,10,42,25,"Draw(CCW,L7)",40253,1478.66,A1,0.66,0.985,0.32499999999999996
9206,3,13,AllGrid,3,50,10,42,1,"Draw(CCW,TEE)",4888,279.008,A1,0.59,1.73,1.1400000000000001
5859,1,6,AllGrid,3,50,10,42,10,"Draw(CW,L0)",31202,1296.05,A1,-0.31,-0.015,0.295
6871,4,5,AllGrid,3,50,10,42,25,"Draw(CCW,L7)",34887,1413.82,A1,0.53,1.32,0.79
7163,3,13,AllGrid,3,50,10,42,1,"Draw(CCW,TEE)",7851,490.723,A1,1.57,2.465,0.8949999999999998
5807,0,8,AllGrid,3,50,10,42,0,"Draw(CW,TEE)",25644,1170.6,A1,-0.275,0.03,0.30500000000000005
5567,2,15,AllGrid,3,50,10,42,0,"Draw(CW,TEE)",129,10.4869,A1,1.535,1.93,0.395
2507,3,11,AllGrid,3,50,10,42,39,"Hit(CCW,4,WEAK)",16417,946.071,A1,1.66,1.715,0.05500000000000016
7006,3,15,AllGrid,3,50,10,42,0,"Draw(CW,TEE)",145,13.5948,A1,-1.0,-0.97,0.030000000000000027
1984,6,4,AllGrid,3,50,10,42,47,"Hit(CCW,3,MIDDLE)",37486,1469.81,A1,-0.595,-0.31,0.285
1845,7,14,AllGrid,3,50,10,42,44,"PostGuard(CW,10,1)",2665,159.075,A1,1.44,1.44,0.0
5780,2,6,AllGrid,3,50,10,42,36,"Hit(CW,5,MIDDLE)",29701,1144.39,A1,-0.485,-0.375,0.10999999999999999
8645,7,5,AllGrid,3,50,10,42,7,"Draw(CCW,S4)",35091,1469.47,A1,0.835,0.92,0.08500000000000008
6132,0,13,AllGrid,3,50,10,42,2,"Draw(CW,S0)",7585,516.454,A1,1.915,2.62,0.7050000000000001
3339,4,10,AllGrid,3,50,10,42,10,"Draw(CW,L0)",17703,805.39,A1,-0.46,-0.305,0.15500000000000003
3566,6,14,AllGrid,3,50,10,42,0,"Draw(CW,TEE)",5169,456.957,A1,1.0,1.01,0.010000000000000009
5523,3,9,AllGrid,3,50,10,42,0,"Draw(CW,TEE)",22538,1210.0,A1,0.08,0.74,0.66
7015,5,14,AllGrid,3,50,10,42,11,"Draw(CCW,L0)",6123,522.452,A1,-1.135,-1.135,0.0
743,7,3,AllGrid,3,50,10,42,47,"PostGuard(CCW,1,2)",41116,1599.79,A1,0.42,0.98,0.56
1014,4,15,AllGrid,3,50,10,42,10,"Draw(CW,L0)",61,3.34298,A1,3.325,3.325,0.0
3900,0,10,AllGrid,3,50,10,42,2,"Draw(CW,S0)",16548,737.859,A1,0.025,0.305,0.27999999999999997
4543,6,5,AllGrid,3,50,10,42,34,"Hit(CW,0,WEAK)",35140,1455.37,A1,0.71,1.09,0.3800000000000001
9231,5,14,AllGrid,3,50,10,42,42,"Hit(CW,5,TOUCH)",4018,280.844,A1,1.86,2.025,0.1649999999999998
1825,5,7,AllGrid,3,50,10,42,38,"Hit(CW,2,STRONG)",28007,1243.66,A1,0.72,0.865,0.14500000000000002
4062,4,15,AllGrid,3,50,10,42,35,"Hit(CCW,2,WEAK)",117,8.58101,A1,-1.275,-0.475,0.7999999999999999
9882,2,11,AllGrid,3,50,10,42,39,"Hit(CCW,2,STRONG)",16034,961.578,A1,0.33,1.295,0.9649999999999999
2998,6,14,AllGrid,3,50,10,42,41,"Freeze(CCW,1)",6155,547.942,A1,2.525,2.895,0.3700000000000001
1555,2,3,AllGrid,3,50,10,42,5,"Draw(CCW,S2)",41160,1555.03,A1,0.655,1.1,0.44500000000000006
4372,4,14,AllGrid,3,50,10,42,0,"Draw(CW,TEE)",2176,122.301,A1,0.005,0.095,0.09
3732,7,7,AllGrid,3,50,10,42,24,"Draw(CW,L7)",25462,935.178,A1,0.765,1.125,0.36
3858,5,5,AllGrid,3,50,10,42,37,"Hit(CCW,0,MIDDLE)",35750,1519.74,A1,0.385,0.885,0.5
1938,0,14,AllGrid,3,50,10,42,46,"Hit(CW,11,MIDDLE)",4425,321.306,A1,-0.08,1.43,1.51
9112,3,9,AllGrid,3,50,10,42,0,"Draw(CW,TEE)",20549,942.147,A1,0.13,0.76,0.63
4157,3,12,AllGrid,3,50,10,42,36,"Hit(CW,3,MIDDLE)",12249,797.193,A1,-0.705,-0.705,0.0
7373,1,11,AllGrid,3,50,10,42,37,"Hit(CCW,2,MIDDLE)",15751,894.613,A1,0.575,1.175,0.6000000000000001
7173,4,15,AllGrid,3,50,10,42,0,"Draw(CW,TEE)",151,16.1471,A1,1.84,2.0,0.15999999999999992
196,4,4,AllGrid,3,50,10,42,43,"PostGuard(CCW,2,0)",37998,1413.72,A1,-0.685,-0.22,0.4650000000000001
2630,2,14,AllGrid,3,50,10,42,0,"Draw(CW,TEE)",2781,157.796,A1,-1.075,-1.07,0.004999999999999893
5731,2,10,AllGrid,3,50,10,42,8,"Draw(CW,S6)",14384,559.557,A1,-1.4,-0.555,0.8449999999999999
9518,4,5,AllGrid,3,50,10,42,37,"Hit(CCW,0,MIDDLE)",35248,1427.0,A1,0.605,0.985,0.38
8211,7,12,AllGrid,3,50,10,42,10,"Draw(CW,L0)",10455,572.634,A1,-1.205,-0.815,0.3900000000000001
7977,6,14,AllGrid,3,50,10,43,34,"Hit(CW,1,WEAK)",6292,528.201,A1,-2.045,-1.635,0.4099999999999999
3926,6,11,AllGrid,3,50,10,43,37,"Hit(CCW,0,MIDDLE)",17923,1145.17,A1,-1.43,0.425,1.855
