game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec
7977,6,14,ClusterValueDeep,3,200,10,42,36,"Hit(CW,1,MIDDLE)",334880,11201.7
3926,6,11,ClusterValueDeep,3,200,10,42,39,"Hit(CCW,0,STRONG)",99852,4058.5
3883,1,14,ClusterValueDeep,3,200,10,42,18,"Draw(CW,L4)",331667,10837
9222,7,5,ClusterValueDeep,3,200,10,42,4,"Draw(CW,S2)",241876,7955.36
7881,2,15,ClusterValueDeep,3,200,10,42,84,"Hit(CW,12,WEAK)",342764,11353.2
6406,1,10,ClusterValueDeep,3,200,10,42,40,"Freeze(CW,7)",113885,4011.1
8452,5,15,ClusterValueDeep,3,200,10,42,137,"PostGuard(CCW,13,1)",342866,11228.7
1028,6,15,ClusterValueDeep,3,200,10,42,150,"Pass",342161,11351.3
2596,1,14,ClusterValueDeep,3,200,10,42,54,"Hit(CW,5,WEAK)",334142,11077
4748,1,3,ClusterValueDeep,3,200,10,42,37,"Hit(CCW,0,MIDDLE)",321194,10735.3
9206,3,13,ClusterValueDeep,3,200,10,42,1,"Draw(CCW,TEE)",239900,7935.71
5859,1,6,ClusterValueDeep,3,200,10,42,37,"Hit(CCW,1,MIDDLE)",254125,8938.51
6871,4,5,ClusterValueDeep,3,200,10,42,48,"Hit(CW,2,STRONG)",305134,10692.7
7163,3,13,ClusterValueDeep,3,200,10,42,30,"PreGuard(CW,G5)",245349,8272.49
5807,0,8,ClusterValueDeep,3,200,10,42,56,"Hit(CW,7,MIDDLE)",206902,7324.34
5567,2,15,ClusterValueDeep,3,200,10,42,128,"Pass",344007,11394
2507,3,11,ClusterValueDeep,3,200,10,42,61,"Hit(CCW,8,MIDDLE)",91063,3555.36
7006,3,15,ClusterValueDeep,3,200,10,42,130,"PostGuard(CW,9,2)",355684,11728.9
1984,6,4,ClusterValueDeep,3,200,10,42,11,"Draw(CCW,L0)",317308,10938.5
1845,7,14,ClusterValueDeep,3,200,10,42,43,"PostGuard(CCW,10,0)",332606,10933.7
5780,2,6,ClusterValueDeep,3,200,10,42,36,"Hit(CW,5,MIDDLE)",237788,8024.29
8645,7,5,ClusterValueDeep,3,200,10,42,48,"Hit(CW,2,STRONG)",289374,10203
6132,0,13,ClusterValueDeep,3,200,10,42,46,"Hit(CW,10,MIDDLE)",240898,8108.82
3339,4,10,ClusterValueDeep,3,200,10,42,34,"Hit(CW,7,WEAK)",120745,4234.23
3566,6,14,ClusterValueDeep,3,200,10,42,128,"Pass",334366,11072
5523,3,9,ClusterValueDeep,3,200,10,42,55,"Hit(CCW,4,WEAK)",155463,6173.23
7015,5,14,ClusterValueDeep,3,200,10,42,58,"Hit(CW,5,STRONG)",334804,11136.3
743,7,3,ClusterValueDeep,3,200,10,42,35,"Hit(CCW,0,WEAK)",335084,11434.3
1014,4,15,ClusterValueDeep,3,200,10,42,50,"PostGuard(CW,11,1)",342480,11332.6
3900,0,10,ClusterValueDeep,3,200,10,42,40,"Freeze(CW,9)",113412,3941.22
4543,6,5,ClusterValueDeep,3,200,10,42,34,"Hit(CW,0,WEAK)",290163,10091.6
9231,5,14,ClusterValueDeep,3,200,10,42,50,"Freeze(CW,5)",342495,11406.3
1825,5,7,ClusterValueDeep,3,200,10,42,21,"Draw(CCW,L5)",237951,8515.91
4062,4,15,ClusterValueDeep,3,200,10,42,35,"Hit(CCW,2,WEAK)",358586,11818.1
9882,2,11,ClusterValueDeep,3,200,10,42,44,"Hit(CW,4,WEAK)",106849,4334.82
2998,6,14,ClusterValueDeep,3,200,10,42,34,"Hit(CW,1,WEAK)",342513,11471.6
1555,2,3,ClusterValueDeep,3,200,10,42,35,"Hit(CCW,0,WEAK)",329955,11063
4372,4,14,ClusterValueDeep,3,200,10,42,9,"Draw(CCW,S6)",331502,10938.8
3732,7,7,ClusterValueDeep,3,200,10,42,39,"Hit(CCW,4,STRONG)",195044,6384.76
3858,5,5,ClusterValueDeep,3,200,10,42,35,"Hit(CCW,0,WEAK)",330506,11941.9
1938,0,14,ClusterValueDeep,3,200,10,42,46,"Hit(CW,11,MIDDLE)",334185,10995.2
9112,3,9,ClusterValueDeep,3,200,10,42,37,"Hit(CCW,2,MIDDLE)",141306,4872.99
4157,3,12,ClusterValueDeep,3,200,10,42,34,"Hit(CW,3,WEAK)",54913,2303.95
7373,1,11,ClusterValueDeep,3,200,10,42,45,"Hit(CCW,4,WEAK)",91293,3624.17
7173,4,15,ClusterValueDeep,3,200,10,42,150,"Pass",341444,11270.9
196,4,4,ClusterValueDeep,3,200,10,42,21,"Draw(CCW,L5)",315250,10602.4
2630,2,14,ClusterValueDeep,3,200,10,42,40,"Freeze(CW,11)",332529,10977.6
5731,2,10,ClusterValueDeep,3,200,10,42,13,"Draw(CCW,L1)",97931,3229.62
9518,4,5,ClusterValueDeep,3,200,10,42,36,"Hit(CW,0,MIDDLE)",312781,11037.6
8211,7,12,ClusterValueDeep,3,200,10,42,70,"Freeze(CW,11)",43185,1659.81
