game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec
7977,6,14,AllGrid,1,200,10,42,48,"Hit(CW,3,STRONG)",14754,966.82
3926,6,11,AllGrid,1,200,10,42,79,"Hit(CCW,8,STRONG)",59285,2898.85
3883,1,14,AllGrid,1,200,10,42,1,"Draw(CCW,TEE)",15631,517.392
9222,7,5,AllGrid,1,200,10,42,16,"Draw(CW,L3)",148260,4859.64
7881,2,15,AllGrid,1,200,10,42,94,"PostGuard(CW,5,1)",234589,7810.46
6406,1,10,AllGrid,1,200,10,42,50,"Freeze(CW,9)",73150,2598.21
8452,5,15,AllGrid,1,200,10,42,138,"PostGuard(CW,13,2)",228972,7495.71
1028,6,15,AllGrid,1,200,10,42,49,"Hit(CCW,2,STRONG)",230091,7607.77
2596,1,14,AllGrid,1,200,10,42,88,"Hit(CW,11,STRONG)",14538,940.334
4748,1,3,AllGrid,1,200,10,42,21,"Draw(CCW,L5)",178172,6022.89
9206,3,13,AllGrid,1,200,10,42,38,"Hit(CW,12,STRONG)",29702,1004.42
5859,1,6,AllGrid,1,200,10,42,0,"Draw(CW,TEE)",131961,4815.49
6871,4,5,AllGrid,1,200,10,42,44,"Hit(CW,2,WEAK)",146218,5198.59
7163,3,13,AllGrid,1,200,10,42,69,"Hit(CCW,12,STRONG)",29303,1105.53
5807,0,8,AllGrid,1,200,10,42,70,"PostGuard(CW,4,1)",103313,3864.07
5567,2,15,AllGrid,1,200,10,42,71,"Freeze(CCW,8)",233293,7754.01
2507,3,11,AllGrid,1,200,10,42,60,"Hit(CW,8,MIDDLE)",58303,2476.55
7006,3,15,AllGrid,1,200,10,42,98,"Hit(CW,14,STRONG)",234031,7805.58
1984,6,4,AllGrid,1,200,10,42,45,"Hit(CCW,3,WEAK)",160356,5573.72
1845,7,14,AllGrid,1,200,10,42,45,"PostGuard(CCW,10,1)",14691,507.191
5780,2,6,AllGrid,1,200,10,42,38,"Hit(CW,5,STRONG)",132294,4484.49
8645,7,5,AllGrid,1,200,10,42,48,"Hit(CW,2,STRONG)",146952,5297.34
6132,0,13,AllGrid,1,200,10,42,44,"Hit(CW,10,WEAK)",29221,1312.75
3339,4,10,AllGrid,1,200,10,42,50,"Freeze(CW,9)",73852,2668.1
3566,6,14,AllGrid,1,200,10,42,76,"Hit(CW,11,MIDDLE)",14909,1100.78
5523,3,9,AllGrid,1,200,10,42,55,"Hit(CCW,4,WEAK)",88234,3648.8
7015,5,14,AllGrid,1,200,10,42,46,"Hit(CW,3,MIDDLE)",14745,966.2
743,7,3,AllGrid,1,200,10,42,23,"Draw(CCW,L6)",175422,6026.74
1014,4,15,AllGrid,1,200,10,42,32,"Hit(CW,10,TOUCH)",228723,7583.56
3900,0,10,AllGrid,1,200,10,42,0,"Draw(CW,TEE)",73090,2566.03
4543,6,5,AllGrid,1,200,10,42,33,"Hit(CCW,0,TOUCH)",147175,5232.88
9231,5,14,AllGrid,1,200,10,42,2,"Draw(CW,S0)",14638,717.712
1825,5,7,AllGrid,1,200,10,42,6,"Draw(CW,S4)",115614,4294.37
4062,4,15,AllGrid,1,200,10,42,47,"Hit(CCW,4,MIDDLE)",235703,7884.42
9882,2,11,AllGrid,1,200,10,42,54,"Hit(CW,6,WEAK)",58978,2780.67
2998,6,14,AllGrid,1,200,10,42,57,"Hit(CCW,5,MIDDLE)",14763,1044.37
1555,2,3,AllGrid,1,200,10,42,23,"Draw(CCW,L6)",176354,5941.85
4372,4,14,AllGrid,1,200,10,42,18,"Draw(CW,L4)",14656,474.237
3732,7,7,AllGrid,1,200,10,42,14,"Draw(CW,L2)",118807,3880.86
3858,5,5,AllGrid,1,200,10,42,9,"Draw(CCW,S6)",146853,5401.63
1938,0,14,AllGrid,1,200,10,42,46,"Hit(CW,11,MIDDLE)",14954,749.078
9112,3,9,AllGrid,1,200,10,42,58,"Hit(CW,6,STRONG)",87537,3302.75
4157,3,12,AllGrid,1,200,10,42,34,"Hit(CW,3,WEAK)",43502,2053.08
7373,1,11,AllGrid,1,200,10,42,45,"Hit(CCW,4,WEAK)",58199,2534.03
7173,4,15,AllGrid,1,200,10,42,48,"Hit(CW,2,STRONG)",227748,7547.87
196,4,4,AllGrid,1,200,10,42,40,"Freeze(CW,3)",161177,5389.55
2630,2,14,AllGrid,1,200,10,42,0,"Draw(CW,TEE)",14443,526.75
5731,2,10,AllGrid,1,200,10,42,36,"Hit(CW,9,MIDDLE)",73887,2377.45
9518,4,5,AllGrid,1,200,10,42,39,"Hit(CCW,0,STRONG)",146093,5277.42
8211,7,12,AllGrid,1,200,10,42,45,"Hit(CCW,5,WEAK)",44346,1634.68
