game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec
7977,6,14,ScoreTopK,3,200,10,44,52,"Hit(CW,5,TOUCH)",225503,18915
3926,6,11,ScoreTopK,3,200,10,44,37,"Hit(CCW,0,MIDDLE)",45584,6650.3
3883,1,14,ScoreTopK,3,200,10,44,25,"Draw(CCW,L7)",223548,18915.4
9222,7,5,ScoreTopK,3,200,10,44,21,"Draw(CCW,L5)",127152,12789.2
7881,2,15,ScoreTopK,3,200,10,44,89,"Hit(CCW,12,STRONG)",204373,18124.2
6406,1,10,ScoreTopK,3,200,10,44,37,"Hit(CCW,7,MIDDLE)",53425,6742.46
8452,5,15,ScoreTopK,3,200,10,44,34,"Hit(CW,0,WEAK)",203364,18162.4
1028,6,15,ScoreTopK,3,200,10,44,104,"PostGuard(CW,1,1)",206293,17814.8
2596,1,14,ScoreTopK,3,200,10,44,49,"Hit(CCW,3,STRONG)",220917,18345.9
4748,1,3,ScoreTopK,3,200,10,44,38,"Hit(CW,0,STRONG)",161730,15816.1
9206,3,13,ScoreTopK,3,200,10,44,38,"Hit(CW,12,STRONG)",235999,18709.1
5859,1,6,ScoreTopK,3,200,10,44,40,"Freeze(CW,1)",120034,12150.8
6871,4,5,ScoreTopK,3,200,10,44,55,"PostGuard(CCW,1,1)",136197,13640.1
7163,3,13,ScoreTopK,3,200,10,44,74,"PostGuard(CW,9,1)",243726,19541.3
5807,0,8,ScoreTopK,3,200,10,44,50,"Freeze(CW,5)",92154,11401.3
5567,2,15,ScoreTopK,3,200,10,44,68,"Hit(CW,8,STRONG)",206085,18077.4
2507,3,11,ScoreTopK,3,200,10,44,71,"Hit(CCW,10,MIDDLE)",41802,5958.08
7006,3,15,ScoreTopK,3,200,10,44,92,"Hit(CW,14,TOUCH)",207105,18368
1984,6,4,ScoreTopK,3,200,10,44,42,"Hit(CW,3,TOUCH)",149385,15606.8
1845,7,14,ScoreTopK,3,200,10,44,18,"Draw(CW,L4)",224588,18922.3
5780,2,6,ScoreTopK,3,200,10,44,38,"Hit(CW,5,STRONG)",114884,12518.4
8645,7,5,ScoreTopK,3,200,10,44,35,"Hit(CCW,0,WEAK)",136856,14336.6
6132,0,13,ScoreTopK,3,200,10,44,44,"Hit(CW,10,WEAK)",239659,19298.7
3339,4,10,ScoreTopK,3,200,10,44,29,"PreGuard(CCW,G4)",57141,7431.28
3566,6,14,ScoreTopK,3,200,10,44,78,"Hit(CW,11,STRONG)",227419,18876.6
5523,3,9,ScoreTopK,3,200,10,44,57,"Hit(CCW,4,MIDDLE)",75107,8887.09
7015,5,14,ScoreTopK,3,200,10,44,56,"Hit(CW,5,MIDDLE)",226455,19124.3
743,7,3,ScoreTopK,3,200,10,44,2,"Draw(CW,S0)",164944,15004.2
1014,4,15,ScoreTopK,3,200,10,44,10,"Draw(CW,L0)",203272,18140.4
3900,0,10,ScoreTopK,3,200,10,44,40,"Freeze(CW,9)",53258,6865.36
4543,6,5,ScoreTopK,3,200,10,44,34,"Hit(CW,0,WEAK)",136287,13645.5
9231,5,14,ScoreTopK,3,200,10,44,51,"Freeze(CCW,5)",226096,17098.9
1825,5,7,ScoreTopK,3,200,10,44,38,"Hit(CW,2,STRONG)",104843,10849.7
4062,4,15,ScoreTopK,3,200,10,44,56,"Hit(CW,6,MIDDLE)",207753,18026.4
9882,2,11,ScoreTopK,3,200,10,44,45,"Hit(CCW,4,WEAK)",47143,7239.57
2998,6,14,ScoreTopK,3,200,10,44,65,"Hit(CCW,7,WEAK)",224516,18727.1
1555,2,3,ScoreTopK,3,200,10,44,20,"Draw(CW,L5)",163649,14242.9
4372,4,14,ScoreTopK,3,200,10,44,1,"Draw(CCW,TEE)",218255,18756.5
3732,7,7,ScoreTopK,3,200,10,44,41,"Freeze(CCW,4)",98213,10755.5
3858,5,5,ScoreTopK,3,200,10,44,25,"Draw(CCW,L7)",138861,14943.1
1938,0,14,ScoreTopK,3,200,10,44,35,"Hit(CCW,9,WEAK)",225749,19068
9112,3,9,ScoreTopK,3,200,10,44,22,"Draw(CW,L6)",72089,8959.31
4157,3,12,ScoreTopK,3,200,10,44,36,"Hit(CW,3,MIDDLE)",24154,3155.94
7373,1,11,ScoreTopK,3,200,10,44,42,"Hit(CW,4,TOUCH)",45049,7014.36
7173,4,15,ScoreTopK,3,200,10,44,123,"PostGuard(CCW,7,1)",206593,18031.5
196,4,4,ScoreTopK,3,200,10,44,28,"PreGuard(CW,G4)",147523,15506.3
2630,2,14,ScoreTopK,3,200,10,44,0,"Draw(CW,TEE)",225019,19168
5731,2,10,ScoreTopK,3,200,10,44,36,"Hit(CW,9,MIDDLE)",51386,6207.55
9518,4,5,ScoreTopK,3,200,10,44,35,"Hit(CCW,0,WEAK)",137783,14437.5
8211,7,12,ScoreTopK,3,200,10,44,2,"Draw(CW,S0)",24026,3361.94
