arm_a,arm_b,mean_diff,ci_lo,ci_hi,p,p_holm,a_win,b_win,tie,cohens_d,need_n
A1,A2,0.011980000000000013,-0.09426099999999993,0.11944049999999998,0.9010451411117566,1.0,27,22,1,0.03003643509672464,8700.832700470904
A1,A5,0.042860000000000016,-0.019542000000000028,0.1111025,0.26075284397018716,1.0,21,29,0,0.17462489280640192,258.39219265109347
A1,A7,0.22698000000000004,0.09677799999999995,0.36740199999999995,0.0065163183555258805,0.09122845697736233,18,31,1,0.4550266630244663,38.90827158870749
A1,A8,0.20933999999999997,0.09925000000000002,0.32864050000000006,0.00984224600446006,0.12794919805798077,19,30,1,0.4954564353555693,32.97398207443186
A1,A9,0.14518000000000003,0.041378000000000054,0.25474050000000004,0.018396573037842028,0.2023623034162623,19,30,1,0.37289725958074404,57.44549566959771
A2,A5,0.030879999999999998,-0.049321999999999984,0.11406149999999997,0.6570039728870138,1.0,24,26,0,0.10215038645027033,753.1901580509676
A2,A7,0.21499999999999997,0.07595900000000001,0.3699459999999999,0.015939927626356157,0.1912791315162739,19,29,2,0.3913438832238914,52.24961112539336
A2,A8,0.19735999999999998,0.07621749999999994,0.3289699999999999,0.005773517845892141,0.08660276768838211,19,30,1,0.42352728348972374,44.75673303438635
A2,A9,0.1332,0.0523585,0.22280099999999997,0.023864313669786804,0.23864313669786805,20,27,3,0.42818962884774686,43.80902991009071
A5,A7,0.18411999999999998,0.05387949999999999,0.32418149999999996,0.043136548092857045,0.34509238474285636,20,30,0,0.3671080662350509,59.23979269237936
A5,A8,0.16648,0.05133849999999998,0.2885619999999999,0.028256978552906986,0.2543128069761629,18,32,0,0.38003011264073394,55.34650922589731
A5,A9,0.10232000000000005,0.015319000000000046,0.1972405,0.04832060289581619,0.34509238474285636,16,33,1,0.31166411508642156,81.80422576064777
A7,A8,-0.017639999999999992,-0.09360149999999999,0.052220499999999996,0.6688431081075756,1.0,27,22,1,-0.06590116784255204,1808.2633974139076
A7,A9,-0.08179999999999994,-0.22296049999999995,0.039621,0.5606227671812862,1.0,25,24,1,-0.16765497900147291,280.2381572895644
A8,A9,-0.06415999999999998,-0.17634049999999996,0.03402000000000002,0.3321156693998423,1.0,30,19,1,-0.16464189659571643,290.55225663334903
