game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,arm,q_ref_mean,q_best,regret
7977,6,14,AllGrid,3,200,10,42,82,"Hit(CW,11,TOUCH)",234972,11180.4,A1,-3.775,-1.635,2.1399999999999997
3926,6,11,AllGrid,3,200,10,42,39,"Hit(CCW,0,STRONG)",61649,4623.64,A1,-1.615,0.425,2.04
3883,1,14,AllGrid,3,200,10,42,9,"Draw(CCW,S6)",223426,10111.9,A1,-0.67,-0.075,0.5950000000000001
9222,7,5,AllGrid,3,200,10,42,16,"Draw(CW,L3)",123676,5763.92,A1,1.13,1.315,0.18500000000000005
7881,2,15,AllGrid,3,200,10,42,80,"Freeze(CW,10)",207178,9540.91,A1,-1.0,1.72,2.7199999999999998
6406,1,10,AllGrid,3,200,10,42,41,"Freeze(CCW,7)",58314,3237.62,A1,-0.89,-0.385,0.505
8452,5,15,AllGrid,3,200,10,42,141,"PostGuard(CCW,15,0)",206021,9447.74,A1,1.0,1.935,0.935
1028,6,15,AllGrid,3,200,10,42,75,"Hit(CCW,8,WEAK)",205654,9498.27,A1,-3.115,1.0,4.115
2596,1,14,AllGrid,3,200,10,42,106,"PostGuard(CW,0,2)",239990,11803.3,A1,1.71,1.97,0.26
4748,1,3,AllGrid,3,200,10,42,42,"PostGuard(CW,3,0)",157164,7560.96,A1,0.75,0.985,0.235
9206,3,13,AllGrid,3,200,10,42,22,"Draw(CW,L6)",244957,10864.2,A1,-0.44,1.73,2.17
5859,1,6,AllGrid,3,200,10,42,40,"Freeze(CW,1)",118410,4837.23,A1,-0.36,-0.015,0.345
6871,4,5,AllGrid,3,200,10,42,66,"PostGuard(CW,5,1)",133221,6096.75,A1,0.71,1.32,0.6100000000000001
7163,3,13,AllGrid,3,200,10,42,78,"PostGuard(CW,11,0)",257114,10127.3,A1,0.655,2.465,1.8099999999999998
5807,0,8,AllGrid,3,200,10,42,29,"PreGuard(CCW,G4)",94657,4575.59,A1,-0.15,0.03,0.18
5567,2,15,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",206223,7091.76,A1,1.535,1.93,0.395
2507,3,11,AllGrid,3,200,10,42,61,"Hit(CCW,8,MIDDLE)",55169,3011.86,A1,0.815,1.715,0.9000000000000001
7006,3,15,AllGrid,3,200,10,42,40,"Freeze(CW,2)",206999,10842.6,A1,-1.0,-0.97,0.030000000000000027
1984,6,4,AllGrid,3,200,10,42,44,"Hit(CW,3,WEAK)",145759,7277.13,A1,-0.54,-0.31,0.23000000000000004
1845,7,14,AllGrid,3,200,10,42,34,"Hit(CW,13,WEAK)",225319,11991.4,A1,0.145,1.44,1.295
5780,2,6,AllGrid,3,200,10,42,29,"PreGuard(CCW,G4)",112675,6366.52,A1,-0.51,-0.375,0.135
8645,7,5,AllGrid,3,200,10,42,63,"PostGuard(CCW,3,2)",133199,8209.25,A1,0.195,0.92,0.7250000000000001
6132,0,13,AllGrid,3,200,10,42,57,"Hit(CCW,12,MIDDLE)",251232,14179.4,A1,1.82,2.62,0.8
3339,4,10,AllGrid,3,200,10,42,43,"Hit(CCW,9,TOUCH)",63478,4223.52,A1,-0.705,-0.305,0.39999999999999997
3566,6,14,AllGrid,3,200,10,42,74,"Hit(CW,11,WEAK)",236457,10027.6,A1,0.445,1.01,0.565
5523,3,9,AllGrid,3,200,10,42,55,"Hit(CCW,4,WEAK)",83879,6266.96,A1,0.74,0.74,0.0
7015,5,14,AllGrid,3,200,10,42,116,"PostGuard(CW,4,1)",235834,11984.2,A1,-3.235,-1.135,2.0999999999999996
743,7,3,AllGrid,3,200,10,42,9,"Draw(CCW,S6)",158226,8744.7,A1,0.64,0.98,0.33999999999999997
1014,4,15,AllGrid,3,200,10,42,40,"Freeze(CW,10)",205356,9789.5,A1,0.825,3.325,2.5
3900,0,10,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",58480,3686.87,A1,0.305,0.305,0.0
4543,6,5,AllGrid,3,200,10,42,2,"Draw(CW,S0)",133571,7073.48,A1,0.64,1.09,0.45000000000000007
9231,5,14,AllGrid,3,200,10,42,75,"Hit(CCW,13,WEAK)",231716,9168.89,A1,-0.335,2.025,2.36
1825,5,7,AllGrid,3,200,10,42,34,"Hit(CW,2,WEAK)",106399,5266.71,A1,0.505,0.865,0.36
4062,4,15,AllGrid,3,200,10,42,45,"Hit(CCW,4,WEAK)",206943,11517.7,A1,-1.895,-0.475,1.42
9882,2,11,AllGrid,3,200,10,42,65,"Hit(CCW,8,WEAK)",59019,4979.16,A1,0.3,1.295,0.9949999999999999
2998,6,14,AllGrid,3,200,10,42,55,"Hit(CCW,5,WEAK)",239583,14709.7,A1,1.92,2.895,0.9750000000000001
1555,2,3,AllGrid,3,200,10,42,49,"PostGuard(CCW,3,0)",159392,9645.24,A1,0.83,1.1,0.27000000000000013
4372,4,14,AllGrid,3,200,10,42,8,"Draw(CW,S6)",225271,12704.2,A1,-0.49,0.095,0.585
3732,7,7,AllGrid,3,200,10,42,25,"Draw(CCW,L7)",94528,5469.38,A1,0.535,1.125,0.59
3858,5,5,AllGrid,3,200,10,42,40,"Freeze(CW,0)",134654,7869.32,A1,0.885,0.885,0.0
1938,0,14,AllGrid,3,200,10,42,39,"Hit(CCW,9,STRONG)",230346,10315.8,A1,0.37,1.43,1.06
9112,3,9,AllGrid,3,200,10,42,59,"Hit(CCW,6,STRONG)",74318,4227.64,A1,0.305,0.76,0.455
4157,3,12,AllGrid,3,200,10,42,37,"Hit(CCW,3,MIDDLE)",42030,4181.61,A1,-1.71,-0.705,1.005
7373,1,11,AllGrid,3,200,10,42,33,"Hit(CCW,2,TOUCH)",54002,4745.58,A1,1.09,1.175,0.08499999999999996
7173,4,15,AllGrid,3,200,10,42,32,"Hit(CW,0,TOUCH)",205453,11893.9,A1,2.0,2.0,0.0
196,4,4,AllGrid,3,200,10,42,47,"PostGuard(CCW,2,2)",144778,9016.26,A1,-0.41,-0.22,0.18999999999999997
2630,2,14,AllGrid,3,200,10,42,56,"PostGuard(CW,10,2)",226294,11644.0,A1,-2.74,-1.07,1.6700000000000002
5731,2,10,AllGrid,3,200,10,42,29,"PreGuard(CCW,G4)",50647,3092.22,A1,-0.86,-0.555,0.30499999999999994
9518,4,5,AllGrid,3,200,10,42,44,"Hit(CW,2,WEAK)",133447,7516.64,A1,0.705,0.985,0.28
8211,7,12,AllGrid,3,200,10,42,45,"Hit(CCW,5,WEAK)",33847,2754.96,A1,-1.115,-0.815,0.30000000000000004
7977,6,14,AllGrid,3,200,10,43,115,"PostGuard(CCW,4,0)",236469,10549.7,A1,-3.645,-1.635,2.01
3926,6,11,AllGrid,3,200,10,43,39,"Hit(CCW,0,STRONG)",60779,4791.52,A1,-1.615,0.425,2.04
3883,1,14,AllGrid,3,200,10,43,28,"PreGuard(CW,G4)",224050,10709.7,A1,-0.74,-0.075,0.665
9222,7,5,AllGrid,3,200,10,43,10,"Draw(CW,L0)",123979,6040.86,A1,0.84,1.315,0.475
7881,2,15,AllGrid,3,200,10,43,81,"Freeze(CCW,10)",207058,9665.63,A1,-1.0,1.72,2.7199999999999998
6406,1,10,AllGrid,3,200,10,43,47,"Hit(CCW,9,MIDDLE)",58413,3374.4,A1,-0.68,-0.385,0.29500000000000004
8452,5,15,AllGrid,3,200,10,43,71,"Freeze(CCW,6)",205239,9859.15,A1,1.0,1.935,0.935
1028,6,15,AllGrid,3,200,10,43,102,"PostGuard(CW,1,0)",205313,9925.39,A1,0.99,1.0,0.010000000000000009
2596,1,14,AllGrid,3,200,10,43,5,"Draw(CCW,S2)",241201,12388.6,A1,1.435,1.97,0.5349999999999999
4748,1,3,AllGrid,3,200,10,43,35,"Hit(CCW,0,WEAK)",156192,7457.18,A1,0.88,0.985,0.10499999999999998
9206,3,13,AllGrid,3,200,10,43,0,"Draw(CW,TEE)",243678,10259.9,A1,0.27,1.73,1.46
5859,1,6,AllGrid,3,200,10,43,0,"Draw(CW,TEE)",118447,5248.67,A1,-0.015,-0.015,0.0
6871,4,5,AllGrid,3,200,10,43,3,"Draw(CCW,S0)",133393,6747.75,A1,0.625,1.32,0.6950000000000001
7163,3,13,AllGrid,3,200,10,43,29,"PreGuard(CCW,G4)",255646,10606.9,A1,-0.47,2.465,2.9349999999999996
5807,0,8,AllGrid,3,200,10,43,28,"PreGuard(CW,G4)",94557,4580.55,A1,-0.23,0.03,0.26
5567,2,15,AllGrid,3,200,10,43,94,"PostGuard(CW,3,1)",205867,7418.99,A1,-1.0,1.93,2.9299999999999997
2507,3,11,AllGrid,3,200,10,43,62,"Hit(CW,8,STRONG)",55192,3040.82,A1,1.715,1.715,0.0
7006,3,15,AllGrid,3,200,10,43,56,"Hit(CW,6,MIDDLE)",208218,10905.5,A1,-1.0,-0.97,0.030000000000000027
1984,6,4,AllGrid,3,200,10,43,42,"Hit(CW,3,TOUCH)",144933,6305.42,A1,-0.695,-0.31,0.38499999999999995
1845,7,14,AllGrid,3,200,10,43,18,"Draw(CW,L4)",226021,11986.1,A1,1.13,1.44,0.31000000000000005
5780,2,6,AllGrid,3,200,10,43,32,"Hit(CW,5,TOUCH)",112928,6353.6,A1,-0.65,-0.375,0.275
8645,7,5,AllGrid,3,200,10,43,51,"Freeze(CCW,2)",133589,8153.46,A1,0.75,0.92,0.17000000000000004
6132,0,13,AllGrid,3,200,10,43,0,"Draw(CW,TEE)",250410,10607.9,A1,1.78,2.62,0.8400000000000001
