game_id,end,shot_num,remaining,delta,group
4927,1,14,2,4.03,
9240,0,14,2,3.465,
3697,5,14,2,2.965,
2882,5,14,2,2.9633,
1255,4,13,3,2.6967,
6215,2,14,2,2.3533,
8711,2,13,3,2.2817,
4004,6,13,3,2.1,
2661,7,13,3,1.99,
3058,3,14,2,1.9383,
9826,2,13,3,1.775,
5422,3,14,2,1.695,
4362,3,13,3,1.6583,
7054,4,14,2,1.4983,
7738,2,13,3,1.4967,
2760,1,13,3,1.4917,
6303,3,13,3,1.49,
2630,2,14,2,1.41,
6622,3,14,2,1.2733,
6461,7,13,3,1.1983,
7977,6,14,2,1.1717,
3588,5,12,4,0.87,
529,5,14,2,0.8567,
9900,7,14,2,0.695,
8474,4,13,3,0.6017,
2525,3,12,4,0.6,
9578,3,13,3,0.5567,
1546,0,13,3,0.4533,
5459,0,12,4,0.3483,
524,5,12,4,0.32,
1109,5,12,4,0.285,
8421,6,12,4,0.265,
9771,3,12,4,0.195,
239,3,12,4,0.065,
1804,7,12,4,0.06,
1482,1,12,4,0.055,
5828,2,12,4,0.055,
6408,7,15,1,0.0,
9639,2,15,1,0.0,
1589,4,15,1,0.0,
4707,7,15,1,0.0,
9432,3,15,1,0.0,
7871,7,15,1,0.0,
6154,4,15,1,0.0,
4511,3,15,1,0.0,
3435,0,15,1,0.0,
8154,1,15,1,0.0,
5567,2,15,1,0.0,
7847,7,15,1,0.0,
7828,4,15,1,0.0,
994,7,12,4,0.0,
3229,1,12,4,0.0,
