game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec
6408,7,15,AllGrid,3,1000,10,43,29,"PreGuard(CCW,G4)",1027288,36816.3
9639,2,15,AllGrid,3,1000,10,43,18,"Draw(CW,L4)",1027132,37288
1589,4,15,AllGrid,3,1000,10,43,20,"Draw(CW,L5)",1035594,36956.9
4707,7,15,AllGrid,3,1000,10,43,76,"Hit(CW,12,TOUCH)",1028156,37046.9
9432,3,15,AllGrid,3,1000,10,43,7,"Draw(CCW,S4)",1028709,37124.7
7871,7,15,AllGrid,3,1000,10,43,124,"PostGuard(CW,7,2)",1033757,36970.1
6154,4,15,AllGrid,3,1000,10,43,13,"Draw(CCW,L1)",1035819,36899.6
4511,3,15,AllGrid,3,1000,10,43,87,"PostGuard(CCW,15,1)",1036758,36943.1
3435,0,15,AllGrid,3,1000,10,43,81,"Freeze(CCW,14)",1028736,37370.6
8154,1,15,AllGrid,3,1000,10,43,59,"PostGuard(CCW,13,1)",1031646,36653.6
5567,2,15,AllGrid,3,1000,10,43,103,"PostGuard(CCW,7,2)",1026899,37169.3
7847,7,15,AllGrid,3,1000,10,43,31,"PreGuard(CCW,G5)",1026586,36825.5
7828,4,15,AllGrid,3,1000,10,43,68,"Hit(CW,8,STRONG)",1035005,37192.1
3058,3,14,AllGrid,3,1000,10,43,51,"Freeze(CCW,11)",1116508,39786.3
9900,7,14,AllGrid,3,1000,10,43,104,"PostGuard(CW,6,0)",1098205,39575.8
2630,2,14,AllGrid,3,1000,10,43,18,"Draw(CW,L4)",1119561,39807.2
2882,5,14,AllGrid,3,1000,10,43,55,"Hit(CCW,9,WEAK)",1122973,40237.5
7977,6,14,AllGrid,3,1000,10,43,105,"PostGuard(CCW,0,1)",1101487,40083.4
4927,1,14,AllGrid,3,1000,10,43,4,"Draw(CW,S2)",1126242,40165.5
6215,2,14,AllGrid,3,1000,10,43,33,"Hit(CCW,7,TOUCH)",1127651,40431.5
3697,5,14,AllGrid,3,1000,10,43,61,"Freeze(CCW,13)",1091764,39081.4
6622,3,14,AllGrid,3,1000,10,43,72,"PostGuard(CW,4,2)",1094104,39142.1
5422,3,14,AllGrid,3,1000,10,43,49,"Hit(CCW,13,STRONG)",1094021,38956
529,5,14,AllGrid,3,1000,10,43,29,"PreGuard(CCW,G4)",1116766,39540.3
7054,4,14,AllGrid,3,1000,10,43,51,"Freeze(CCW,9)",1091223,39027.3
9240,0,14,AllGrid,3,1000,10,43,52,"PostGuard(CW,8,0)",1117813,39862.3
6303,3,13,AllGrid,3,1000,10,43,14,"Draw(CW,L2)",1215772,44166.2
2760,1,13,AllGrid,3,1000,10,43,64,"Hit(CW,10,WEAK)",1253316,46721.6
7738,2,13,AllGrid,3,1000,10,43,60,"Freeze(CW,4)",1302935,51172.8
4004,6,13,AllGrid,3,1000,10,43,31,"PreGuard(CCW,G5)",1306997,51564.7
1546,0,13,AllGrid,3,1000,10,43,45,"Hit(CCW,8,WEAK)",1228327,45304.7
1255,4,13,AllGrid,3,1000,10,43,57,"Hit(CCW,10,MIDDLE)",1236515,46542.9
2661,7,13,AllGrid,3,1000,10,43,49,"Hit(CCW,4,STRONG)",1244706,46255.5
8474,4,13,AllGrid,3,1000,10,43,6,"Draw(CW,S4)",1185706,42289.3
9578,3,13,AllGrid,3,1000,10,43,62,"Hit(CW,10,TOUCH)",1258130,47312.4
6461,7,13,AllGrid,3,1000,10,43,7,"Draw(CCW,S4)",1259933,47599.3
4362,3,13,AllGrid,3,1000,10,43,59,"Hit(CCW,6,STRONG)",1251569,47420.7
8711,2,13,AllGrid,3,1000,10,43,15,"Draw(CCW,L2)",1291102,49618.1
9826,2,13,AllGrid,3,1000,10,43,18,"Draw(CW,L4)",1200743,43049.5
8421,6,12,AllGrid,3,1000,10,43,38,"Hit(CW,9,STRONG)",110458,5040.53
524,5,12,AllGrid,3,1000,10,43,37,"Hit(CCW,11,MIDDLE)",93264,3962.66
2525,3,12,AllGrid,3,1000,10,43,2,"Draw(CW,S0)",127530,6378.92
9771,3,12,AllGrid,3,1000,10,43,1,"Draw(CCW,TEE)",111779,5187.6
239,3,12,AllGrid,3,1000,10,43,11,"Draw(CCW,L0)",113369,5529.73
5828,2,12,AllGrid,3,1000,10,43,6,"Draw(CW,S4)",117289,6180.64
1804,7,12,AllGrid,3,1000,10,43,1,"Draw(CCW,TEE)",94622,4062.66
3588,5,12,AllGrid,3,1000,10,43,55,"Hit(CCW,11,WEAK)",112515,5733.86
994,7,12,AllGrid,3,1000,10,43,35,"Hit(CCW,11,WEAK)",97155,4086.01
3229,1,12,AllGrid,3,1000,10,43,3,"Draw(CCW,S0)",93441,4458.44
5459,0,12,AllGrid,3,1000,10,43,35,"Hit(CCW,11,WEAK)",112699,5112.82
1482,1,12,AllGrid,3,1000,10,43,3,"Draw(CCW,S0)",116331,5964.23
1109,5,12,AllGrid,3,1000,10,43,54,"Hit(CW,7,WEAK)",150356,9535.72
