game_id,end,shot_num,remaining,delta,group
4927,1,14,2,4.5883,
3058,3,14,2,3.7017,
9240,0,14,2,3.555,
4004,6,13,3,2.5733,
6215,2,14,2,2.49,
2882,5,14,2,2.4017,
8711,2,13,3,2.375,
1255,4,13,3,2.275,
4362,3,13,3,2.0817,
2661,7,13,3,2.07,
3697,5,14,2,1.97,
5422,3,14,2,1.8233,
7977,6,14,2,1.7833,
6303,3,13,3,1.6917,
2630,2,14,2,1.6317,
7738,2,13,3,1.5233,
6461,7,13,3,1.445,
529,5,14,2,1.375,
7054,4,14,2,1.3333,
6622,3,14,2,1.2433,
9826,2,13,3,1.0367,
9900,7,14,2,1.025,
9578,3,13,3,1.015,
2760,1,13,3,0.9317,
1546,0,13,3,0.595,
9771,3,12,4,0.53,
524,5,12,4,0.4917,
8474,4,13,3,0.4667,
8421,6,12,4,0.4283,
1109,5,12,4,0.285,
5459,0,12,4,0.2817,
2525,3,12,4,0.145,
239,3,12,4,0.065,
1482,1,12,4,0.055,
5828,2,12,4,0.055,
1804,7,12,4,0.0533,
6408,7,15,1,0.0,
9639,2,15,1,0.0,
1589,4,15,1,0.0,
4707,7,15,1,0.0,
9432,3,15,1,0.0,
7871,7,15,1,0.0,
6154,4,15,1,0.0,
4511,3,15,1,0.0,
3435,0,15,1,0.0,
8154,1,15,1,0.0,
5567,2,15,1,0.0,
7847,7,15,1,0.0,
7828,4,15,1,0.0,
3588,5,12,4,0.0,
994,7,12,4,0.0,
3229,1,12,4,0.0,
