game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec
6408,7,15,AllGrid,3,1000,10,44,30,"PreGuard(CW,G5)",1025930,35850.3
9639,2,15,AllGrid,3,1000,10,44,113,"PostGuard(CCW,11,1)",1026354,36028.2
1589,4,15,AllGrid,3,1000,10,44,10,"Draw(CW,L0)",1035750,35810.4
4707,7,15,AllGrid,3,1000,10,44,132,"PostGuard(CW,15,2)",1025898,35715.5
9432,3,15,AllGrid,3,1000,10,44,106,"PostGuard(CW,11,1)",1027051,35910.3
7871,7,15,AllGrid,3,1000,10,44,24,"Draw(CW,L7)",1031982,35607.1
6154,4,15,AllGrid,3,1000,10,44,28,"PreGuard(CW,G4)",1033190,35495.7
4511,3,15,AllGrid,3,1000,10,44,52,"Hit(CW,10,TOUCH)",1035283,35746
3435,0,15,AllGrid,3,1000,10,44,103,"PostGuard(CCW,9,1)",1026649,36044.8
8154,1,15,AllGrid,3,1000,10,44,27,"PreGuard(CCW,G3)",1036332,35701.3
5567,2,15,AllGrid,3,1000,10,44,114,"PostGuard(CW,11,2)",1026789,36058.8
7847,7,15,AllGrid,3,1000,10,44,6,"Draw(CW,S4)",1030035,35986
7828,4,15,AllGrid,3,1000,10,44,4,"Draw(CW,S2)",1032301,35874.2
3058,3,14,AllGrid,3,1000,10,44,27,"PreGuard(CCW,G3)",1119379,38389.7
9900,7,14,AllGrid,3,1000,10,44,26,"PreGuard(CW,G3)",1099327,38578.9
2630,2,14,AllGrid,3,1000,10,44,40,"Freeze(CW,11)",1118853,38518.3
2882,5,14,AllGrid,3,1000,10,44,85,"PostGuard(CCW,4,1)",1124482,39048
7977,6,14,AllGrid,3,1000,10,44,137,"PostGuard(CCW,10,2)",1104923,38971
4927,1,14,AllGrid,3,1000,10,44,80,"Freeze(CW,13)",1127407,39160.5
6215,2,14,AllGrid,3,1000,10,44,44,"Hit(CW,9,WEAK)",1126586,39015.9
3697,5,14,AllGrid,3,1000,10,44,57,"Hit(CCW,13,MIDDLE)",1093321,38079.8
6622,3,14,AllGrid,3,1000,10,44,31,"PreGuard(CCW,G5)",1091961,37797.9
5422,3,14,AllGrid,3,1000,10,44,7,"Draw(CCW,S4)",1091478,37858.1
529,5,14,AllGrid,3,1000,10,44,3,"Draw(CCW,S0)",1117502,38500.1
7054,4,14,AllGrid,3,1000,10,44,62,"Hit(CW,13,TOUCH)",1092382,37900.2
9240,0,14,AllGrid,3,1000,10,44,20,"Draw(CW,L5)",1121185,38678.7
6303,3,13,AllGrid,3,1000,10,44,6,"Draw(CW,S4)",1217076,42230.8
2760,1,13,AllGrid,3,1000,10,44,31,"PreGuard(CCW,G5)",1252875,44999.9
7738,2,13,AllGrid,3,1000,10,44,101,"Freeze(CCW,12)",1304722,49749.1
4004,6,13,AllGrid,3,1000,10,44,48,"Hit(CW,2,STRONG)",1313675,49972.7
1546,0,13,AllGrid,3,1000,10,44,63,"Hit(CCW,12,TOUCH)",1226969,43661.2
1255,4,13,AllGrid,3,1000,10,44,58,"Hit(CW,10,STRONG)",1234353,44337.9
2661,7,13,AllGrid,3,1000,10,44,18,"Draw(CW,L4)",1242977,44535.6
8474,4,13,AllGrid,3,1000,10,44,34,"Hit(CW,8,WEAK)",1187312,41073.1
9578,3,13,AllGrid,3,1000,10,44,20,"Draw(CW,L5)",1261753,45767.4
6461,7,13,AllGrid,3,1000,10,44,3,"Draw(CCW,S0)",1261368,45951
4362,3,13,AllGrid,3,1000,10,44,58,"Hit(CW,6,STRONG)",1249048,45899.2
8711,2,13,AllGrid,3,1000,10,44,3,"Draw(CCW,S0)",1287933,47963.6
9826,2,13,AllGrid,3,1000,10,44,2,"Draw(CW,S0)",1201323,41634.2
8421,6,12,AllGrid,3,1000,10,44,38,"Hit(CW,9,STRONG)",123193,5593.21
524,5,12,AllGrid,3,1000,10,44,37,"Hit(CCW,11,MIDDLE)",106675,4590.32
2525,3,12,AllGrid,3,1000,10,44,43,"Hit(CCW,9,TOUCH)",136739,6649.68
9771,3,12,AllGrid,3,1000,10,44,7,"Draw(CCW,S4)",125992,5743.19
239,3,12,AllGrid,3,1000,10,44,11,"Draw(CCW,L0)",126412,6002.53
5828,2,12,AllGrid,3,1000,10,44,6,"Draw(CW,S4)",138758,7237.92
1804,7,12,AllGrid,3,1000,10,44,1,"Draw(CCW,TEE)",123267,5531.33
3588,5,12,AllGrid,3,1000,10,44,11,"Draw(CCW,L0)",127291,6474.2
994,7,12,AllGrid,3,1000,10,44,35,"Hit(CCW,11,WEAK)",111389,4743.25
3229,1,12,AllGrid,3,1000,10,44,3,"Draw(CCW,S0)",129771,6486.23
5459,0,12,AllGrid,3,1000,10,44,35,"Hit(CCW,11,WEAK)",129241,5836.42
1482,1,12,AllGrid,3,1000,10,44,3,"Draw(CCW,S0)",140325,7156.4
1109,5,12,AllGrid,3,1000,10,44,54,"Hit(CW,7,WEAK)",166653,10455.5
